 	le	temps	est	brumeux	ce	matin	</S>
a85	0.324588	0.149776	0.149906	0.165907	0.109126	0.062729	0.0379687
a87	0.27041	0.124429	0.13315	0.145407	0.156221	0.101973	0.0684097
a23	0.210212	0.194727	0.193723	0.0956858	0.088393	0.102309	0.114951
a53	0.396232	0.344324	0.133803	0.042541	0.0311801	0.0245496	0.0273709
a93	0.631567	0.199501	0.0665381	0.0555808	0.0225229	0.0122481	0.012042
a35	0.410569	0.349055	0.178731	0.0420815	0.00836628	0.00493895	0.00625778
a41	0.295547	0.29968	0.262892	0.0806781	0.0262259	0.0170676	0.0179097
a35	0.292117	0.284979	0.259777	0.0963214	0.0306618	0.0182769	0.0178665
a25	0.220358	0.262782	0.294712	0.134101	0.0413881	0.0236305	0.0230281
a94	0.22514	0.222819	0.281944	0.162494	0.0499908	0.0292463	0.0283653
a34	0.183871	0.192925	0.297659	0.187764	0.0564833	0.0387325	0.0425641
a98	0.158926	0.174362	0.304811	0.204103	0.058594	0.044546	0.0546577
a66	0.167022	0.168464	0.257412	0.199798	0.0780442	0.0621942	0.0670659
a9	0.108729	0.0997494	0.158489	0.238379	0.13877	0.123089	0.132795
a99	0.0469651	0.0521021	0.0947661	0.230815	0.213862	0.174612	0.186878
a87	0.0485675	0.0543318	0.100081	0.229383	0.205021	0.166462	0.196154
a23	0.0620341	0.0505023	0.107896	0.233959	0.193681	0.170099	0.181829
a99	0.0456563	0.032509	0.0808323	0.245002	0.199878	0.184339	0.211783
a13	0.0340994	0.0340481	0.0659563	0.148273	0.152591	0.247149	0.317883
a35	0.0528425	0.0430128	0.0919637	0.180055	0.122084	0.214672	0.29537
a0	0.0390069	0.0362892	0.091172	0.232808	0.178068	0.211428	0.211229
a75	0.0310057	0.0319019	0.054612	0.124383	0.144019	0.271697	0.342382
a76	0.0331454	0.0315769	0.0491283	0.132541	0.151864	0.259614	0.34213
a35	0.0501906	0.0356906	0.047128	0.132228	0.172629	0.237219	0.324916
a26	0.0242601	0.0209626	0.0305891	0.0776834	0.149842	0.294452	0.402211
a75	0.00726703	0.00672851	0.00819612	0.0354712	0.129464	0.333026	0.479847
a41	0.00859662	0.00507894	0.00571528	0.024811	0.0830786	0.295452	0.577267
a21	0.0057303	0.00369298	0.00472864	0.0246546	0.0786733	0.304036	0.578485
a35	0.0108037	0.00666356	0.00701387	0.0212298	0.0559634	0.2299	0.668425
a66	0.00394451	0.00215582	0.00305311	0.0165598	0.051058	0.262855	0.660374
a94	0.00645596	0.00230649	0.00211725	0.0144901	0.058242	0.231617	0.684771
a35	0.00653107	0.00213158	0.00216663	0.0152823	0.0587204	0.243967	0.671201
a83	0.00566072	0.00221418	0.00242164	0.0124757	0.042644	0.235631	0.698953
a9	0.00847948	0.00301126	0.00320061	0.0189391	0.0622798	0.216845	0.687244
a87	0.00370524	0.00135623	0.00146077	0.00915475	0.0523845	0.226539	0.7054
</S>	0.0108962	0.00399979	0.00444974	0.0135334	0.0652735	0.246116	0.655731
