 	le	toit	de	cette	maison	est	fait	en	tôles	</S>
a66	0.179048	0.173638	0.135853	0.15958	0.135884	0.115239	0.0650298	0.0223129	0.00883728	0.0045778
a87	0.582148	0.189919	0.0663451	0.0380953	0.0313284	0.03216	0.0232741	0.0150291	0.0140564	0.00764502
a23	0.342528	0.118317	0.0889607	0.0807979	0.0853598	0.0866662	0.0711661	0.0489678	0.0458947	0.0313425
a79	0.170705	0.080353	0.099591	0.113446	0.123868	0.140109	0.0921988	0.0720013	0.0570902	0.0506369
a7	0.244874	0.180425	0.145837	0.110299	0.0862942	0.0860188	0.0579639	0.0370763	0.0269879	0.024224
a36	0.283933	0.279456	0.170141	0.093214	0.0531852	0.0379664	0.0296808	0.0209869	0.0166151	0.0148226
a75	0.29198	0.289115	0.174391	0.0926449	0.0481846	0.0324503	0.025844	0.0206259	0.0141811	0.0105826
a85	0.214049	0.25709	0.174807	0.111065	0.0739718	0.0573621	0.04503	0.0310907	0.0205913	0.0149421
a6	0.128829	0.226341	0.199971	0.126686	0.089672	0.0641978	0.0541887	0.0419778	0.0358682	0.0322683
a36	0.151897	0.179983	0.189986	0.141528	0.100237	0.0656977	0.0550046	0.0397836	0.0367631	0.0391196
a21	0.109688	0.14005	0.163352	0.166383	0.135727	0.0882854	0.0631048	0.0362531	0.0409777	0.0561807
a47	0.108092	0.129476	0.146289	0.152542	0.129907	0.0904685	0.0759603	0.0541801	0.051626	0.0614599
a56	0.0373764	0.0490546	0.0998223	0.154959	0.171787	0.139746	0.115422	0.0864314	0.0672284	0.0781739
a44	0.021222	0.0283405	0.0550647	0.110892	0.148827	0.137889	0.136566	0.128894	0.11445	0.117854
a34	0.0133417	0.0170688	0.0309149	0.0720749	0.126515	0.141064	0.153687	0.140221	0.136503	0.168611
a96	0.0213471	0.0254645	0.0372756	0.0740242	0.118921	0.131799	0.140365	0.132878	0.134475	0.183451
a75	0.0108199	0.0125131	0.0181617	0.0325486	0.074779	0.124049	0.158996	0.170478	0.182326	0.215329
a47	0.00268975	0.00414096	0.0109369	0.022079	0.0464425	0.0720234	0.109029	0.16119	0.201353	0.370115
a6	0.000881148	0.00158233	0.00661026	0.016986	0.0378954	0.0742739	0.105492	0.174541	0.176766	0.404972
a36	0.00124712	0.00236308	0.00608411	0.0120554	0.0284297	0.063917	0.0960854	0.167454	0.187161	0.435203
a6	0.0010546	0.000924615	0.00197951	0.00283257	0.00589924	0.0141049	0.0240343	0.0616747	0.159315	0.728181
a36	0.001221	0.00186504	0.00395008	0.00532142	0.0107913	0.0248636	0.0400117	0.0837912	0.152566	0.675619
a27	0.00044416	0.000459952	0.00114053	0.00163079	0.00306733	0.00753664	0.0126073	0.041461	0.14448	0.787172
a82	0.00815762	0.00824861	0.008933	0.00986871	0.0140793	0.0226422	0.0254844	0.0474837	0.135351	0.719751
a87	0.0932568	0.0752377	0.0613874	0.0499865	0.067431	0.0884361	0.0773434	0.0861857	0.104679	0.296057
a23	0.227537	0.0880236	0.0673122	0.0696457	0.106314	0.135655	0.102898	0.0806228	0.0539725	0.06802
a38	0.0566642	0.0225603	0.0255303	0.0217891	0.0341959	0.0469837	0.0644852	0.140803	0.231106	0.355882
</S>	0.0305417	0.0174876	0.0215024	0.0221841	0.0372517	0.0431819	0.0573734	0.0980465	0.220848	0.451583
