 	il	s'	est	cassé	le	bras	</S>
a23	0.405658	0.208482	0.142207	0.0821637	0.0571292	0.0502713	0.0540891
a79	0.408223	0.216785	0.145551	0.0772695	0.0546316	0.0415761	0.0559641
a20	0.234163	0.165739	0.120639	0.116666	0.106341	0.111681	0.144772
a73	0.276525	0.202322	0.156504	0.141302	0.0951542	0.0714958	0.0566977
a37	0.341781	0.289403	0.197837	0.0927951	0.0391249	0.0212043	0.017855
a61	0.328302	0.266828	0.177178	0.0945115	0.0544626	0.0399521	0.0387656
a11	0.267052	0.253992	0.21108	0.116332	0.061156	0.0457621	0.0446262
a61	0.17858	0.177918	0.192797	0.167449	0.111154	0.0874921	0.0846089
a75	0.120659	0.12247	0.160638	0.196992	0.159382	0.124585	0.115274
a85	0.057606	0.0631739	0.0852445	0.12841	0.168046	0.233402	0.264117
a37	0.0461193	0.0415758	0.0559032	0.10714	0.171651	0.266392	0.31122
a90	0.07395	0.0531963	0.0566434	0.0901116	0.157051	0.248899	0.320149
a25	0.0201182	0.0199174	0.0276544	0.0662852	0.147872	0.294701	0.423451
a69	0.00662413	0.00784148	0.011863	0.0347907	0.10655	0.297798	0.534533
a58	0.00786042	0.0101234	0.0148809	0.0367288	0.0915273	0.240059	0.59882
a84	0.00342867	0.00378763	0.00575669	0.0223195	0.0837319	0.260282	0.620694
a10	0.0212501	0.0198279	0.0229946	0.0471328	0.102165	0.217158	0.569472
a87	0.205115	0.130271	0.0836375	0.0818147	0.105824	0.144651	0.248686
a10	0.173918	0.138338	0.102322	0.0940086	0.108678	0.145137	0.237598
a87	0.0792534	0.0712539	0.0620364	0.0907343	0.150698	0.219591	0.326433
</S>	0.0691691	0.0637466	0.0516346	0.0770196	0.155544	0.240434	0.342452
