 	le	chasseur	a	laissé	un	signe	sur	le	chemin	qu'	il	a	emprunté	</S>
a87	0.176055	0.146382	0.12293	0.135117	0.094959	0.0860958	0.062516	0.0506332	0.0259994	0.0249305	0.019519	0.0192202	0.0212495	0.0143937
a97	0.197686	0.0820785	0.0472685	0.0199127	0.0128825	0.0248589	0.0573633	0.058867	0.0471077	0.088413	0.0747947	0.0837635	0.107524	0.0974796
a99	0.149785	0.118614	0.099462	0.0828141	0.073195	0.0746453	0.0515887	0.0352069	0.0183185	0.0244068	0.027021	0.039776	0.118278	0.0868887
a3	0.275604	0.214874	0.136622	0.0941425	0.0635349	0.0465101	0.0242515	0.0165278	0.00944364	0.0139434	0.0156871	0.0200164	0.0434627	0.0253809
a30	0.229407	0.181365	0.109709	0.0725249	0.0529936	0.0381323	0.0218411	0.0193759	0.0161758	0.0271833	0.0349229	0.0444705	0.0899356	0.0619629
a93	0.188411	0.16201	0.110942	0.0817723	0.0578293	0.0309825	0.016194	0.014138	0.0155891	0.0245543	0.0363926	0.0506804	0.139639	0.0708661
a75	0.210753	0.221263	0.157811	0.116784	0.0883732	0.041136	0.0218793	0.015749	0.0102304	0.0145962	0.0159685	0.0201411	0.0374463	0.0278687
a12	0.208583	0.212007	0.143073	0.110175	0.092833	0.0578635	0.0326753	0.0231658	0.0133672	0.0155888	0.0158267	0.0192591	0.0281951	0.027388
a21	0.178442	0.19103	0.13259	0.113131	0.113154	0.0898774	0.050532	0.035166	0.0176313	0.0166274	0.0148793	0.0157801	0.0153096	0.0158496
a12	0.154344	0.153972	0.107265	0.103619	0.123259	0.128021	0.0733866	0.0539812	0.0248189	0.0197545	0.0156019	0.0150884	0.0128362	0.014052
a47	0.133133	0.135351	0.103897	0.0995181	0.12413	0.144408	0.0909159	0.0631009	0.0276306	0.0210064	0.0157969	0.0149872	0.0124873	0.0136376
a21	0.0732804	0.0874702	0.0786074	0.0804706	0.11213	0.175719	0.137194	0.0907715	0.0428375	0.0338382	0.0254315	0.0219729	0.0192972	0.0209789
a47	0.0438102	0.066315	0.0785842	0.0936097	0.129418	0.202648	0.137261	0.0876655	0.0411681	0.0330159	0.0257617	0.0213082	0.0176086	0.0218262
a21	0.0260547	0.042057	0.0583809	0.072201	0.101637	0.170251	0.160111	0.114692	0.0714457	0.0579907	0.04269	0.0313103	0.0231934	0.0279852
a47	0.0470235	0.0655402	0.0839587	0.0980667	0.119717	0.181596	0.119527	0.0871474	0.0579106	0.0451938	0.03371	0.0230177	0.016119	0.0214727
a96	0.012192	0.0215634	0.0423127	0.0647736	0.097684	0.173811	0.148504	0.11876	0.0846686	0.0732612	0.0550273	0.0400355	0.0293903	0.0380162
a34	0.0107271	0.0191645	0.0378489	0.0617783	0.0921544	0.167473	0.142913	0.115955	0.0853468	0.0761951	0.0583544	0.0433721	0.0380749	0.0506417
a12	0.00860355	0.0141646	0.0249747	0.0424305	0.0662873	0.158657	0.154782	0.131779	0.104705	0.0921872	0.0716082	0.0482083	0.0345863	0.0470266
a56	0.00591141	0.0099608	0.0172942	0.0285851	0.0472055	0.124847	0.148521	0.137643	0.121741	0.111886	0.0863371	0.0579865	0.0437075	0.058373
a93	0.00405588	0.0071547	0.0135427	0.0226531	0.0376935	0.107916	0.149176	0.14056	0.115658	0.108875	0.0849354	0.0600791	0.0589085	0.0887916
a4	0.00324043	0.00572617	0.0102962	0.017324	0.0293687	0.0723833	0.121779	0.137705	0.129589	0.126582	0.102681	0.0696661	0.0702352	0.103423
a93	0.00252458	0.0043022	0.0073643	0.0121266	0.0203087	0.0454663	0.0904012	0.124966	0.132713	0.138854	0.127225	0.090964	0.0899555	0.112828
a56	0.0016873	0.0026461	0.00453384	0.00761109	0.0133612	0.0377306	0.0779749	0.106604	0.12044	0.136636	0.136067	0.0988218	0.111422	0.144463
a21	0.00119155	0.0017914	0.00289294	0.00471294	0.00923354	0.0269743	0.0595442	0.0874181	0.107437	0.130287	0.139924	0.112528	0.144036	0.172028
a5	0.00198354	0.00239429	0.00354546	0.0059095	0.0113189	0.0316375	0.0682939	0.104128	0.128453	0.13258	0.139591	0.11611	0.112247	0.141808
a94	0.000625501	0.00103411	0.00189882	0.0035345	0.00797401	0.0177617	0.0432692	0.0702518	0.103207	0.12194	0.139519	0.130045	0.148178	0.210761
a90	0.000459002	0.000669799	0.00106108	0.00183775	0.00392214	0.00895609	0.0221594	0.0403416	0.0757263	0.0975	0.130067	0.137816	0.191968	0.287517
a25	0.000490197	0.000689798	0.00114872	0.00211393	0.00479286	0.012095	0.0388099	0.0724294	0.124302	0.125259	0.152699	0.134449	0.146555	0.184164
a92	0.0001718	0.000246272	0.000412749	0.000780366	0.0020184	0.00578202	0.0213068	0.0410447	0.0769327	0.0855805	0.108981	0.100912	0.206366	0.349464
a21	0.000217696	0.000307203	0.000494191	0.000854198	0.00192914	0.00470071	0.0143659	0.0295506	0.0722355	0.0827895	0.120526	0.118884	0.210922	0.342223
a56	0.000255865	0.000305826	0.000518569	0.00090174	0.00190758	0.0061098	0.018354	0.0365977	0.0769924	0.090644	0.119251	0.132259	0.188925	0.326978
a94	0.000164514	0.000213405	0.000370802	0.000596316	0.00111273	0.00339504	0.0107822	0.0218002	0.0515452	0.0710366	0.101257	0.133268	0.214143	0.390315
a66	9.20047e-05	0.000103316	0.000169816	0.000255721	0.000469687	0.00156378	0.00583847	0.0114754	0.0291478	0.0429499	0.0675734	0.0893056	0.222619	0.528436
a38	0.00321468	0.00212185	0.00179746	0.00201316	0.00287288	0.00401551	0.0118839	0.0220644	0.0498162	0.0508145	0.0682943	0.0806754	0.272486	0.42793
a57	0.00481239	0.00274515	0.00224343	0.00222165	0.00283524	0.00359661	0.00949127	0.0163588	0.0373285	0.0445058	0.064274	0.0841267	0.255884	0.469576
a3	0.0126491	0.00791335	0.00728646	0.00573732	0.00522699	0.00493706	0.0136176	0.0287934	0.0656999	0.0847043	0.115261	0.136119	0.215662	0.296393
a97	0.0209035	0.0166349	0.0185629	0.0146265	0.0121291	0.0141912	0.02987	0.0541369	0.0991263	0.109788	0.134021	0.14529	0.171548	0.159172
a9	0.0243593	0.0166952	0.0173859	0.0131065	0.0111477	0.0256844	0.0482643	0.0628277	0.0928077	0.108493	0.124166	0.13613	0.175933	0.143
a3	0.0198073	0.0152861	0.0162409	0.013357	0.0127588	0.0422589	0.0606506	0.0621256	0.0760781	0.0921796	0.102751	0.111879	0.185191	0.189437
a99	0.0199797	0.0161034	0.0170565	0.0150967	0.0161859	0.0461315	0.0575925	0.0552256	0.0637065	0.0839291	0.0962212	0.107115	0.187319	0.218337
</S>	0.0239639	0.0189712	0.0193408	0.0174333	0.0178103	0.0338363	0.0510213	0.0587708	0.0675887	0.0924734	0.0948076	0.106755	0.154882	0.242346
