 	les	femmes	sont	parties	occuper	les	espaces	favorables	à	la	culture	du	sésame	dans	la	savane	</S>
a66	0.0537527	0.0599508	0.0823459	0.133132	0.128278	0.121734	0.148017	0.10462	0.0693719	0.0399835	0.0248549	0.00941216	0.0100084	0.00511436	0.00301644	0.00296617	0.00344179
a87	0.375598	0.219297	0.13643	0.0612465	0.0299088	0.0265168	0.0302097	0.0220684	0.0142427	0.0109435	0.0120627	0.00866131	0.0153048	0.00993459	0.00873784	0.00869639	0.0101417
a23	0.370785	0.203826	0.104964	0.0568527	0.0315408	0.0275929	0.0479699	0.0256327	0.0197	0.0136284	0.0117058	0.00635549	0.0126669	0.0131757	0.0160407	0.0168314	0.0207329
a40	0.248398	0.145695	0.0793942	0.0505287	0.0304547	0.0273973	0.051381	0.0360878	0.0301309	0.0199767	0.0238937	0.0214452	0.0424683	0.0378697	0.0435199	0.0488379	0.0625207
a37	0.212124	0.135141	0.105498	0.0798367	0.0528217	0.0610096	0.0643586	0.0528367	0.0404926	0.0346693	0.0277192	0.0237995	0.0337086	0.0247929	0.0168636	0.0171444	0.0171843
a61	0.19384	0.215941	0.132867	0.0778356	0.049059	0.0397345	0.059007	0.0478511	0.0575247	0.0368259	0.0294424	0.0136806	0.01623	0.008466	0.00521584	0.00743003	0.00904981
a34	0.146704	0.139085	0.100434	0.0780966	0.0585454	0.0492437	0.0607338	0.0674519	0.0991006	0.0669186	0.0527972	0.0250159	0.0269068	0.0108894	0.00485565	0.00585564	0.00736587
a56	0.0900533	0.0955298	0.0918944	0.0798039	0.0686488	0.0554723	0.0777186	0.0881166	0.124054	0.0763449	0.0687038	0.0300956	0.0277334	0.0112331	0.00458582	0.00463427	0.00537724
a79	0.0581679	0.0678466	0.0799613	0.0755642	0.0687009	0.0536643	0.0681934	0.0857904	0.144926	0.0972282	0.0899088	0.0409892	0.031737	0.0131241	0.00635454	0.00786728	0.0099756
a44	0.04136	0.0694874	0.0898145	0.0811876	0.0701972	0.0502796	0.0528453	0.0684172	0.0987821	0.081805	0.0828444	0.0523946	0.0451758	0.0261041	0.0184945	0.0301032	0.0407075
a54	0.0443023	0.05071	0.064848	0.066556	0.0710155	0.0549412	0.0766547	0.0859357	0.137634	0.0923012	0.0855989	0.0443776	0.0349403	0.0190054	0.0142275	0.0230747	0.0338764
a47	0.0285653	0.0405359	0.0631623	0.0720265	0.0620691	0.0475152	0.0507278	0.0668495	0.10305	0.0852886	0.0875909	0.067953	0.0592602	0.0366859	0.0277536	0.0428574	0.0581087
a37	0.0282578	0.037629	0.0600275	0.0699836	0.0490774	0.0329977	0.0330373	0.0498587	0.0853557	0.0841466	0.0977366	0.0910033	0.0692306	0.042509	0.035205	0.0525206	0.0814237
a75	0.0184125	0.0197195	0.0326943	0.0503757	0.0478209	0.0399622	0.0391781	0.0638128	0.108354	0.103716	0.125518	0.0933885	0.0746976	0.0458992	0.0314871	0.0413233	0.0636407
a98	0.0222058	0.0247288	0.0434067	0.0746294	0.0534896	0.0387302	0.0361375	0.0542106	0.0939535	0.0796196	0.0816854	0.080316	0.0728721	0.0610791	0.0460635	0.060202	0.0766703
a79	0.00881187	0.0116802	0.0250423	0.041842	0.0320343	0.023865	0.0227705	0.047768	0.0847479	0.0849475	0.118622	0.133212	0.112184	0.0790702	0.0550652	0.05411	0.0642279
a98	0.00613533	0.00723239	0.0155252	0.0285299	0.0269708	0.0218453	0.0190682	0.0441965	0.0798156	0.0956057	0.136765	0.155662	0.126524	0.0838366	0.0520876	0.0468784	0.0533211
a6	0.00440504	0.00525378	0.0116076	0.0239301	0.0245575	0.0185831	0.016789	0.04498	0.0828889	0.0975097	0.128003	0.143048	0.115321	0.0902217	0.0648968	0.0594196	0.0685863
a37	0.00305386	0.00334701	0.00571909	0.0141762	0.0200151	0.0207599	0.0173488	0.0468863	0.083259	0.0974606	0.121716	0.136141	0.1102	0.0848407	0.0678605	0.0781285	0.0890865
a85	0.00331676	0.00324066	0.00400592	0.00709822	0.00914782	0.00916638	0.0077817	0.0227403	0.0487392	0.0835145	0.125359	0.164268	0.139421	0.104961	0.0675484	0.0838275	0.115863
a6	0.000732112	0.000797877	0.00114456	0.00234039	0.00307015	0.00322534	0.00276801	0.0105219	0.0280091	0.0584844	0.0975627	0.156144	0.12901	0.1235	0.109043	0.125561	0.148086
a37	0.000838333	0.000896149	0.00111908	0.00224489	0.00300928	0.0030808	0.00248351	0.00719108	0.0198817	0.0419122	0.0706052	0.130386	0.116696	0.126194	0.129259	0.165115	0.179089
a44	0.00132725	0.00114356	0.00121284	0.00188621	0.00289988	0.00263566	0.00236614	0.0055928	0.0116146	0.0313246	0.0562938	0.116541	0.111131	0.126115	0.128952	0.171034	0.227929
a56	0.00157882	0.00125758	0.00118859	0.00202191	0.0026521	0.00242219	0.00218235	0.00437649	0.00862289	0.0213891	0.0395848	0.0891306	0.0885653	0.117417	0.145153	0.204893	0.267565
a75	0.00105866	0.00102179	0.00107332	0.00185163	0.00178163	0.00162941	0.00162102	0.0027427	0.00505979	0.0143669	0.0221495	0.0560094	0.0586968	0.0986796	0.168231	0.255782	0.308245
a5	0.000463471	0.000446171	0.000519565	0.000787414	0.000896281	0.000820115	0.000684672	0.0015664	0.00344397	0.00976868	0.0175476	0.0455214	0.0457565	0.0724956	0.138633	0.263975	0.396674
a25	0.0011551	0.00109368	0.00116599	0.00171855	0.00181972	0.00146304	0.00125421	0.00253935	0.00526897	0.0163163	0.0253483	0.0513491	0.054582	0.0861503	0.154645	0.24886	0.34527
a56	0.000182653	0.000169606	0.000187964	0.00025695	0.000428431	0.000318591	0.000256398	0.000847644	0.002344	0.00778985	0.0132877	0.0354479	0.0374415	0.0687424	0.141928	0.263175	0.427196
a0	0.000341377	0.00031842	0.000359036	0.000502481	0.000796837	0.000615259	0.000473981	0.00130711	0.00284497	0.00922629	0.0145987	0.0290717	0.0304577	0.0536574	0.121756	0.270801	0.462872
a11	0.000662837	0.000597884	0.000639685	0.000651028	0.00145883	0.00118884	0.00102137	0.00309434	0.00529174	0.0129628	0.0153139	0.0241179	0.0243392	0.0416534	0.10585	0.266544	0.494613
a66	0.00175598	0.00114795	0.00109291	0.000899465	0.00274129	0.00269952	0.00260602	0.00627108	0.00813504	0.0174762	0.0177193	0.0387106	0.040966	0.0729188	0.153652	0.253136	0.378072
a71	0.0184866	0.0125559	0.0105587	0.00660079	0.0129214	0.0135814	0.0155689	0.0230164	0.0274953	0.0522288	0.0458384	0.0852988	0.0661913	0.0984289	0.134769	0.166514	0.209945
a9	0.0521915	0.0344001	0.0289479	0.020837	0.0225658	0.0206804	0.0259375	0.0323691	0.0379844	0.0648497	0.0488835	0.069568	0.0569007	0.0828694	0.121096	0.135492	0.144427
a87	0.106701	0.0694661	0.0582513	0.0421265	0.0359627	0.033448	0.0431595	0.0478455	0.0451362	0.0566606	0.0519189	0.0436995	0.0465017	0.0545106	0.0817134	0.0925415	0.0903566
a23	0.0715789	0.0467534	0.0386263	0.0318152	0.0332792	0.0334218	0.0393389	0.0469938	0.0468254	0.0654368	0.0734904	0.0529498	0.0618234	0.0716459	0.0983647	0.0981895	0.0894665
a87	0.0433547	0.0223851	0.0151399	0.0064888	0.00552078	0.00540165	0.00502225	0.00663108	0.00681833	0.0130103	0.0161892	0.0183574	0.0267703	0.0763284	0.168244	0.248275	0.316063
a97	0.00978199	0.00513943	0.00317458	0.0018131	0.00146123	0.0012878	0.00112167	0.00215463	0.00391521	0.00924523	0.0158746	0.0233802	0.0314518	0.0614111	0.125546	0.260295	0.442946
</S>	0.0110322	0.00702988	0.00714084	0.0072112	0.00644047	0.00669877	0.00568462	0.011439	0.0177929	0.0330661	0.0530702	0.0507937	0.0609756	0.0708645	0.104738	0.194873	0.351148
