 	sors	de	ma	maison	</S>
a66	0.765016	0.108604	0.0469923	0.032252	0.0471359
a87	0.539981	0.194379	0.116486	0.0795288	0.0696251
a23	0.661313	0.141986	0.0644524	0.0623251	0.0699239
a10	0.604542	0.198955	0.0828133	0.0564325	0.0572573
a53	0.531364	0.18894	0.0990046	0.0921401	0.0885507
a20	0.551274	0.224788	0.122411	0.0569494	0.0445777
a69	0.641947	0.247479	0.0750108	0.0202673	0.015296
a54	0.32974	0.339835	0.18334	0.0779548	0.0691297
a6	0.153555	0.242257	0.244336	0.183551	0.176301
a0	0.0949141	0.150937	0.230309	0.249906	0.273934
a54	0.0316626	0.0603668	0.167616	0.334979	0.405375
a56	0.0381719	0.0954094	0.199914	0.303929	0.362575
a94	0.0224986	0.0484876	0.119189	0.320094	0.489732
a62	0.0147498	0.0369771	0.0945315	0.250803	0.602939
a88	0.00411647	0.0114617	0.0382889	0.196973	0.74916
a71	0.0046154	0.012914	0.0366659	0.198772	0.747032
a9	0.0327906	0.0472586	0.0834505	0.216912	0.619589
a87	0.267764	0.151267	0.131145	0.154658	0.295166
a23	0.479233	0.154772	0.0979969	0.105301	0.162696
a87	0.327398	0.162006	0.12336	0.150014	0.237222
</S>	0.0203437	0.035869	0.0687853	0.193251	0.681751
