 	parle-	moi	du	comportement	de	cet	homme	</S>
a87	0.196687	0.250327	0.214142	0.170669	0.0841882	0.0428365	0.0244247	0.0167251
a23	0.150071	0.183119	0.17364	0.173196	0.101451	0.0863501	0.0717488	0.0604237
a90	0.188729	0.232363	0.187827	0.123597	0.075675	0.063163	0.0595697	0.0690757
a56	0.354557	0.229482	0.148264	0.0842764	0.0575383	0.0403296	0.0428238	0.0427288
a66	0.482002	0.246242	0.129615	0.0477355	0.0257787	0.0180237	0.0231303	0.0274735
a11	0.36992	0.234129	0.16029	0.0791365	0.0481021	0.0344167	0.036738	0.0372672
a75	0.293595	0.208738	0.157125	0.0952307	0.0619639	0.0496382	0.0618309	0.0718788
a85	0.323336	0.209226	0.146126	0.0846697	0.0557822	0.045116	0.0583534	0.0773914
a5	0.283834	0.2208	0.160024	0.0870435	0.0588861	0.0510816	0.0619738	0.0763574
a96	0.306246	0.22435	0.165893	0.0949049	0.0553191	0.0456331	0.0498769	0.0577771
a61	0.225448	0.172288	0.151215	0.128748	0.0827933	0.0699884	0.0782258	0.0912928
a21	0.181921	0.141201	0.129084	0.141002	0.108628	0.0948622	0.0965905	0.106712
a61	0.200928	0.130005	0.126559	0.146902	0.124943	0.100122	0.08736	0.0831816
a34	0.0974706	0.0612719	0.0693759	0.125262	0.161186	0.158136	0.159948	0.167349
a31	0.0641577	0.0377498	0.0427052	0.084671	0.15107	0.188828	0.212906	0.217912
a88	0.0315024	0.019732	0.0232286	0.049844	0.113719	0.185351	0.264439	0.312184
a13	0.0231456	0.0149344	0.0167476	0.0309375	0.077954	0.161444	0.282158	0.392679
a98	0.00540974	0.00453828	0.0056697	0.0129859	0.0405559	0.120135	0.280718	0.529987
a47	0.00533479	0.00413714	0.00571085	0.01113	0.0312957	0.09217	0.270751	0.579471
a85	0.0038043	0.00285875	0.00431177	0.00890055	0.0308603	0.10174	0.272415	0.575109
a66	0.00410074	0.00313269	0.00518808	0.01047	0.0331525	0.094979	0.262544	0.586433
a83	0.00228476	0.00224224	0.00354769	0.00812397	0.0331849	0.114367	0.280031	0.556219
a9	0.00338455	0.00314126	0.0045084	0.00882404	0.0331025	0.104782	0.265441	0.576816
a87	0.0308382	0.0234144	0.024872	0.0408355	0.0930503	0.197123	0.25467	0.335197
a23	0.0483919	0.0444779	0.0451074	0.0623043	0.112343	0.205344	0.236594	0.245438
a87	0.0267335	0.0231884	0.0272926	0.0419895	0.0871502	0.175979	0.280178	0.337489
a23	0.0176503	0.02115	0.0303637	0.0469137	0.0828232	0.166942	0.259241	0.374916
a87	0.0171576	0.0183881	0.0237658	0.036222	0.0727464	0.16055	0.268775	0.402395
</S>	0.018715	0.0214354	0.0279416	0.0362079	0.0647049	0.141616	0.264456	0.424923
