 	le	sculpteur	taille	le	bois	de	fer	</S>
a66	0.37726	0.240157	0.122571	0.0920372	0.0670618	0.0429095	0.0311334	0.0268703
a87	0.337721	0.223202	0.173726	0.124777	0.0541182	0.0341227	0.0286716	0.023661
a23	0.450562	0.31632	0.155957	0.0347117	0.00908545	0.00810222	0.0111785	0.0140827
a79	0.452178	0.284711	0.145639	0.0359898	0.0113761	0.0134096	0.0238044	0.0328922
a58	0.504044	0.257058	0.125898	0.0388611	0.0175678	0.0140617	0.0201792	0.0223293
a20	0.282009	0.23318	0.147933	0.0862579	0.0600547	0.0554765	0.0721842	0.0629057
a7	0.217978	0.221567	0.192842	0.156921	0.0904841	0.0471126	0.041222	0.0318734
a54	0.0935239	0.108575	0.159682	0.189426	0.153662	0.107693	0.101858	0.0855804
a47	0.0915354	0.109892	0.123672	0.161373	0.161029	0.12593	0.121468	0.105101
a92	0.0736067	0.090473	0.12043	0.175222	0.156385	0.128622	0.130622	0.12464
a47	0.0841259	0.0905378	0.117341	0.155114	0.134849	0.126496	0.140603	0.150933
a36	0.0582593	0.0637167	0.0904479	0.151	0.182666	0.160927	0.148037	0.144946
a2	0.0397333	0.0380111	0.0339917	0.0494941	0.105354	0.168678	0.244018	0.32072
a21	0.0213562	0.0176014	0.0125174	0.0127458	0.034516	0.0866871	0.255459	0.559117
a47	0.048693	0.0387298	0.0336441	0.0406312	0.106413	0.175571	0.233167	0.323151
a96	0.0289707	0.025179	0.0215177	0.0304547	0.0930334	0.183654	0.253873	0.363318
a4	0.0100617	0.00893086	0.00740184	0.00949892	0.0336229	0.111971	0.270144	0.548369
a70	0.00818807	0.00692433	0.00557036	0.00663311	0.0208326	0.0777071	0.242894	0.63125
a13	0.00717411	0.00606825	0.00470886	0.00617158	0.0191831	0.072339	0.240477	0.643878
a30	0.0144572	0.0116484	0.00793934	0.00924281	0.0256551	0.0765048	0.232432	0.62212
a13	0.142756	0.0757427	0.0610208	0.0559049	0.0744031	0.112691	0.181789	0.295693
a9	0.200531	0.124038	0.0915775	0.0622973	0.0601491	0.0898159	0.142813	0.228779
a10	0.310873	0.183345	0.110879	0.0594646	0.0475344	0.0636107	0.0893171	0.134976
a87	0.283391	0.201726	0.139145	0.0752515	0.0484886	0.0558415	0.0747816	0.121376
a23	0.219516	0.173795	0.140481	0.0902525	0.0608565	0.0691693	0.0922091	0.153721
a87	0.227792	0.14917	0.118411	0.062521	0.0478748	0.0803595	0.115954	0.197918
</S>	0.0587935	0.042122	0.0520251	0.0383979	0.0506231	0.1178	0.216922	0.423316
