 	la	femme	est	rentrée	du	village	de	son	mari	</S>
a66	0.112838	0.211788	0.302525	0.232771	0.0882507	0.0248574	0.0104302	0.00719761	0.00493324	0.00440916
a87	0.31535	0.270461	0.191486	0.0730705	0.0538108	0.040724	0.021607	0.0154611	0.0101764	0.00785316
a97	0.27281	0.2526	0.170761	0.131311	0.0799808	0.0381323	0.0173168	0.0135869	0.0110779	0.0124237
a87	0.285133	0.271313	0.154207	0.147779	0.0703155	0.0268095	0.0122567	0.0104261	0.00940652	0.0123538
a10	0.245968	0.246813	0.175554	0.164709	0.0836889	0.0338389	0.0151305	0.011574	0.00987548	0.0128489
a38	0.205128	0.237459	0.17271	0.199881	0.0932346	0.0395175	0.0166764	0.0129188	0.010476	0.0119992
a90	0.140981	0.220252	0.151767	0.264278	0.125383	0.0597189	0.0158451	0.00931207	0.00657833	0.00588456
a98	0.226168	0.193724	0.154198	0.209643	0.128343	0.0573919	0.0165532	0.00822737	0.00363225	0.00211923
a6	0.150769	0.154954	0.223306	0.181113	0.126492	0.0801842	0.0365131	0.0244249	0.013723	0.00852108
a75	0.149075	0.167958	0.214415	0.1684	0.102668	0.0736132	0.0455499	0.0374234	0.0243446	0.0165516
a85	0.146579	0.128043	0.166966	0.174765	0.126493	0.0825047	0.0546994	0.0505104	0.0373637	0.0320758
a92	0.104067	0.0796259	0.112663	0.145384	0.103566	0.0726067	0.0751736	0.101886	0.104187	0.100841
a56	0.131264	0.133996	0.172015	0.211608	0.0857294	0.0386712	0.0402047	0.0563985	0.064233	0.0658803
a96	0.117681	0.138811	0.18558	0.214674	0.0846627	0.0432012	0.0396317	0.0486574	0.0608029	0.0662973
a93	0.0714785	0.0868536	0.138495	0.20217	0.113887	0.0699947	0.0657463	0.070807	0.0810919	0.0994768
a56	0.0431581	0.0521672	0.0841562	0.132812	0.0974319	0.081623	0.101573	0.128149	0.133896	0.145033
a98	0.0162743	0.0188106	0.0334152	0.081007	0.0738251	0.0828598	0.140168	0.192614	0.181875	0.179151
a79	0.00405451	0.00405042	0.00854864	0.0443232	0.0792106	0.103855	0.166716	0.199779	0.195065	0.194397
a7	0.00092171	0.00146067	0.00280698	0.0190251	0.0199334	0.0374041	0.0842341	0.149565	0.271352	0.413297
a93	0.000375463	0.000433957	0.000643052	0.00428738	0.00446901	0.0118956	0.0350972	0.100858	0.287969	0.553971
a56	0.000531004	0.000513273	0.000713033	0.00308497	0.00404853	0.0127153	0.0383833	0.107355	0.272868	0.559787
a93	0.000427411	0.000286027	0.000485707	0.00139683	0.00374243	0.0133645	0.0443565	0.115528	0.266995	0.553418
a70	0.000248948	0.000169332	0.000303413	0.00109319	0.00252307	0.0090057	0.0379721	0.118691	0.288624	0.541369
a13	0.000360868	0.000278177	0.00050506	0.00198092	0.00342072	0.0115963	0.0390869	0.125093	0.28935	0.528328
a3	0.000936696	0.00131763	0.00227756	0.00755378	0.0107857	0.0392763	0.0797123	0.154839	0.264747	0.438555
a97	0.0853184	0.103498	0.11148	0.131011	0.0958751	0.108247	0.0995516	0.093954	0.0812488	0.0898165
a3	0.0609916	0.0732394	0.0894379	0.137754	0.114556	0.153803	0.123849	0.104418	0.0732777	0.0686733
a97	0.0397526	0.0444925	0.0568302	0.143305	0.116836	0.104989	0.0975046	0.113324	0.127324	0.155642
a99	0.0293845	0.0387039	0.0571439	0.175749	0.126784	0.0896797	0.0836377	0.105148	0.13011	0.16366
a97	0.0172734	0.0210892	0.0333437	0.102909	0.0684972	0.049474	0.052642	0.0935008	0.194374	0.366896
a99	0.0258651	0.0343875	0.0540069	0.116779	0.0721243	0.0573482	0.0610089	0.0986259	0.176812	0.303043
a97	0.0126218	0.0123731	0.0189984	0.0510181	0.0372291	0.0332039	0.0464614	0.0967402	0.230589	0.460765
</S>	0.0293101	0.0337727	0.0439341	0.0869592	0.0498735	0.0399932	0.0508164	0.0974591	0.202994	0.364887
