 	les	poissons	qui	entrent	dans	le	tuyau	embí	finissent	dans	la	nasse	</S>
a87	0.170592	0.10125	0.0823531	0.053207	0.0659304	0.134264	0.182366	0.0620037	0.0398774	0.0366946	0.0275772	0.0238258	0.0200589
a40	0.0547926	0.0261375	0.0167198	0.013546	0.0211228	0.0352999	0.0596757	0.0441935	0.0689904	0.097787	0.126698	0.193173	0.241864
a37	0.103503	0.0440394	0.0297654	0.0176056	0.02434	0.0466761	0.062197	0.0425822	0.0674379	0.114987	0.125889	0.139898	0.18108
a43	0.385219	0.147159	0.0825681	0.0353824	0.03767	0.0592301	0.0533482	0.0405891	0.0381138	0.0297903	0.02196	0.0257374	0.0432324
a47	0.37338	0.154872	0.103538	0.0434074	0.0510393	0.0765027	0.0616815	0.0459908	0.0226746	0.016968	0.0136816	0.0143891	0.0218747
a70	0.195386	0.117555	0.107284	0.059702	0.0831488	0.115357	0.100417	0.079344	0.035663	0.0274815	0.022245	0.0236072	0.0328086
a98	0.366443	0.159761	0.126593	0.0482973	0.0496152	0.0714789	0.059199	0.034909	0.0155955	0.0142226	0.0141231	0.0169546	0.0228071
a47	0.14311	0.108263	0.121273	0.0722263	0.094817	0.122899	0.116531	0.0768707	0.0310618	0.0261182	0.024364	0.0281633	0.034303
a85	0.152732	0.13955	0.162523	0.101275	0.0959521	0.0959516	0.0825968	0.0593459	0.0237101	0.0191559	0.0181384	0.0216182	0.0274498
a34	0.150727	0.139914	0.164981	0.0992087	0.0895891	0.0998444	0.088342	0.0598206	0.0305279	0.0206766	0.017003	0.0181344	0.0212308
a92	0.137587	0.144812	0.182587	0.112285	0.113527	0.109688	0.0827753	0.0524219	0.0185295	0.0124534	0.0103375	0.0108227	0.0121745
a70	0.114549	0.124357	0.163351	0.110982	0.108235	0.107271	0.0921869	0.0695501	0.0330948	0.0207147	0.0165737	0.0176597	0.0214751
