 	il	y	a	longtemps	que	je	ne	suis	plus	parti	au	marché	</S>
a66	0.0974332	0.088609	0.0784622	0.0824395	0.103887	0.138153	0.155161	0.141247	0.0771967	0.0231614	0.00786661	0.0040906	0.00229378
a87	0.118738	0.107301	0.0967327	0.131454	0.150563	0.144177	0.0955941	0.0698877	0.0362348	0.0187624	0.0133591	0.0104955	0.00670017
a23	0.204147	0.155489	0.157926	0.164381	0.134066	0.0822108	0.0414031	0.0238391	0.00993904	0.00676376	0.00538438	0.00671078	0.00773986
a87	0.157831	0.167201	0.142452	0.162745	0.140301	0.1085	0.0414432	0.028006	0.0110543	0.00792993	0.00804391	0.0110774	0.0134149
a23	0.146418	0.148204	0.129542	0.15155	0.141795	0.113692	0.0497698	0.0384669	0.0196162	0.0151049	0.0138214	0.0161098	0.0159099
a99	0.106987	0.121198	0.103141	0.128327	0.13138	0.131724	0.0596234	0.0506034	0.0265336	0.0298075	0.0337225	0.0422782	0.0346738
a50	0.108427	0.121301	0.108512	0.117984	0.126976	0.136635	0.0709797	0.0551557	0.0296298	0.0310878	0.0326141	0.0381041	0.0225944
a31	0.101868	0.131497	0.126878	0.131105	0.130437	0.126566	0.0779139	0.0683964	0.0304967	0.0241707	0.0189758	0.0178259	0.0138694
a61	0.0808143	0.101769	0.10585	0.12764	0.135497	0.140279	0.0968371	0.0893951	0.0398824	0.0293287	0.0206347	0.0179214	0.0141498
a47	0.0836299	0.0904584	0.0884971	0.109855	0.127704	0.146524	0.111229	0.104918	0.0440025	0.0306139	0.0230811	0.022009	0.0174775
a96	0.0737327	0.0719339	0.0740881	0.09037	0.115648	0.148716	0.116552	0.112119	0.0506663	0.0359764	0.0352083	0.0404692	0.0345191
a75	0.0522929	0.0528479	0.0620561	0.0822529	0.101035	0.136181	0.13604	0.144819	0.074681	0.042391	0.0357817	0.0414948	0.0381272
a85	0.0249528	0.0267047	0.0375159	0.0605095	0.082389	0.126505	0.137387	0.158723	0.0997252	0.0613803	0.0554241	0.0643743	0.0644099
a5	0.0280917	0.0305309	0.0409187	0.0602436	0.0737512	0.0994533	0.109448	0.132734	0.110249	0.0803257	0.072436	0.0737074	0.0881106
a61	0.0306204	0.0338139	0.0397192	0.0589194	0.0689441	0.115173	0.15017	0.170531	0.122619	0.0545723	0.0406301	0.0517709	0.0625156
a75	0.0297427	0.0309266	0.0371895	0.0526277	0.0609595	0.0980375	0.135919	0.135536	0.129404	0.0776473	0.0568573	0.0658098	0.0893433
a85	0.0135151	0.0136585	0.0160903	0.019677	0.0210462	0.0316486	0.0486656	0.0578882	0.0969464	0.117601	0.144503	0.176654	0.242106
a5	0.0156373	0.013987	0.0173032	0.0183695	0.0172526	0.0212497	0.0346802	0.0360044	0.0736648	0.102519	0.127153	0.193792	0.328388
a85	0.0140761	0.0136369	0.0156774	0.0179646	0.0174984	0.0207466	0.029525	0.0346831	0.0816037	0.125179	0.145166	0.194789	0.289455
a5	0.00934957	0.00880871	0.0101445	0.0101647	0.00938718	0.0086254	0.0104125	0.0100265	0.0284543	0.0725857	0.155823	0.260632	0.405585
a37	0.00686676	0.00614086	0.0074882	0.00709255	0.00610721	0.00579969	0.00697729	0.00755337	0.0309746	0.0896476	0.14395	0.255133	0.426269
a18	0.00659341	0.00572429	0.00758118	0.00665454	0.00506524	0.00390124	0.00388661	0.0035817	0.0130407	0.0448554	0.0940317	0.259485	0.545599
a71	0.00375833	0.00269552	0.00367717	0.00319353	0.00232213	0.00127297	0.00102754	0.000656437	0.00190983	0.0110275	0.0488971	0.241533	0.678029
a82	0.0197398	0.0168853	0.0222917	0.0268286	0.027494	0.0184085	0.0170451	0.00891695	0.0151155	0.0407199	0.0855495	0.222321	0.478684
a97	0.0781219	0.0570599	0.0645095	0.0705656	0.073168	0.0502674	0.058737	0.0352362	0.032284	0.0432069	0.0587612	0.117848	0.260234
a87	0.111411	0.0844003	0.0839205	0.0981066	0.0864043	0.0693842	0.0824908	0.0571409	0.0534707	0.0587997	0.055084	0.0640805	0.0953066
a23	0.120263	0.0931153	0.0952095	0.115103	0.0983354	0.0757298	0.0785003	0.0565757	0.0580185	0.0560475	0.0493778	0.0480301	0.0556932
a87	0.0682525	0.051971	0.0489576	0.0553974	0.0421449	0.0278239	0.0286449	0.0216536	0.0282013	0.0547505	0.103293	0.17793	0.290979
</S>	0.0262651	0.0186555	0.0168547	0.0194706	0.0176253	0.0150106	0.0184621	0.0162288	0.0191028	0.0391232	0.0991622	0.24122	0.452819
