 	c'	est	toi	qui	nous	a	fait	rater	le	voyage	</S>
a66	0.214813	0.184032	0.147668	0.0888072	0.0732506	0.0773376	0.0725647	0.0644503	0.0402965	0.0212922	0.0154877
a87	0.188304	0.137082	0.105565	0.0966046	0.0990268	0.111814	0.0890437	0.103334	0.0366053	0.0172825	0.0153377
a23	0.187466	0.15471	0.151924	0.126974	0.110366	0.0995036	0.0573088	0.0457695	0.0232101	0.0192032	0.0235644
a4	0.103463	0.0945006	0.105047	0.128113	0.183494	0.139803	0.100085	0.0631519	0.0233503	0.0228588	0.0361326
a58	0.177147	0.155679	0.145867	0.138049	0.126785	0.104476	0.0768546	0.036395	0.0129353	0.0106126	0.0151987
a90	0.148328	0.148513	0.152086	0.153813	0.124433	0.111087	0.108117	0.0294157	0.00791679	0.00717458	0.00911602
a92	0.108386	0.127002	0.153295	0.153159	0.117799	0.126875	0.138314	0.0402934	0.0114232	0.010578	0.0128749
a75	0.0615359	0.0667573	0.0898335	0.116575	0.114409	0.1495	0.186758	0.10158	0.0404186	0.0329638	0.0396692
a47	0.0596511	0.0594472	0.0773324	0.115147	0.119868	0.154881	0.189313	0.122058	0.0460905	0.0280754	0.0281369
a31	0.044145	0.039309	0.0485849	0.0857769	0.143075	0.180362	0.210604	0.141237	0.0490127	0.0299406	0.027953
a0	0.0495118	0.0385081	0.0450653	0.0663511	0.116585	0.156347	0.176927	0.170167	0.0740303	0.0503186	0.0561894
a24	0.0346762	0.0264	0.0327284	0.0557977	0.111551	0.169194	0.201344	0.189231	0.0845172	0.04682	0.0477401
a0	0.0185188	0.0128188	0.0130024	0.0201202	0.0528073	0.0993724	0.168059	0.254699	0.180722	0.101352	0.0785283
a34	0.0176359	0.0128861	0.0121807	0.0148575	0.031207	0.0617916	0.116644	0.278989	0.205883	0.132417	0.115508
a31	0.00597659	0.00399555	0.00416333	0.006223	0.0175972	0.0291409	0.0502725	0.183014	0.272461	0.240316	0.186841
a0	0.00428421	0.00296072	0.00307954	0.00416203	0.0116307	0.0172885	0.0287226	0.11874	0.260095	0.299777	0.24926
a21	0.0057335	0.00434566	0.00423149	0.00477823	0.0094323	0.0156382	0.0246763	0.0671234	0.173829	0.314414	0.375798
a12	0.00409705	0.0030088	0.00312039	0.00334542	0.00460565	0.00658576	0.00831758	0.0258525	0.156257	0.377168	0.407641
a43	0.000974325	0.000732923	0.000800452	0.00101018	0.00214759	0.00360507	0.00584511	0.0253836	0.121959	0.355777	0.481765
a47	0.00106282	0.000711327	0.00067415	0.000763122	0.00125142	0.00244116	0.00445812	0.0152266	0.0723297	0.277339	0.623743
a88	0.00106076	0.000737972	0.000722893	0.000728458	0.00107118	0.00194347	0.0031076	0.00968809	0.0548206	0.253054	0.673065
a94	0.00279693	0.00170141	0.00156022	0.00159787	0.00157443	0.00383079	0.00521488	0.0171158	0.0844082	0.290958	0.589241
a38	0.00250349	0.00163708	0.00157686	0.00189668	0.00185775	0.00434693	0.00726991	0.0229329	0.0945369	0.293311	0.568131
a11	0.0153499	0.00927572	0.00813932	0.0101035	0.0086617	0.0167035	0.0222638	0.0500434	0.115505	0.251248	0.492706
a10	0.0319792	0.020685	0.017758	0.0198404	0.0147945	0.0234499	0.031081	0.0503693	0.10049	0.218641	0.470912
a87	0.183704	0.116817	0.0929665	0.0777803	0.0463023	0.0555952	0.0445504	0.0425728	0.0634219	0.105393	0.170896
a23	0.204521	0.133826	0.116874	0.0897916	0.0699311	0.0705288	0.048655	0.0405939	0.0544146	0.0735101	0.0973547
a87	0.0817821	0.0407711	0.0325046	0.0189427	0.014271	0.0202894	0.0128455	0.0181876	0.0777764	0.209912	0.472718
</S>	0.0119988	0.00549857	0.00439018	0.00335804	0.00359426	0.00599216	0.00540199	0.0168977	0.107845	0.258869	0.576155
