 	il	fait	chaud	dans	la	cuisine	de	leur	grand-mère	</S>
a15	0.22105	0.175303	0.102649	0.0861357	0.13994	0.129879	0.0859873	0.0320078	0.0152305	0.011817
a66	0.268735	0.179529	0.142733	0.0956609	0.096958	0.101936	0.0527137	0.0237734	0.0170691	0.0208923
a10	0.310262	0.239558	0.220519	0.0764264	0.0501439	0.0402318	0.0146727	0.0108787	0.0140872	0.0232197
a87	0.310901	0.296474	0.199229	0.0636311	0.0495364	0.0366621	0.0131903	0.00790266	0.00876758	0.0137056
a23	0.323608	0.264343	0.173093	0.067464	0.052858	0.0455455	0.0209508	0.012274	0.0148072	0.0250569
a83	0.305812	0.225075	0.145481	0.0583585	0.0495293	0.0462179	0.0420427	0.0343397	0.0389653	0.0541787
a61	0.223205	0.195279	0.14204	0.0810928	0.0718952	0.0554307	0.0645974	0.0571737	0.0518238	0.0574625
a41	0.201719	0.203392	0.161663	0.105936	0.0765475	0.0536426	0.0788854	0.0600648	0.0337363	0.0244133
a6	0.0859155	0.102889	0.13252	0.112685	0.118188	0.104222	0.128518	0.10125	0.0607804	0.053032
a5	0.064584	0.0881616	0.139312	0.144267	0.15993	0.14324	0.115483	0.0747644	0.0384173	0.0318404
a43	0.0688763	0.0883097	0.146004	0.158884	0.183934	0.158533	0.0852845	0.0496349	0.0310965	0.0294425
a31	0.0565083	0.0747182	0.14931	0.168964	0.19465	0.15591	0.074405	0.0478017	0.0377995	0.0399324
a62	0.0543491	0.0624395	0.130573	0.167465	0.204791	0.178133	0.0810243	0.046016	0.0369848	0.0382239
a0	0.0361713	0.0426339	0.118819	0.167569	0.216637	0.189875	0.0852988	0.0474183	0.0441602	0.0514173
a75	0.029568	0.0359133	0.0961853	0.141121	0.210117	0.190167	0.0891499	0.0564065	0.0655462	0.0858268
a41	0.0333006	0.0357371	0.0637181	0.0820826	0.136267	0.137881	0.108262	0.104021	0.131347	0.167383
a0	0.0268778	0.0235999	0.033913	0.0387248	0.0689768	0.0732901	0.0803356	0.139392	0.24044	0.27445
a44	0.0310868	0.0311712	0.0469896	0.0526992	0.0938416	0.104758	0.086464	0.0903148	0.165817	0.296858
a26	0.0255382	0.0243092	0.0374837	0.0426951	0.0679406	0.087427	0.104371	0.112572	0.186377	0.311286
a75	0.0224913	0.0186764	0.0204725	0.0186228	0.0272954	0.0313221	0.0467777	0.0957208	0.216786	0.501835
a85	0.00494765	0.00422985	0.0053932	0.00578461	0.00972648	0.0186508	0.0458445	0.128375	0.333969	0.443079
a6	0.0052615	0.00421668	0.00435775	0.00433305	0.00718877	0.0123197	0.0320124	0.119712	0.343119	0.467479
a85	0.00236778	0.00189631	0.00290236	0.00317395	0.00489063	0.00784921	0.0254976	0.132178	0.336043	0.483201
a47	0.00206308	0.00140313	0.00163463	0.00160184	0.0021637	0.00283693	0.0139974	0.129766	0.383161	0.461372
a98	0.0012091	0.000811289	0.000927344	0.000840963	0.000944548	0.00120143	0.00666953	0.063335	0.32591	0.598151
a47	0.000877873	0.000661179	0.00100635	0.00104201	0.00119568	0.00145362	0.00813708	0.0847271	0.356935	0.543965
a36	0.00155251	0.00103393	0.00115826	0.00105089	0.00121547	0.00151579	0.00770631	0.0546522	0.288361	0.641753
a2	0.0155624	0.00813013	0.00476917	0.00509734	0.0046445	0.00417024	0.00918936	0.0406473	0.24692	0.66087
a57	0.110469	0.047489	0.0294419	0.0386913	0.0340029	0.0249075	0.0354296	0.0840615	0.219989	0.375519
a87	0.269068	0.124007	0.0795589	0.0706717	0.0497131	0.0343658	0.0407143	0.0590759	0.106452	0.166373
a23	0.297966	0.16914	0.132332	0.0914529	0.058223	0.0379037	0.0407532	0.0413346	0.0527481	0.0781459
a87	0.189775	0.100014	0.0991316	0.0675933	0.0365226	0.0288028	0.0381524	0.079159	0.139895	0.220954
</S>	0.0203441	0.0102944	0.0129266	0.011022	0.0078014	0.00917511	0.0203624	0.0877345	0.270697	0.549643
