 	elle	changea	d'	avis	et	rentra	chez	son	mari	</S>
a23	0.362238	0.216729	0.0670004	0.0562754	0.032938	0.0218881	0.0305363	0.0541501	0.0812278	0.0770172
a10	0.340949	0.158535	0.0810316	0.077342	0.0591929	0.0403241	0.0419754	0.0555018	0.070618	0.0745304
a87	0.145748	0.111937	0.0854723	0.0931399	0.075338	0.0625726	0.0625839	0.0962896	0.123898	0.14302
a23	0.151871	0.130983	0.112297	0.0940491	0.0823269	0.0712297	0.0611001	0.0827636	0.0931694	0.120211
a79	0.19875	0.133356	0.116603	0.117866	0.0641477	0.0524275	0.046014	0.0705327	0.0888697	0.111434
a20	0.378178	0.286085	0.131931	0.103631	0.0310543	0.0195611	0.00948262	0.0103825	0.0134017	0.0162927
a44	0.349186	0.290792	0.172953	0.113007	0.0307932	0.0172673	0.00829078	0.0069841	0.00578914	0.00493713
a13	0.24116	0.261045	0.224577	0.16417	0.0500844	0.0234599	0.0104384	0.00915969	0.00818012	0.00772533
a24	0.161136	0.207046	0.242621	0.228811	0.0710603	0.0289513	0.0141307	0.014246	0.0152061	0.0167915
a98	0.128588	0.168587	0.220884	0.254287	0.108551	0.040405	0.0189671	0.0186601	0.0194504	0.0216204
a54	0.128104	0.165316	0.207172	0.237214	0.122235	0.0522117	0.0231062	0.0206904	0.0204586	0.0234929
a14	0.118943	0.149904	0.190566	0.214872	0.127971	0.0609963	0.0306221	0.0302873	0.0344206	0.0414179
a41	0.112728	0.149118	0.183159	0.220095	0.127984	0.0691124	0.0404857	0.0346516	0.0295524	0.0331137
a14	0.0963023	0.121459	0.1434	0.192205	0.134281	0.0832344	0.0595653	0.0581736	0.0532398	0.0581402
a44	0.0586172	0.0790305	0.0959559	0.135722	0.126871	0.0972269	0.0960812	0.110613	0.0955035	0.104379
a84	0.0599762	0.0709288	0.0831731	0.107569	0.130634	0.107041	0.0918521	0.104213	0.115097	0.129516
a11	0.0146097	0.0161312	0.0280595	0.0472903	0.122359	0.146124	0.134316	0.153287	0.153943	0.183881
a35	0.0227648	0.0240062	0.0367025	0.058057	0.128635	0.149469	0.125938	0.140038	0.141318	0.173073
a0	0.0383651	0.0488186	0.0493517	0.0684561	0.101809	0.116257	0.115219	0.140344	0.149204	0.172177
a11	0.0209211	0.0214885	0.0255041	0.0457981	0.0857314	0.116899	0.131699	0.162687	0.181087	0.208185
a13	0.0234455	0.0233618	0.0287671	0.0498229	0.0919021	0.143426	0.158288	0.166918	0.154263	0.159806
a57	0.0255904	0.0237168	0.0232657	0.0359017	0.0608041	0.121688	0.170019	0.184184	0.169605	0.185225
a82	0.0181347	0.0185211	0.0170421	0.0219858	0.0506826	0.11115	0.16717	0.195683	0.183864	0.215766
a87	0.00796281	0.00879664	0.0088753	0.0100304	0.0289588	0.0672564	0.142425	0.206018	0.237553	0.282124
a23	0.016629	0.0155381	0.0212243	0.0246382	0.0537547	0.0793128	0.128446	0.177532	0.216836	0.266089
a40	0.00309207	0.00232858	0.00437593	0.00763537	0.0205468	0.0425358	0.0831261	0.160349	0.269846	0.406164
a73	0.00499682	0.00618159	0.0120385	0.0145597	0.0243266	0.0482457	0.0743719	0.126038	0.240693	0.448548
a44	0.00372812	0.00573624	0.0119461	0.0149853	0.0310597	0.0540762	0.0947487	0.160213	0.260828	0.362678
a57	0.00336901	0.0042615	0.00748047	0.00953997	0.0181232	0.0412521	0.0805358	0.149693	0.293794	0.39195
a38	0.000858279	0.000975421	0.00191812	0.00274461	0.00827708	0.0276326	0.0774137	0.162896	0.309606	0.407678
a90	0.00194804	0.00240905	0.0040447	0.00682799	0.0150478	0.045479	0.0991825	0.17027	0.278979	0.375812
a70	0.00660242	0.00866049	0.012649	0.0226478	0.0341009	0.0657743	0.110725	0.166573	0.258973	0.313294
a90	0.0022205	0.00230589	0.00365834	0.00757155	0.0120045	0.0296209	0.0795789	0.160236	0.304402	0.398401
a98	0.00917857	0.0104866	0.0118655	0.0177932	0.0182021	0.035963	0.0867579	0.160292	0.28429	0.365171
a61	0.00610353	0.00574915	0.00738383	0.0129447	0.0135009	0.0276449	0.0794099	0.155553	0.297072	0.394637
a75	0.00513019	0.00392393	0.00552741	0.00873287	0.0103886	0.0201737	0.0608542	0.139779	0.314378	0.431112
a56	0.00995944	0.00643177	0.00676689	0.00944549	0.00989305	0.0189756	0.0575539	0.134398	0.305411	0.441165
a93	0.00400428	0.00302779	0.00376176	0.00509019	0.00718076	0.0142123	0.0475966	0.121015	0.310071	0.484041
a35	0.00288718	0.00257853	0.00319499	0.00397079	0.00743323	0.0195907	0.064142	0.144496	0.299238	0.452469
a56	0.00378782	0.00239409	0.00279477	0.00347408	0.00413479	0.00867437	0.0328637	0.0992103	0.310125	0.532541
a93	0.00382915	0.00285198	0.00352758	0.00437667	0.00631081	0.0133837	0.047567	0.119956	0.295106	0.503091
a70	0.00281632	0.00244448	0.00333202	0.00459298	0.00815003	0.0195433	0.063837	0.140629	0.292165	0.46249
a99	0.00353231	0.00244352	0.00333983	0.00472413	0.00758963	0.0165524	0.056522	0.135197	0.290836	0.479264
a9	0.00175143	0.0010621	0.00162235	0.00240309	0.00379842	0.00971016	0.0484518	0.13441	0.282657	0.514133
a99	0.00346088	0.00188051	0.00217446	0.00270789	0.00523075	0.0163662	0.0608358	0.150339	0.269156	0.487849
a87	0.00229028	0.00129844	0.00152115	0.00182696	0.00307436	0.0109937	0.0476903	0.135431	0.27566	0.520214
</S>	0.00651971	0.00405758	0.00476144	0.0038851	0.00506067	0.0176173	0.0562011	0.138882	0.259914	0.503101
