 	ses	copains	se	moquent	de	lui	parce	qu'	il	est	encore	puceau	</S>
a66	0.154941	0.100455	0.0582973	0.0935956	0.0870363	0.0957638	0.116973	0.108014	0.098714	0.0463215	0.0208891	0.0109959	0.00800437
a87	0.358672	0.130102	0.0427118	0.0347927	0.0344538	0.0432846	0.0566703	0.0536894	0.0530043	0.0423993	0.0391608	0.0500717	0.0609879
a23	0.551483	0.112497	0.0517705	0.0441379	0.0260146	0.0313916	0.0354661	0.0339093	0.0316076	0.0212242	0.0130114	0.0164155	0.0310715
a87	0.41083	0.124809	0.0678476	0.0631774	0.0473407	0.04773	0.0437462	0.0400552	0.0372048	0.0254727	0.0190103	0.0285619	0.0442136
a23	0.388961	0.132626	0.0932253	0.0815376	0.0386822	0.0423539	0.0439389	0.0431331	0.0426617	0.0288516	0.0182312	0.0192515	0.0265457
a87	0.328455	0.162629	0.0863639	0.0547492	0.0258698	0.0322644	0.0305063	0.0341797	0.0460531	0.0449244	0.0391056	0.0531011	0.0617985
a40	0.290242	0.138065	0.112892	0.0820055	0.0393605	0.047852	0.0470695	0.0475035	0.054136	0.0413222	0.0286853	0.029863	0.0410036
a6	0.254517	0.307546	0.0611557	0.0343222	0.0219467	0.0219552	0.0198524	0.0179318	0.0258894	0.066847	0.0798627	0.0555024	0.0326709
a37	0.148978	0.29686	0.081368	0.0602733	0.0338184	0.0324926	0.0288924	0.0264492	0.0334622	0.0545099	0.0762426	0.0853832	0.0412697
a21	0.10102	0.253104	0.12685	0.104729	0.0741847	0.0648627	0.0480345	0.0342907	0.0358795	0.0407032	0.0423863	0.0450785	0.028877
a85	0.0938607	0.170376	0.11953	0.123081	0.103841	0.0876268	0.0748938	0.0545041	0.0534186	0.0397988	0.0322221	0.0265107	0.0203369
a47	0.0464238	0.104037	0.108643	0.114439	0.122944	0.096769	0.0851641	0.0680448	0.0639462	0.04792	0.0423994	0.0435706	0.0556993
a85	0.0500502	0.104306	0.136633	0.139427	0.138317	0.0994777	0.084046	0.0636087	0.0495251	0.0300984	0.0252216	0.0308659	0.0484241
a6	0.0399649	0.0737833	0.120738	0.127735	0.153891	0.111364	0.0925917	0.0684474	0.0512477	0.0335179	0.028262	0.0356939	0.0627632
a5	0.029716	0.0707315	0.127127	0.142669	0.134787	0.105121	0.0994214	0.0797031	0.0648721	0.0371256	0.0256111	0.0322983	0.0508181
a43	0.0149933	0.035473	0.123501	0.157991	0.158569	0.134002	0.116454	0.0887727	0.0647829	0.0291963	0.0196387	0.0202891	0.0363378
a0	0.0101384	0.0169909	0.0923642	0.158828	0.178098	0.162608	0.132693	0.0942595	0.0633764	0.0249084	0.0174097	0.0193761	0.0289501
a11	0.00697644	0.010677	0.0522863	0.129029	0.193911	0.181962	0.149099	0.110011	0.0741524	0.0263914	0.0172375	0.0205214	0.0277452
a90	0.00595063	0.0092168	0.0385914	0.101115	0.184527	0.182485	0.152141	0.124842	0.0912567	0.0359175	0.0201919	0.0232264	0.0305386
a98	0.00276864	0.0057743	0.0288419	0.0720439	0.132912	0.134754	0.139759	0.139885	0.103516	0.0546186	0.0418452	0.0537559	0.0895241
a85	0.00220771	0.00340629	0.0256754	0.0626323	0.146064	0.146773	0.135041	0.136389	0.0879795	0.0470074	0.0391072	0.0508349	0.116882
a6	0.00225722	0.00415752	0.0283643	0.0698872	0.155372	0.14142	0.120817	0.112229	0.0677387	0.0412434	0.0447538	0.0636464	0.148112
a21	0.00106735	0.00202153	0.0187782	0.0496931	0.135077	0.127868	0.113786	0.116084	0.0761294	0.0455215	0.0525377	0.0891625	0.172273
a92	0.00197388	0.00321691	0.0164515	0.0444469	0.110184	0.115203	0.127161	0.140296	0.0890696	0.0544116	0.0466146	0.0799668	0.171003
