 	le	manioc	préparé	par	cette	femme	n'	est	pas	bien	pétri	</S>
a87	0.199681	0.117867	0.110062	0.110963	0.109946	0.0938352	0.0952068	0.0595293	0.046445	0.0325464	0.0133003	0.010619
a23	0.265817	0.113154	0.0743186	0.0652563	0.0709111	0.06308	0.051851	0.0460098	0.0557663	0.0542828	0.0591773	0.0803754
a50	0.184559	0.178976	0.154568	0.113599	0.101201	0.0629152	0.0347795	0.0202744	0.0215166	0.0266632	0.0447288	0.0562185
a88	0.339522	0.240139	0.112635	0.078125	0.0723134	0.0447066	0.0272444	0.0161801	0.0173293	0.0206465	0.0171815	0.0139774
a9	0.352135	0.254417	0.129993	0.0743264	0.049978	0.0289389	0.023705	0.0170214	0.0197114	0.0214749	0.0190966	0.00920267
a38	0.163428	0.160954	0.106319	0.0955448	0.0891197	0.0711293	0.0551661	0.043889	0.0441264	0.052703	0.0660089	0.0516128
a90	0.126963	0.131392	0.101492	0.0996974	0.0977874	0.0801252	0.0603908	0.0465281	0.0480856	0.0606356	0.081029	0.0658739
a76	0.0924066	0.0965979	0.102319	0.11049	0.110061	0.0994835	0.0888372	0.0631924	0.0619089	0.0663688	0.0674013	0.0409331
a44	0.0976745	0.1034	0.113514	0.125657	0.113847	0.104839	0.0983655	0.0649818	0.0562803	0.0523845	0.0418454	0.0272097
a61	0.0625262	0.0829473	0.107409	0.1278	0.121943	0.126485	0.121561	0.0723963	0.0563495	0.0514377	0.0405394	0.0286042
a31	0.0796895	0.0989348	0.125393	0.138239	0.137517	0.122036	0.105027	0.0575537	0.0428762	0.0372676	0.03202	0.0234455
a0	0.0418622	0.0572401	0.0826348	0.112461	0.129078	0.146013	0.152404	0.0937713	0.0639229	0.0484829	0.0399147	0.0322145
a62	0.0178484	0.028707	0.0497042	0.0918685	0.126414	0.186085	0.194715	0.119065	0.0704753	0.0471351	0.0338691	0.0341135
a56	0.01648	0.0221121	0.0362463	0.0714528	0.102064	0.158331	0.186083	0.158257	0.105504	0.0643744	0.043029	0.0360664
a96	0.0287133	0.0311547	0.0415117	0.0768077	0.106105	0.149896	0.179942	0.150293	0.104775	0.0630626	0.0391581	0.0285808
a24	0.0161493	0.0178508	0.0238183	0.0475429	0.0762143	0.134443	0.180457	0.187787	0.142584	0.0846517	0.0500293	0.0384728
a47	0.0134648	0.0152638	0.0193748	0.0400695	0.0690208	0.135484	0.176154	0.186283	0.141937	0.0893419	0.055856	0.0577507
a34	0.0132326	0.0156149	0.01956	0.0409455	0.0704841	0.138796	0.174019	0.182397	0.139001	0.0905918	0.0548045	0.0605532
a47	0.0132177	0.014846	0.0160522	0.0308226	0.0507516	0.102348	0.148067	0.194174	0.168914	0.122941	0.07184	0.0660255
a24	0.0109035	0.0126209	0.0130864	0.0277318	0.0492621	0.102658	0.131512	0.167592	0.160884	0.13481	0.0903555	0.0985842
a31	0.00578795	0.00685158	0.00728473	0.0153925	0.0284344	0.0633889	0.0918861	0.142752	0.152181	0.16338	0.134589	0.188071
a26	0.00770593	0.00861771	0.00890461	0.0165623	0.026931	0.0551418	0.0807378	0.133881	0.148767	0.17302	0.154734	0.184997
a43	0.00288331	0.00306066	0.00318773	0.00732652	0.0151014	0.0313547	0.0406929	0.0721961	0.0940963	0.146147	0.167215	0.416738
a11	0.00157567	0.00144168	0.00164897	0.00399213	0.00861799	0.0181333	0.0225106	0.0414474	0.062679	0.119281	0.163268	0.555403
a0	0.00318319	0.00243881	0.00240843	0.00472552	0.00922906	0.0166605	0.0187582	0.0344588	0.0545752	0.100287	0.152676	0.600599
a24	0.00779724	0.00473619	0.00404262	0.00600056	0.00933374	0.0149787	0.0161486	0.0320664	0.051298	0.0916947	0.141522	0.620381
a9	0.00198431	0.00162456	0.00164317	0.00335778	0.00641733	0.0108876	0.0118202	0.0227032	0.0431944	0.0877762	0.152472	0.656119
a99	0.0276975	0.0163831	0.0125525	0.0159493	0.0200077	0.0253247	0.0228421	0.0440395	0.0644914	0.100002	0.13153	0.51918
a87	0.031401	0.0163988	0.0129637	0.0144668	0.0160507	0.018786	0.0176196	0.032726	0.055463	0.0910706	0.147546	0.545508
a23	0.0913965	0.0530372	0.0378916	0.0355199	0.0351355	0.0330427	0.0288076	0.040861	0.0657469	0.106934	0.130597	0.34103
a87	0.0296563	0.0184145	0.0160978	0.0189117	0.0191168	0.0233327	0.028307	0.0593279	0.104005	0.176409	0.201825	0.304595
</S>	0.0193465	0.0126255	0.0112825	0.015094	0.0142477	0.017537	0.0229115	0.0530285	0.0970742	0.180848	0.19926	0.356745
