 	il	y	a	des	grenouilles	dans	le	marécage	</S>
a87	0.236823	0.201999	0.166201	0.190856	0.0868503	0.0386833	0.0280416	0.0273977	0.0231488
a23	0.375533	0.198261	0.0961341	0.0623188	0.0393725	0.0341322	0.0415665	0.0618414	0.09084
a40	0.158678	0.110315	0.101155	0.121134	0.0722165	0.0487006	0.0584456	0.109428	0.219927
a47	0.256247	0.185338	0.131241	0.119828	0.0671392	0.0560188	0.0513264	0.0580758	0.0747861
a37	0.278877	0.227515	0.188431	0.146836	0.0648947	0.0280906	0.0175641	0.0247012	0.0230905
a44	0.164538	0.16754	0.205713	0.22523	0.111258	0.0394726	0.023416	0.0349779	0.0278533
a98	0.132564	0.136062	0.187681	0.284953	0.144041	0.0447303	0.0215208	0.0287884	0.0196592
a79	0.15664	0.175731	0.221828	0.266878	0.106802	0.0334592	0.0135525	0.0140764	0.011033
a37	0.143168	0.148163	0.182672	0.271031	0.143801	0.0515514	0.0213662	0.0219141	0.0163336
a98	0.166724	0.155609	0.179909	0.243048	0.154582	0.0490482	0.0184417	0.0185025	0.0141352
a47	0.149613	0.111949	0.121152	0.186306	0.19483	0.0991424	0.0437739	0.0517021	0.0415316
a41	0.141566	0.119132	0.119056	0.143022	0.179018	0.109772	0.0515446	0.0718828	0.0650064
a18	0.112373	0.0723412	0.0646025	0.0886292	0.164422	0.147488	0.0903727	0.14076	0.119012
a0	0.0505234	0.0358953	0.0358746	0.0449748	0.0830577	0.126457	0.156534	0.260773	0.205911
a75	0.0504017	0.03385	0.0320565	0.0404879	0.0668222	0.115233	0.163959	0.269278	0.227912
a85	0.0429531	0.0211433	0.0158794	0.0156142	0.0224049	0.0661798	0.165166	0.320957	0.329702
a66	0.0219012	0.013487	0.0101692	0.00980549	0.0140731	0.0467892	0.181309	0.350609	0.351858
a11	0.00519015	0.0022702	0.00196111	0.00253777	0.00437717	0.0171556	0.078333	0.291759	0.596416
a90	0.00298835	0.00114923	0.000957294	0.00157987	0.00264463	0.0114664	0.0681074	0.244309	0.666798
a4	0.00288166	0.00131553	0.00106826	0.00198001	0.00468712	0.0215723	0.0932642	0.278799	0.594432
a57	0.00334026	0.00149506	0.00100588	0.00170666	0.00463133	0.0243912	0.0967529	0.283841	0.582836
a3	0.00644603	0.00228684	0.00111122	0.00140004	0.0025678	0.0161081	0.0809195	0.24838	0.64078
a87	0.0584155	0.0345375	0.022845	0.0158937	0.01374	0.0222901	0.0644805	0.154876	0.612922
a23	0.158376	0.134478	0.106572	0.0673981	0.0523267	0.039895	0.0741668	0.149217	0.217571
a87	0.0194122	0.0148965	0.0109056	0.00980539	0.00997636	0.025226	0.124257	0.380911	0.40461
</S>	0.0027726	0.00212617	0.00220632	0.00326715	0.00718945	0.032661	0.136186	0.350911	0.46268
