 	cette	odeur	me	donne	la	nausée	</S>
a66	0.370809	0.201048	0.136418	0.0989436	0.0818155	0.0656662	0.0452997
a27	0.605453	0.275466	0.0774281	0.0180908	0.0118273	0.00695409	0.00478084
a87	0.589167	0.265701	0.078872	0.0257521	0.017104	0.0133405	0.0100641
a23	0.533897	0.325251	0.0882768	0.0227601	0.0127157	0.00861908	0.00848032
a10	0.408932	0.269057	0.131188	0.069389	0.0552964	0.0380665	0.0280708
a11	0.476484	0.205832	0.0955915	0.0645176	0.0575809	0.0532012	0.0467925
a94	0.30659	0.183584	0.102065	0.0897915	0.116262	0.111594	0.090113
a44	0.204971	0.176054	0.141293	0.151983	0.174883	0.0947591	0.0560572
a70	0.169258	0.165381	0.197622	0.2083	0.159416	0.0639202	0.0361035
a62	0.0629969	0.0853971	0.172393	0.250196	0.213851	0.135969	0.0791964
a12	0.0344248	0.0564025	0.113526	0.195127	0.232655	0.194598	0.173268
a62	0.0486012	0.0610647	0.127779	0.214534	0.250499	0.17747	0.120051
a18	0.0180344	0.0222053	0.0707613	0.174183	0.259078	0.240711	0.215028
a12	0.0158747	0.0166643	0.0556225	0.161647	0.292474	0.253064	0.204654
a18	0.00337184	0.00288327	0.0113837	0.0607441	0.195791	0.301353	0.424473
a96	0.00130874	0.00111084	0.00414459	0.0278475	0.144874	0.300639	0.520075
a20	0.00065404	0.000567776	0.00156138	0.0101528	0.082165	0.278219	0.62668
a44	0.000549244	0.000331208	0.000774214	0.00452666	0.0479224	0.26178	0.684117
a13	0.000787642	0.000477655	0.00111536	0.00557361	0.0473293	0.263017	0.681699
a26	0.000302476	0.000196459	0.000493859	0.00244913	0.0256866	0.233233	0.737639
a38	0.003476	0.00177715	0.002223	0.00539205	0.0262378	0.266326	0.694568
a82	0.014191	0.00649394	0.00520748	0.00714127	0.0231575	0.185405	0.758404
a25	0.0565004	0.03263	0.0204539	0.020775	0.0454132	0.20578	0.618448
a97	0.261966	0.17965	0.0853945	0.0422724	0.0469992	0.122808	0.260909
a87	0.225413	0.184238	0.120981	0.0531279	0.0472481	0.119745	0.249248
a23	0.183567	0.216647	0.176078	0.0738763	0.0623702	0.114759	0.172702
a87	0.189058	0.218431	0.1764	0.0797515	0.0843681	0.105346	0.146645
</S>	0.192328	0.196434	0.13065	0.0765064	0.112816	0.121153	0.170112
