 	il	casse	l'	os	pour	avoir	de	la	moëlle	</S>
a66	0.24526	0.191266	0.157307	0.170482	0.126842	0.0618127	0.0189756	0.00991499	0.00901211	0.00912756
a87	0.306081	0.197344	0.110872	0.0787607	0.0700531	0.03801	0.0356265	0.0484493	0.0494193	0.065384
a23	0.360573	0.210231	0.146008	0.0725345	0.0466047	0.0217653	0.0243692	0.026116	0.0314333	0.0603653
a20	0.280858	0.200118	0.134894	0.0654881	0.0528034	0.0357714	0.053873	0.0487709	0.0462588	0.0811642
a58	0.284439	0.229717	0.148939	0.101601	0.066784	0.0491226	0.0380166	0.0282215	0.024499	0.0286605
a53	0.227588	0.274782	0.212875	0.0986155	0.0497255	0.045887	0.0371933	0.0231853	0.0156704	0.0144785
a90	0.213287	0.242722	0.178897	0.102487	0.0544693	0.0420369	0.0496062	0.0443918	0.0403758	0.0317278
a56	0.150052	0.209241	0.164136	0.102522	0.0584946	0.0556066	0.0640043	0.0592874	0.074323	0.0623324
a98	0.128249	0.176414	0.169111	0.112513	0.0637596	0.0577865	0.0604643	0.0565449	0.089988	0.0851688
a47	0.0965406	0.140196	0.130846	0.110681	0.0711441	0.0664767	0.0645107	0.0670251	0.126472	0.126107
a15	0.0740691	0.0966468	0.115209	0.113538	0.0837091	0.0926945	0.0857976	0.0809316	0.114874	0.14253
a7	0.0863406	0.0975456	0.127524	0.121222	0.0810371	0.0814533	0.072723	0.0695264	0.112731	0.149897
a79	0.0570593	0.0560872	0.105886	0.127015	0.0808522	0.069811	0.0692687	0.0802218	0.136709	0.217089
a94	0.0791901	0.0819253	0.123309	0.134535	0.0874515	0.0789575	0.0591375	0.0564823	0.11329	0.185722
a61	0.0435675	0.0400532	0.0922543	0.180639	0.127254	0.0977734	0.0681245	0.0645022	0.100714	0.185117
a21	0.0231797	0.0229154	0.0467954	0.124072	0.106912	0.111915	0.0842863	0.0870961	0.145822	0.247007
a47	0.0159004	0.0149502	0.0284481	0.0821264	0.0826131	0.10991	0.0941202	0.111908	0.189814	0.27021
a96	0.0195588	0.0192154	0.0377278	0.112911	0.131201	0.165264	0.102972	0.0874938	0.128015	0.195641
a0	0.0178506	0.0161095	0.0264575	0.072316	0.0857526	0.139454	0.105004	0.095981	0.162469	0.278606
a11	0.0217196	0.0195316	0.0276792	0.0530682	0.049673	0.084709	0.0705571	0.0824168	0.183045	0.4076
a96	0.0189836	0.0144673	0.0207594	0.0354604	0.0360437	0.0613641	0.0577806	0.0760359	0.168398	0.510707
a88	0.00729176	0.006198	0.00975072	0.0231757	0.0253889	0.0522927	0.0613523	0.0847701	0.213574	0.516206
a75	0.00510581	0.00398332	0.00590054	0.0128595	0.0143995	0.0294621	0.0434506	0.083352	0.209771	0.591715
a6	0.00081432	0.000735862	0.00134786	0.00429439	0.0073661	0.0243081	0.0376719	0.0705601	0.211983	0.640919
a15	0.00043559	0.000382215	0.000710219	0.00249919	0.00440832	0.0158735	0.0338972	0.075864	0.20134	0.664589
a69	0.000503825	0.000453231	0.000740539	0.00230977	0.00394882	0.0107515	0.0197495	0.0522775	0.197841	0.711425
a32	0.00152035	0.00105047	0.00104881	0.00241637	0.00387449	0.00806492	0.0176209	0.0541079	0.228136	0.68216
a53	0.00174817	0.00116421	0.00118602	0.00243923	0.00291183	0.00698186	0.0189728	0.0608508	0.23041	0.673335
a69	0.00141691	0.000963384	0.00119586	0.0029923	0.00448127	0.00848166	0.0171908	0.0522833	0.215282	0.695713
a58	0.000643293	0.000453931	0.000634218	0.00163746	0.00230916	0.00478395	0.0109665	0.0403372	0.19959	0.738645
a82	0.000671704	0.000476924	0.000676238	0.00210145	0.00303837	0.00753719	0.0203869	0.0641085	0.254622	0.646381
a87	0.0686501	0.0382056	0.0339861	0.0595259	0.0565729	0.0664409	0.0789097	0.090845	0.191563	0.315301
a23	0.253124	0.124347	0.089438	0.102079	0.0903131	0.0612901	0.062762	0.0531998	0.0702599	0.0931868
a87	0.0487135	0.0196087	0.0105761	0.0128525	0.0156934	0.018223	0.0613215	0.126466	0.312147	0.374398
</S>	0.0103344	0.00433507	0.00259034	0.00408878	0.00595159	0.0104507	0.0336991	0.0919064	0.302637	0.534006
