 	okabhandzele	se	trouve	dans	la	forge	</S>
a66	0.387805	0.289359	0.138741	0.0857125	0.0443399	0.0313428	0.0226995
a87	0.489819	0.27673	0.112719	0.0633078	0.0290603	0.018787	0.00957699
a23	0.529602	0.287214	0.0952365	0.040613	0.0196152	0.0162207	0.0114979
a79	0.629912	0.236358	0.0552404	0.0201355	0.00983598	0.0140168	0.034501
a69	0.607725	0.204451	0.0473384	0.0307663	0.0272532	0.0410029	0.0414629
a58	0.56647	0.288101	0.0869685	0.0279324	0.012158	0.0109926	0.00737726
a20	0.306602	0.279691	0.186285	0.135275	0.0639231	0.0182322	0.00999224
a15	0.210465	0.233099	0.224424	0.174613	0.0821709	0.0415188	0.0337083
a98	0.057154	0.176839	0.326928	0.267417	0.0941063	0.0488153	0.0287399
a92	0.0749736	0.176029	0.290174	0.276116	0.110882	0.0491056	0.0227188
a54	0.0352032	0.0941393	0.238214	0.321342	0.179316	0.11025	0.0215362
a21	0.0260518	0.0892461	0.326821	0.299328	0.159094	0.0734674	0.0259922
a5	0.0108843	0.0272808	0.123195	0.269986	0.29263	0.21624	0.0597834
a12	0.00938115	0.0189641	0.0507482	0.150111	0.285072	0.344867	0.140857
a43	0.00420626	0.00740646	0.0158541	0.0602862	0.230987	0.405504	0.275756
a31	0.000697842	0.00127473	0.00251327	0.011698	0.0721262	0.259642	0.652048
a62	0.000221773	0.000478306	0.00107351	0.00497027	0.0332793	0.170063	0.789913
a88	0.000339034	0.000775702	0.00149449	0.00389589	0.015405	0.0751629	0.902927
a44	0.000383517	0.00103309	0.00172547	0.00372583	0.013532	0.0590038	0.920596
a4	0.000676178	0.00212539	0.00273432	0.00439635	0.0147658	0.0574019	0.9179
a44	0.000207852	0.00112062	0.00182522	0.00353142	0.0144099	0.0647303	0.914175
a26	0.000107042	0.000593455	0.00101738	0.00217335	0.0106128	0.0507715	0.934725
a82	0.00704471	0.0143462	0.0163672	0.0213811	0.0470521	0.108261	0.785547
a87	0.411899	0.216477	0.0731862	0.050058	0.050109	0.0643973	0.133874
a23	0.321582	0.32292	0.169718	0.0774752	0.0417064	0.0309849	0.0356142
a99	0.0473297	0.0672334	0.0251927	0.0218408	0.0462158	0.104243	0.687945
a97	0.00749051	0.0112446	0.00628055	0.011304	0.0424523	0.141301	0.779927
</S>	0.00401281	0.00593976	0.00488516	0.0102234	0.0473583	0.161882	0.765698
