 	le	ballon	est	dégonflé	</S>
a15	0.57107	0.213332	0.0823644	0.0880191	0.0452144
a66	0.425682	0.280724	0.145417	0.106532	0.0416446
a87	0.607639	0.183243	0.0830897	0.0746668	0.0513615
a10	0.697915	0.202412	0.0480374	0.0318227	0.0198132
a87	0.714094	0.206282	0.0400153	0.0233832	0.0162254
a10	0.675899	0.240293	0.0469323	0.0229848	0.0138907
a87	0.699526	0.207833	0.0497194	0.0259575	0.0169641
a97	0.656102	0.245455	0.0592971	0.0261729	0.0129732
a24	0.65762	0.21803	0.0709899	0.0359337	0.0174267
a62	0.582686	0.236139	0.104373	0.0465839	0.0302187
a12	0.504899	0.310822	0.126927	0.0383683	0.0189838
a31	0.265622	0.33434	0.260921	0.101719	0.0373982
a21	0.177917	0.287354	0.320485	0.164877	0.0493673
a85	0.145746	0.23952	0.335774	0.217724	0.0612364
a6	0.118351	0.192791	0.322917	0.240165	0.125776
a36	0.14544	0.175181	0.258642	0.252239	0.168498
a79	0.110826	0.102804	0.166708	0.295723	0.323939
a90	0.0703682	0.0751928	0.1631	0.321861	0.369478
a44	0.0357801	0.03961	0.111883	0.337789	0.474938
a58	0.0152334	0.0123843	0.0318147	0.174121	0.766446
a57	0.0251538	0.0202794	0.0327415	0.122033	0.799792
a82	0.0920915	0.0771424	0.10137	0.223698	0.505697
a10	0.256071	0.160446	0.114707	0.180628	0.288147
a87	0.248565	0.129524	0.0892261	0.181015	0.35167
a97	0.250226	0.168142	0.121033	0.189542	0.271058
a3	0.268362	0.192342	0.144716	0.17504	0.21954
a99	0.213324	0.196201	0.164893	0.191921	0.23366
a97	0.186995	0.171157	0.152399	0.192748	0.2967
a87	0.260269	0.173885	0.138386	0.154847	0.272613
a23	0.331451	0.203162	0.130108	0.12702	0.208259
a99	0.229264	0.157232	0.133667	0.157176	0.322662
a38	0.234084	0.135131	0.136121	0.155945	0.338718
a2	0.171601	0.123228	0.129584	0.179371	0.396216
</S>	0.0949108	0.118296	0.156667	0.221704	0.408423
