 	l'	événement	a	fait	grand	bruit	</S>
a23	0.460929	0.18613	0.125142	0.0788626	0.0604305	0.0434202	0.0450852
a83	0.53111	0.19286	0.0990748	0.0580657	0.035109	0.0338803	0.0499003
a93	0.648418	0.167621	0.0681376	0.0378494	0.0255298	0.0224229	0.0300214
a90	0.544243	0.188437	0.0998861	0.0599303	0.0374399	0.0342811	0.0357821
a76	0.235026	0.176867	0.140829	0.132084	0.102697	0.099048	0.11345
a92	0.320878	0.220531	0.150474	0.116218	0.0802008	0.059331	0.0523678
a37	0.229621	0.178388	0.132009	0.122538	0.119039	0.115451	0.102955
a43	0.194219	0.208099	0.146615	0.128387	0.104734	0.100713	0.117232
a31	0.165089	0.216487	0.164192	0.146411	0.106559	0.095169	0.106093
a24	0.146509	0.18492	0.171966	0.182683	0.129133	0.0978711	0.0869178
a9	0.125356	0.201975	0.186079	0.184104	0.123011	0.0905374	0.0889383
a24	0.0641848	0.137175	0.161303	0.191974	0.128359	0.127657	0.189348
a47	0.0678737	0.0962577	0.117393	0.188437	0.192615	0.176799	0.160624
a34	0.0918787	0.118098	0.134183	0.191819	0.177444	0.152628	0.13395
a56	0.0541231	0.067827	0.0879354	0.168873	0.218839	0.213784	0.188618
a34	0.026657	0.0361311	0.0544961	0.131889	0.23666	0.270862	0.243305
a90	0.0142961	0.0202542	0.0313459	0.0822782	0.198774	0.329613	0.323438
a76	0.00893217	0.0120547	0.0184161	0.0537348	0.171902	0.340727	0.394233
a56	0.016733	0.0149088	0.018491	0.0407259	0.140675	0.332027	0.436439
a70	0.00396217	0.00447469	0.0071971	0.0233822	0.109482	0.332105	0.519397
a75	0.0011959	0.00137948	0.00240711	0.00884399	0.0607041	0.274416	0.651054
a79	0.00404609	0.00394855	0.00578743	0.0157752	0.0816047	0.316254	0.572584
a44	0.00465804	0.00477486	0.0056917	0.0141279	0.0728006	0.290238	0.607709
a70	0.0012128	0.0011443	0.00174295	0.00602463	0.0418487	0.245677	0.70235
a13	0.000645356	0.000679025	0.00107864	0.00408222	0.0391412	0.271942	0.682431
a44	0.00225814	0.00196055	0.00257759	0.00738558	0.0489579	0.273026	0.663834
a84	0.00262233	0.00217468	0.00292406	0.00862761	0.051703	0.272148	0.6598
a11	0.0173801	0.0075226	0.00786909	0.0167556	0.0645954	0.266375	0.619502
a10	0.0514443	0.0222751	0.017125	0.0258726	0.0671382	0.223849	0.592296
a87	0.085344	0.0426813	0.0300007	0.0364964	0.0796121	0.220042	0.505824
a23	0.193264	0.103388	0.0524122	0.0452827	0.083697	0.187434	0.334522
a30	0.0868194	0.0555317	0.043041	0.0555805	0.131377	0.265242	0.362409
</S>	0.0266588	0.0194335	0.0178879	0.0344548	0.0999453	0.279345	0.522275
