 	je	l'	ai	attendu	un	bout	de	temps	</S>
a23	0.267322	0.114356	0.093419	0.113732	0.131175	0.139442	0.0811816	0.0424533	0.0169189
a10	0.295711	0.161182	0.121247	0.0885995	0.0984112	0.107253	0.0702488	0.0426901	0.0146566
a87	0.170942	0.160054	0.166341	0.118477	0.0972765	0.10447	0.0780011	0.0670961	0.0373411
a10	0.158621	0.148347	0.150462	0.133379	0.112614	0.121001	0.0773432	0.0584958	0.0397376
a87	0.205895	0.174902	0.159415	0.11156	0.109543	0.101599	0.0625706	0.0500352	0.0244799
a99	0.220954	0.172052	0.141235	0.116089	0.119104	0.113974	0.0593779	0.0389188	0.0182945
a18	0.186422	0.161603	0.15397	0.100947	0.0949905	0.0850696	0.0673906	0.0845256	0.0650821
a61	0.257512	0.234738	0.20401	0.106557	0.0777117	0.0497855	0.0264165	0.0264399	0.0168298
a71	0.298023	0.278047	0.219954	0.0909764	0.0578235	0.0282586	0.0101335	0.0104166	0.00636722
a38	0.186118	0.186316	0.184547	0.134436	0.0975387	0.075162	0.0498952	0.0502188	0.0357678
a90	0.129196	0.135658	0.161095	0.151278	0.103667	0.0855592	0.0830576	0.0837847	0.0667049
a56	0.124453	0.130962	0.149379	0.164333	0.116249	0.0909033	0.0807929	0.0737038	0.0692246
a61	0.0909504	0.110268	0.139992	0.172245	0.135802	0.117295	0.0993369	0.0799346	0.0541766
a56	0.0401913	0.0513675	0.0762844	0.129166	0.12668	0.146666	0.168952	0.160572	0.100121
a75	0.023053	0.0308083	0.0525523	0.113181	0.125127	0.153768	0.188531	0.182993	0.129986
a44	0.0124586	0.0156587	0.0266429	0.0696282	0.0792506	0.123716	0.194739	0.228203	0.249703
a11	0.00582592	0.00730785	0.0116188	0.0368672	0.0503181	0.106155	0.201053	0.253111	0.327744
a0	0.00142585	0.0017839	0.00319852	0.0121116	0.0166289	0.0470132	0.133206	0.253996	0.530636
a31	0.00171306	0.0021286	0.00345273	0.0113325	0.017152	0.0495179	0.123933	0.234679	0.556091
a0	0.00328866	0.00423983	0.00636941	0.0179203	0.0260151	0.0609023	0.126377	0.216514	0.538373
a24	0.00201473	0.00261756	0.00440094	0.0133692	0.0170111	0.0372464	0.0916609	0.193128	0.638551
a9	0.00179567	0.00267282	0.00566549	0.0143605	0.0156394	0.0302002	0.090945	0.205902	0.632819
a10	0.0118889	0.0114739	0.0146111	0.0227455	0.0251913	0.0476827	0.116161	0.209398	0.540848
a9	0.0309975	0.0269042	0.0263996	0.0369295	0.0411947	0.0845105	0.151805	0.201835	0.399424
</S>	0.0246855	0.0253705	0.0307038	0.0515896	0.0530593	0.106057	0.177257	0.213088	0.318188
