 	qui	vous	a	demandé	l'	argent	</S>
a66	0.524627	0.344295	0.0904681	0.0159527	0.00743885	0.00716088	0.0100576
a87	0.541639	0.319532	0.0923291	0.0220029	0.0105463	0.0067232	0.0072276
a23	0.579928	0.311785	0.0802528	0.0126307	0.00630228	0.00422499	0.0048758
a79	0.500305	0.289024	0.136241	0.0269493	0.0143584	0.0138442	0.0192789
a44	0.411663	0.25706	0.196032	0.0588417	0.0334068	0.0208943	0.0221026
a37	0.203301	0.269474	0.331095	0.0922893	0.0481036	0.0300659	0.025671
a5	0.122386	0.235325	0.369601	0.145274	0.054133	0.0381453	0.0351355
a37	0.0588184	0.128839	0.353429	0.248826	0.080714	0.0648816	0.0644912
a18	0.0571551	0.11263	0.30734	0.248891	0.0930609	0.0859856	0.0949371
a61	0.0485883	0.0740491	0.198467	0.239857	0.128232	0.141735	0.169071
a88	0.0399888	0.0755202	0.159742	0.184604	0.149549	0.175379	0.215218
a62	0.0311951	0.0475901	0.0936234	0.150794	0.168269	0.225294	0.283235
a47	0.015873	0.0225536	0.0457886	0.11402	0.189177	0.270102	0.342486
a12	0.0497161	0.060793	0.0918093	0.129125	0.156652	0.236366	0.275539
a96	0.00875208	0.00861574	0.0142977	0.0475142	0.132318	0.345349	0.443153
a90	0.00630903	0.00649783	0.00944952	0.0324754	0.105451	0.330316	0.509501
a76	0.0054718	0.00510733	0.00940689	0.025479	0.0882358	0.298086	0.568213
a56	0.00841784	0.00860055	0.0160653	0.0332797	0.0903656	0.261755	0.581516
a75	0.00193309	0.00173144	0.00262384	0.00915828	0.0523729	0.247981	0.684199
a5	0.00135799	0.00101896	0.0014151	0.00620019	0.0437481	0.222998	0.723261
a36	0.00175715	0.00125623	0.00148692	0.00570115	0.0402377	0.196096	0.753464
a47	0.00181567	0.00139787	0.00263688	0.0108475	0.0562902	0.220312	0.7067
a88	0.0198538	0.010764	0.0132886	0.0296156	0.0900228	0.242941	0.593515
a36	0.0134748	0.00671736	0.00792328	0.0176378	0.0609166	0.227231	0.666099
a27	0.102951	0.0489674	0.0396042	0.0617378	0.124036	0.230861	0.391842
a30	0.408438	0.186059	0.0930797	0.0737316	0.0747193	0.0702152	0.0937572
a87	0.478061	0.275319	0.0906372	0.0429303	0.0362025	0.0356758	0.0411743
a23	0.42607	0.3162	0.139008	0.043759	0.0227337	0.0226752	0.0295544
a87	0.380616	0.267531	0.0948061	0.0384744	0.0372329	0.0631819	0.118158
</S>	0.0920646	0.0819882	0.0467627	0.0424484	0.0678893	0.206776	0.462071
