 	ikobo	berce	l'	enfant	</S>
a66	0.599372	0.175706	0.102332	0.0704121	0.0521779
a87	0.551052	0.220358	0.104377	0.0580829	0.0661301
a23	0.794267	0.128047	0.0409804	0.0168885	0.0198172
a83	0.887328	0.0711107	0.0181231	0.009539	0.0138988
a9	0.754473	0.107786	0.0444805	0.0420735	0.0511868
a53	0.725776	0.156425	0.0517925	0.0313515	0.0346544
a4	0.545757	0.212424	0.108985	0.0723232	0.0605103
a90	0.38618	0.255187	0.151912	0.110286	0.0964353
a92	0.24028	0.260777	0.183961	0.168964	0.146018
a98	0.144509	0.278657	0.226044	0.19879	0.152
a47	0.160538	0.319704	0.234147	0.168147	0.117464
a7	0.11963	0.197683	0.187723	0.232436	0.262528
a90	0.125527	0.153676	0.177593	0.236853	0.306352
a56	0.0745893	0.198532	0.235837	0.233607	0.257434
a90	0.0509546	0.164293	0.265157	0.263598	0.255998
a56	0.0263734	0.0900727	0.200056	0.311362	0.372135
a90	0.014498	0.0496781	0.135084	0.312486	0.488254
a56	0.0082805	0.0232654	0.0727037	0.280084	0.615666
a44	0.00541177	0.0160358	0.0500328	0.232879	0.695641
a98	0.003392	0.00803755	0.0294347	0.190313	0.768823
a6	0.00109754	0.00355739	0.015657	0.158318	0.82137
a37	0.00154087	0.00631001	0.0258361	0.183241	0.783072
a26	0.00749073	0.0237144	0.0718183	0.253117	0.64386
a57	0.037096	0.0537671	0.102113	0.262664	0.54436
a10	0.324854	0.10703	0.113876	0.166796	0.287445
a87	0.451858	0.110464	0.102816	0.13569	0.199173
a23	0.434804	0.14384	0.115787	0.1352	0.17037
a87	0.0731273	0.0512839	0.0916249	0.250938	0.533026
</S>	0.0118989	0.0178239	0.0649055	0.257899	0.647473
