 	cette	femme	tape	ses	enfants	avec	fougue	</S>
a66	0.251401	0.253823	0.2795	0.125061	0.0525356	0.0175517	0.0101241	0.010004
a87	0.350424	0.291508	0.182148	0.0886284	0.0335785	0.0182728	0.0159882	0.0194518
a23	0.430473	0.334565	0.161078	0.0348424	0.0117817	0.00792162	0.00770834	0.0116305
a30	0.456812	0.270779	0.119546	0.0441598	0.0162958	0.0168501	0.0272242	0.048333
a70	0.467275	0.239522	0.121803	0.0661168	0.0211681	0.0216377	0.026737	0.0357409
a96	0.39665	0.207218	0.190187	0.102903	0.035995	0.0288641	0.0195693	0.0186138
a93	0.326371	0.230156	0.203639	0.12993	0.0410819	0.027656	0.0217496	0.0194173
a90	0.191607	0.152572	0.183719	0.20192	0.0918453	0.0667106	0.0600056	0.0516216
a98	0.0681077	0.0573254	0.0802288	0.181049	0.173663	0.164702	0.151035	0.12389
a85	0.0251166	0.0324778	0.0684401	0.222167	0.242807	0.186756	0.123997	0.0982374
a6	0.0407429	0.0465702	0.0973542	0.217654	0.221911	0.168663	0.114728	0.0923771
a5	0.062075	0.066577	0.127549	0.237263	0.188959	0.12326	0.106023	0.0882946
a85	0.0790081	0.0811576	0.122829	0.20051	0.139667	0.101673	0.133828	0.141327
a6	0.0151595	0.0188352	0.0579092	0.14494	0.189014	0.190609	0.189189	0.194344
a5	0.0193954	0.0238792	0.0732618	0.205645	0.213428	0.141487	0.158266	0.164637
a23	0.0245887	0.0200927	0.0332039	0.126162	0.167048	0.153497	0.214877	0.260532
a54	0.00737703	0.00494578	0.00736139	0.0408585	0.105997	0.155928	0.272115	0.405417
a47	0.00239468	0.00171104	0.00278323	0.0163716	0.0571518	0.137289	0.2948	0.487499
a15	0.00117069	0.000715289	0.00102525	0.00513244	0.0224702	0.102199	0.281279	0.586008
a47	0.00087661	0.000483541	0.000450781	0.00213387	0.0109736	0.0618248	0.271256	0.652001
a36	0.00169934	0.000937436	0.000963426	0.00607984	0.0241564	0.0957347	0.298095	0.572334
a2	0.00230973	0.00130311	0.00114551	0.00532265	0.0153736	0.060882	0.247238	0.666426
a57	0.127388	0.0867103	0.0563684	0.0419095	0.0416074	0.0811229	0.16496	0.399933
a87	0.262809	0.176824	0.115007	0.0679551	0.0577204	0.0757402	0.0945183	0.149426
a23	0.302469	0.217834	0.154411	0.0795924	0.0547567	0.0515487	0.0592204	0.0801679
a87	0.101422	0.0773466	0.0465996	0.0344921	0.0652724	0.156635	0.240457	0.277775
</S>	0.0150634	0.0109675	0.00733808	0.0113386	0.0360254	0.132184	0.339323	0.44776
