 	cette	manière	d'	enfoncer	la	pointe	abime	la	planche	</S>
a66	0.217916	0.135531	0.109578	0.0863249	0.0909717	0.111417	0.0922886	0.0910629	0.0457415	0.0191688
a87	0.317351	0.160303	0.0975568	0.100287	0.0812923	0.0686321	0.0618183	0.0725903	0.0279707	0.0121985
a23	0.235683	0.153215	0.121463	0.126965	0.102497	0.0737858	0.050239	0.0452655	0.0602426	0.030644
a18	0.178772	0.189815	0.146966	0.198373	0.141481	0.0570867	0.0418917	0.0208758	0.0135902	0.0111488
a82	0.205707	0.193908	0.183697	0.170964	0.100556	0.0592635	0.0350307	0.0214336	0.0164769	0.0129623
a38	0.270762	0.151926	0.155479	0.145396	0.0962481	0.0749242	0.0496587	0.0307554	0.0163837	0.00846615
a75	0.161757	0.134105	0.14984	0.204797	0.151619	0.101127	0.062217	0.0222913	0.00800426	0.00424214
a12	0.137552	0.102356	0.111326	0.198465	0.159951	0.172871	0.0836941	0.0213663	0.00820395	0.00421519
a61	0.0571036	0.103304	0.141967	0.265776	0.204906	0.126046	0.0663957	0.0193321	0.0100186	0.00515163
a21	0.0390893	0.0744156	0.10514	0.254224	0.230581	0.17022	0.0850311	0.0227613	0.0130308	0.00550643
a85	0.0262945	0.0457994	0.0706842	0.21917	0.238774	0.200012	0.137687	0.034514	0.0194136	0.00765108
a0	0.0167936	0.0249396	0.0409342	0.189319	0.208866	0.204664	0.188675	0.0676062	0.0433551	0.0148482
a43	0.0198925	0.0325098	0.0502695	0.19949	0.262536	0.20318	0.137972	0.0457029	0.0315992	0.0168469
a21	0.0221262	0.03158	0.0470777	0.152878	0.196871	0.198319	0.166795	0.0858594	0.0598884	0.0386049
a31	0.0209141	0.0275385	0.0373182	0.097535	0.129743	0.14581	0.151027	0.140983	0.161722	0.0874093
a21	0.00841298	0.0113575	0.0168348	0.057219	0.061368	0.0763743	0.0963044	0.18397	0.317889	0.170271
a12	0.0141826	0.0157605	0.01965	0.0469257	0.0501952	0.0645401	0.0786124	0.175655	0.356355	0.178124
a18	0.0032917	0.00392659	0.00561006	0.0157099	0.0148272	0.0209107	0.0309133	0.12935	0.516435	0.259026
a75	0.00501377	0.00352095	0.00460442	0.00758916	0.00460622	0.00805216	0.00778055	0.0336036	0.302057	0.623172
a6	0.0010681	0.000950463	0.00110875	0.00325827	0.00331122	0.00631293	0.0113887	0.0591489	0.29503	0.618422
a0	0.000485669	0.00043298	0.000460631	0.00153568	0.00145292	0.00309756	0.00554065	0.0335288	0.256342	0.697123
a75	0.00311828	0.00318923	0.00384073	0.00747383	0.00362946	0.00716227	0.00979415	0.0619341	0.297052	0.602806
a47	0.0020549	0.00165064	0.00141413	0.0029375	0.00183709	0.00464058	0.00888998	0.051952	0.263632	0.660991
a36	0.00106933	0.000872443	0.000802123	0.00179148	0.00136651	0.00438531	0.0110288	0.0803524	0.329273	0.569058
a75	0.0152202	0.0141575	0.0126651	0.0266062	0.0230511	0.0404872	0.0469815	0.13911	0.308441	0.37328
a47	0.00687462	0.00504895	0.00410597	0.00766947	0.00348917	0.00836575	0.0139273	0.0634553	0.285263	0.6018
a5	0.00356441	0.00271734	0.00225617	0.00390491	0.00277849	0.00704703	0.016146	0.0813108	0.377049	0.503226
a43	0.00572726	0.00509508	0.00487145	0.00958973	0.00775027	0.0158862	0.0294205	0.135315	0.337478	0.448866
a27	0.00490601	0.00449859	0.0049112	0.0111667	0.0125318	0.0245622	0.0364567	0.140176	0.296457	0.464333
a10	0.0514962	0.0469873	0.0428976	0.0729196	0.0832235	0.107838	0.0837961	0.101743	0.166253	0.242845
a87	0.195475	0.0936045	0.0641403	0.112676	0.0517555	0.0572938	0.0446678	0.0575542	0.122758	0.200074
a23	0.258764	0.123359	0.077615	0.150654	0.082564	0.0590931	0.0489532	0.0491573	0.0733382	0.0765017
a10	0.0910544	0.051937	0.0302232	0.0460085	0.0123991	0.0156503	0.0169856	0.0487798	0.230781	0.456181
</S>	0.00950225	0.00528863	0.0036717	0.00955431	0.00560126	0.00851001	0.0132574	0.048152	0.318591	0.577871
