 	le	mouon	bêle	</S>
a23	0.756715	0.124915	0.0571874	0.0611824
a87	0.569882	0.193408	0.126157	0.110552
a23	0.403562	0.294714	0.190462	0.111262
a40	0.366013	0.278385	0.200315	0.155286
a41	0.64276	0.219353	0.0957434	0.0421429
a35	0.660389	0.23093	0.0701018	0.0385795
a38	0.587274	0.248913	0.0968721	0.0669407
a73	0.406054	0.324175	0.156541	0.11323
a94	0.266625	0.23892	0.22992	0.264535
a76	0.228149	0.201712	0.242119	0.32802
a20	0.086815	0.136826	0.34268	0.433678
a41	0.0620984	0.120385	0.305372	0.512145
a47	0.0247394	0.0689559	0.322337	0.583968
a21	0.00966714	0.0239924	0.21318	0.75316
a41	0.00893545	0.0282737	0.234886	0.727905
a14	0.0109117	0.0364621	0.284432	0.668194
a30	0.0189269	0.0578149	0.294344	0.628914
a2	0.0312971	0.0527047	0.226982	0.689016
a57	0.0453636	0.060025	0.189331	0.705281
a87	0.049347	0.0837142	0.229987	0.636952
</S>	0.0338509	0.0781014	0.252556	0.635492
