 	la	parole	de	dieu	est	éternelle	</S>
a87	0.114804	0.126394	0.193352	0.276076	0.198352	0.0751853	0.0158371
a23	0.153875	0.123771	0.189372	0.181472	0.162152	0.137758	0.0515998
a87	0.204069	0.159486	0.19668	0.138304	0.080274	0.099897	0.12129
a23	0.312069	0.193205	0.175317	0.100107	0.0626663	0.0714345	0.0852019
a87	0.338893	0.173803	0.170979	0.0866655	0.0469835	0.07983	0.102847
a23	0.254517	0.177383	0.154201	0.12475	0.0793855	0.101546	0.108217
a99	0.30291	0.170635	0.121712	0.0805686	0.0500489	0.102076	0.172051
a87	0.446005	0.203621	0.128414	0.0599674	0.0319189	0.0532672	0.0768067
a23	0.248083	0.158008	0.0972975	0.0772521	0.0542846	0.108657	0.256417
a99	0.267334	0.140544	0.0876278	0.0601273	0.0399843	0.0966675	0.307715
a62	0.37799	0.202033	0.126234	0.0647209	0.0400654	0.0698591	0.119098
a75	0.374739	0.236778	0.200203	0.0882081	0.0428749	0.0350694	0.0221274
a37	0.286201	0.234906	0.219674	0.11899	0.0634966	0.0462096	0.0305228
a85	0.243016	0.228369	0.215745	0.131762	0.0775195	0.058735	0.0448541
a5	0.201211	0.230156	0.249343	0.148315	0.0867166	0.0523253	0.0319326
a66	0.197547	0.241678	0.25986	0.145127	0.0772723	0.0456766	0.0328384
a75	0.0757158	0.182997	0.198913	0.201487	0.138625	0.104103	0.0981587
a85	0.123671	0.226735	0.221019	0.171833	0.119381	0.0688372	0.0685246
a66	0.107389	0.18399	0.241752	0.169294	0.117046	0.0746635	0.105865
a21	0.0678923	0.140362	0.180993	0.241127	0.193599	0.096019	0.0800065
a61	0.142087	0.161121	0.177908	0.191833	0.172972	0.0891239	0.0649542
a31	0.0748321	0.119445	0.107845	0.169395	0.235821	0.145697	0.146964
a62	0.0767009	0.107795	0.0974443	0.167666	0.254508	0.174253	0.121633
a83	0.0491947	0.0682583	0.0650261	0.126815	0.249031	0.230466	0.211209
a9	0.0242746	0.0425812	0.0397649	0.0838301	0.220055	0.241167	0.348327
a99	0.0133925	0.0242846	0.0271688	0.0690506	0.182926	0.220549	0.462629
a62	0.0143949	0.0255698	0.0260364	0.0638064	0.16052	0.201448	0.508224
a21	0.00356074	0.00629295	0.00648531	0.0176448	0.0605119	0.162852	0.742652
a85	0.011848	0.0167374	0.0117246	0.0227455	0.067266	0.140974	0.728704
a44	0.00664556	0.00977265	0.00755755	0.0161355	0.0524711	0.131746	0.775672
a66	0.0018555	0.00297129	0.00241133	0.00636784	0.0242881	0.0800066	0.882099
a98	0.00219671	0.00300351	0.00345905	0.00900971	0.0359846	0.122268	0.824079
a92	0.00211183	0.00287388	0.00366194	0.0103476	0.0338117	0.11605	0.831143
a61	0.0029064	0.00374953	0.00388265	0.0096985	0.0356487	0.0929959	0.851118
a47	0.00110373	0.00144687	0.00129799	0.00480263	0.0248018	0.0814757	0.885071
a83	0.00137497	0.00187216	0.00206881	0.00684033	0.0289177	0.0965879	0.862338
a38	0.000715338	0.00111511	0.00128437	0.00464496	0.0227484	0.106702	0.86279
a70	0.00189185	0.00257328	0.00384943	0.0119134	0.0504615	0.165057	0.764254
a83	0.000899764	0.00150731	0.00184751	0.00681334	0.0280793	0.13305	0.827803
a13	0.000835458	0.00143763	0.00202971	0.00829641	0.03297	0.153097	0.801333
a99	0.00313594	0.00478024	0.00568133	0.0205701	0.0791078	0.19626	0.690464
a87	0.0125366	0.0129675	0.017299	0.0357325	0.0904466	0.182141	0.648876
a23	0.100631	0.0760947	0.10692	0.113226	0.167944	0.199743	0.235442
a87	0.0488831	0.0462533	0.060921	0.0855916	0.145569	0.217448	0.395334
a23	0.0152017	0.0163258	0.0282915	0.0661132	0.105519	0.1847	0.583848
a87	0.023329	0.0187167	0.0237585	0.0517577	0.0891483	0.167979	0.625311
a85	0.0131	0.0113939	0.0184686	0.0489089	0.0756802	0.15031	0.682138
</S>	0.0238764	0.0219028	0.0300349	0.0601907	0.103063	0.189112	0.57182
