 	pendant	la	grande	saison	des	pluies	les	homes	vendent	beaucoup	de	poissons	</S>
a66	0.122149	0.0873158	0.0761867	0.0736739	0.0906161	0.142379	0.160903	0.131486	0.053388	0.0284029	0.0146153	0.0102285	0.00865555
a87	0.131983	0.104508	0.100323	0.109982	0.0909372	0.0985372	0.0908785	0.0757819	0.0488915	0.0424585	0.0391889	0.0356959	0.0308341
a99	0.230661	0.149018	0.116148	0.0919736	0.0599725	0.0614114	0.0918744	0.0632549	0.0353348	0.0261474	0.0222657	0.0257983	0.0261399
a83	0.15659	0.166145	0.166852	0.148136	0.104835	0.0724428	0.082554	0.0386218	0.0175984	0.0132424	0.0108376	0.0107084	0.0114364
a56	0.144411	0.119995	0.11239	0.0941864	0.0478172	0.0504142	0.0636872	0.0538241	0.0647125	0.0605178	0.0707297	0.0627996	0.0545157
a75	0.177048	0.165526	0.164933	0.132771	0.0577663	0.0655154	0.0533852	0.0454677	0.0336621	0.0311088	0.0287599	0.0249299	0.0191272
a92	0.144773	0.140828	0.145497	0.120847	0.0625824	0.0680886	0.049133	0.0491312	0.03753	0.0460489	0.0506487	0.0473626	0.0375292
a56	0.0914375	0.119076	0.138649	0.13734	0.097786	0.0917613	0.060915	0.0543433	0.0436416	0.0493938	0.046488	0.0383044	0.0308637
a47	0.0934433	0.121094	0.149707	0.171675	0.148896	0.102013	0.0511833	0.0390075	0.0255729	0.027239	0.0257331	0.0231849	0.0212514
a75	0.0606541	0.0905982	0.123273	0.166796	0.169016	0.123865	0.0730495	0.052071	0.0324779	0.0311577	0.0283485	0.0246306	0.0240632
a21	0.0469227	0.0699025	0.0948228	0.128151	0.149436	0.131378	0.0893997	0.081406	0.0451809	0.0423341	0.0411399	0.0385984	0.041328
a5	0.0427531	0.0673957	0.0938225	0.134761	0.170547	0.165346	0.103901	0.067894	0.0327789	0.0271308	0.0277671	0.0302037	0.0356993
a75	0.0260266	0.0409219	0.0607887	0.104878	0.17051	0.201994	0.124653	0.0779737	0.0385836	0.0311223	0.034145	0.038384	0.0500191
a85	0.0129475	0.0180804	0.0257294	0.0505992	0.1046	0.159815	0.116045	0.0986914	0.0777427	0.0689732	0.0768391	0.0825184	0.107419
a47	0.0139589	0.0172044	0.0252887	0.0507445	0.0982126	0.154092	0.102654	0.0842609	0.0739038	0.0623024	0.0756902	0.0914916	0.150196
a36	0.0215373	0.0266005	0.0342922	0.051716	0.0885967	0.154247	0.128622	0.0698361	0.0476785	0.0331761	0.0576326	0.0874639	0.198601
a2	0.0290125	0.0368411	0.0463397	0.0646864	0.0957007	0.13349	0.108826	0.0528141	0.0307238	0.0253528	0.0494988	0.0939119	0.232802
a57	0.0683886	0.0642215	0.0714236	0.089083	0.108634	0.130395	0.120047	0.0629664	0.0525369	0.0365096	0.0440184	0.058866	0.0929103
a87	0.0400715	0.0348455	0.0405023	0.0549587	0.0746084	0.100709	0.115063	0.0852908	0.0865219	0.0760275	0.0901007	0.0964823	0.104818
a40	0.0420366	0.0303291	0.0344834	0.0366205	0.0378748	0.0497735	0.0646299	0.0871479	0.0937245	0.111137	0.15215	0.139098	0.120995
a7	0.022157	0.0257234	0.0363526	0.0532984	0.0605461	0.0521321	0.0556764	0.0824534	0.0916709	0.105968	0.129214	0.138723	0.146084
a98	0.00622068	0.0116615	0.0204446	0.0349334	0.0446766	0.0584028	0.0503143	0.078909	0.109331	0.125543	0.152693	0.147257	0.159614
a47	0.00488877	0.00782749	0.0124711	0.0214429	0.0333655	0.0487864	0.0369108	0.0551344	0.0744815	0.0999882	0.178168	0.191006	0.235529
a98	0.00275542	0.00401599	0.00617612	0.0112251	0.017088	0.0260001	0.0196961	0.0321368	0.0665848	0.10413	0.203882	0.213646	0.292663
a47	0.00261754	0.00314322	0.00441608	0.00767257	0.0141995	0.0217204	0.0178014	0.0259716	0.0456039	0.0748193	0.201161	0.243026	0.337847
a36	0.0020964	0.00254797	0.00372813	0.00734016	0.0125432	0.0195605	0.0157733	0.0236687	0.0527149	0.0794575	0.186532	0.239443	0.354595
a61	0.00261305	0.00232224	0.00236534	0.00413532	0.00779663	0.0136607	0.0136386	0.0175548	0.0454099	0.0700925	0.163725	0.236913	0.419774
a21	0.00416771	0.00322146	0.0029927	0.00381875	0.00615908	0.0122098	0.0162942	0.0169735	0.0517644	0.070182	0.159874	0.239556	0.412786
a85	0.00204595	0.00181663	0.00200133	0.00276289	0.00499852	0.0101626	0.0101095	0.0104861	0.0358345	0.0596332	0.152318	0.258883	0.448948
a6	0.000589814	0.000570568	0.000678898	0.00113476	0.00207537	0.00308624	0.00310529	0.00354373	0.00948669	0.0181288	0.0922633	0.220492	0.644844
a0	0.000969012	0.00113957	0.00136983	0.00223878	0.00380321	0.0058628	0.00587322	0.00536343	0.0142549	0.0238569	0.100485	0.221802	0.612981
a75	0.00554432	0.00530193	0.00535617	0.00698398	0.00721326	0.00966678	0.00906429	0.00930833	0.0259737	0.0390947	0.10886	0.217063	0.55057
a85	0.0022801	0.00228949	0.00226501	0.00293568	0.00355643	0.0050885	0.00473933	0.00559279	0.0153812	0.0221295	0.0818184	0.210456	0.641468
a6	0.00105931	0.000956737	0.000905916	0.00115885	0.00181344	0.00272812	0.00253446	0.00245449	0.00729839	0.0120495	0.0614667	0.176561	0.729013
a37	0.00146116	0.00148537	0.0015947	0.00226628	0.00308813	0.00477258	0.004323	0.00458346	0.0138804	0.0202836	0.0891428	0.209849	0.64327
a61	0.00454199	0.00496505	0.00527704	0.00633951	0.00684187	0.00873984	0.00832435	0.010634	0.0319701	0.040903	0.112837	0.205595	0.553032
a88	0.00244442	0.0026222	0.00288776	0.00380638	0.00405885	0.0053164	0.00556389	0.00639706	0.0221618	0.0281538	0.0928815	0.213485	0.610221
a9	0.00191781	0.00217819	0.00243272	0.00354241	0.00319041	0.00434294	0.00496864	0.00657466	0.0225904	0.0336182	0.104565	0.227987	0.582091
a10	0.0757725	0.0509813	0.0412146	0.0323535	0.02385	0.0291794	0.0255604	0.0414612	0.0521971	0.0519215	0.0979579	0.154871	0.32268
a87	0.103494	0.0596425	0.0451221	0.0334239	0.0263952	0.0346909	0.0398389	0.0596538	0.0670651	0.0576914	0.0902798	0.139517	0.243186
a23	0.100748	0.0610164	0.0499418	0.0460488	0.0399105	0.0610167	0.0848395	0.0843195	0.0836571	0.0592	0.0818231	0.10741	0.140068
a87	0.073159	0.0353032	0.0228462	0.0175051	0.0147104	0.031499	0.0363635	0.0360729	0.0420208	0.0434964	0.111475	0.20753	0.328019
</S>	0.0131706	0.00845774	0.00757674	0.00856285	0.00865207	0.0127442	0.0127997	0.016507	0.0237675	0.0332742	0.116634	0.264612	0.473242
