 	les	mbochis	de	boundji	ne	connaissent	pas	la	poterie	</S>
a23	0.253828	0.132772	0.13753	0.115514	0.111958	0.101705	0.052301	0.0308396	0.0366641	0.0268893
a87	0.342166	0.132798	0.103421	0.0776854	0.0599793	0.0489738	0.0343253	0.0404488	0.0805541	0.0796483
a23	0.1609	0.11118	0.0928719	0.0796403	0.0651022	0.0623928	0.0299514	0.0523676	0.120252	0.225342
a87	0.358679	0.180223	0.104833	0.0740528	0.0509306	0.0361714	0.026369	0.0309171	0.0540715	0.083752
a23	0.240092	0.168002	0.120465	0.0838695	0.059213	0.0489373	0.0264857	0.0401668	0.0699148	0.142854
a40	0.257553	0.168134	0.101495	0.0549508	0.0321195	0.0232131	0.0215553	0.042737	0.10564	0.192603
a37	0.477932	0.220352	0.0929399	0.0373753	0.0209549	0.0321966	0.0222285	0.0212804	0.033788	0.0409527
a35	0.308008	0.258811	0.174286	0.104216	0.0550455	0.0329898	0.0126175	0.0135311	0.0170221	0.0234722
a76	0.26681	0.249425	0.203575	0.116754	0.0615612	0.0407804	0.014592	0.0132849	0.015417	0.0178007
a25	0.210308	0.196568	0.173851	0.132343	0.0929936	0.0726578	0.0371715	0.0270093	0.0262488	0.0308495
a56	0.143475	0.170397	0.167413	0.165694	0.154578	0.106537	0.0354125	0.0206957	0.0162667	0.0195309
a32	0.101934	0.144917	0.167466	0.174738	0.161767	0.130995	0.0394199	0.0250373	0.0251785	0.0285471
a75	0.0921223	0.130787	0.17341	0.178141	0.163118	0.162551	0.0359092	0.0218224	0.0204608	0.021678
a73	0.0800376	0.115268	0.173246	0.168896	0.142745	0.121335	0.065037	0.0449509	0.0421157	0.0463678
a37	0.0284458	0.0439172	0.0950806	0.146781	0.195199	0.257811	0.0938466	0.0477695	0.0434822	0.0476667
a26	0.0307269	0.0411617	0.0853192	0.147198	0.193211	0.220482	0.0965934	0.05717	0.0577455	0.0703918
a90	0.0218208	0.031813	0.0643932	0.128717	0.187637	0.224736	0.094711	0.0616729	0.0783472	0.106152
a56	0.0402667	0.0454056	0.0652991	0.0939809	0.13592	0.174714	0.146162	0.100515	0.0837269	0.11401
a11	0.0460552	0.0605733	0.081741	0.102451	0.13907	0.190288	0.13887	0.0860657	0.0702902	0.0845959
a75	0.0330608	0.0448737	0.0639571	0.0892143	0.126781	0.227177	0.179421	0.08642	0.069427	0.079669
a85	0.0386377	0.0468155	0.0611799	0.0718597	0.0915782	0.150889	0.160977	0.12624	0.120208	0.131616
a37	0.0509581	0.0680689	0.0692762	0.0628822	0.071791	0.119719	0.144996	0.114021	0.143087	0.155201
a61	0.0260799	0.0320673	0.045695	0.0594309	0.0773898	0.133237	0.200881	0.13647	0.127917	0.160832
a31	0.0298121	0.0381026	0.0469826	0.053578	0.0691737	0.144599	0.229108	0.167689	0.121694	0.0992607
a66	0.019566	0.0245396	0.0299181	0.0367564	0.0528286	0.120213	0.219133	0.202811	0.170339	0.123896
a93	0.00675486	0.0104752	0.0178468	0.0229515	0.0277915	0.0640952	0.140769	0.184015	0.261251	0.264049
a90	0.00887954	0.0129241	0.0193453	0.0229436	0.0300962	0.0728081	0.197971	0.233589	0.207702	0.193742
a34	0.00764604	0.0105345	0.0143025	0.0161336	0.0194646	0.0449426	0.124772	0.178181	0.277116	0.306906
a21	0.00551066	0.0074285	0.00983838	0.0105235	0.0127949	0.0296241	0.0905607	0.157535	0.288831	0.387353
a85	0.00469061	0.00590502	0.00831714	0.00994079	0.0128668	0.0259839	0.0722114	0.132162	0.290299	0.437623
a27	0.00966176	0.0137364	0.0164253	0.0180145	0.0168297	0.0265947	0.0712349	0.131536	0.298988	0.396979
a40	0.00201492	0.0017037	0.00209302	0.00307674	0.00387657	0.00931932	0.0392177	0.115224	0.305876	0.517597
a75	0.00421518	0.00419488	0.00464081	0.0062208	0.00723834	0.0126763	0.0383977	0.0911203	0.260446	0.57085
a85	0.00603582	0.00669619	0.00809298	0.00932677	0.00964249	0.0166898	0.0461251	0.0993406	0.257005	0.541046
a47	0.0053555	0.00539464	0.00571401	0.00696997	0.0074605	0.0116959	0.0386633	0.0996878	0.29432	0.524739
a2	0.00319633	0.00438145	0.00685744	0.0107185	0.0145326	0.0382871	0.102241	0.190059	0.296988	0.332739
a57	0.00723115	0.0041139	0.00372952	0.00365616	0.00395822	0.0084415	0.0333026	0.120108	0.270308	0.545151
a97	0.0120254	0.0033233	0.00224829	0.00168962	0.00176954	0.00384936	0.0176364	0.0871736	0.210838	0.659446
a87	0.0774837	0.0303782	0.0230209	0.0140906	0.0136069	0.0282855	0.0758713	0.156497	0.226842	0.353923
a23	0.167582	0.0503386	0.0393921	0.0308911	0.0314662	0.0470742	0.0728008	0.133085	0.207869	0.219501
a10	0.0404731	0.0113689	0.0088559	0.0102959	0.0126388	0.0193241	0.0552414	0.122099	0.351187	0.368515
</S>	0.00950215	0.00495517	0.00523311	0.00739465	0.00811174	0.0113667	0.0346678	0.0759282	0.310642	0.532198
