 	a	côté	du	village	il	y	a	une	grande	bananeraie	</S>
a23	0.328292	0.152418	0.102326	0.0966765	0.0832268	0.0691149	0.048149	0.0341744	0.0305648	0.0252937	0.0297645
a83	0.618239	0.12148	0.0408867	0.0311293	0.0349523	0.0356878	0.028707	0.0209345	0.0189325	0.0152908	0.0337596
a56	0.382073	0.204418	0.0971465	0.0743072	0.0480866	0.0347626	0.0343045	0.03152	0.0302688	0.0227597	0.0403526
a18	0.520691	0.233896	0.107833	0.0584017	0.0242445	0.0146823	0.011925	0.00882673	0.00676337	0.00495437	0.00778199
a75	0.457271	0.246776	0.126349	0.0668465	0.0266052	0.0185698	0.0137631	0.0108733	0.00971963	0.00876339	0.0144628
a5	0.257937	0.172039	0.160287	0.113965	0.0612815	0.0496539	0.0392835	0.0337335	0.0342974	0.0337398	0.0437824
a75	0.179293	0.146464	0.14584	0.118681	0.0768914	0.0702096	0.0562019	0.048397	0.0502272	0.0454972	0.0622973
a92	0.095508	0.0909368	0.112237	0.109764	0.0859996	0.0837728	0.0781618	0.0766152	0.0865707	0.0783159	0.102118
a36	0.103497	0.103133	0.120198	0.117963	0.0883561	0.0856368	0.0731785	0.067999	0.0756205	0.0715138	0.0929049
a26	0.0719801	0.0862153	0.0961827	0.110778	0.0902868	0.100304	0.090308	0.0876711	0.0885974	0.0815007	0.0961756
a70	0.0652094	0.0758155	0.0954232	0.125037	0.105181	0.110553	0.0920634	0.08143	0.0801257	0.0745198	0.0946411
a93	0.0408918	0.049158	0.0782981	0.139736	0.144942	0.147753	0.111992	0.0837904	0.0713602	0.0559372	0.0761416
a66	0.0357535	0.0378148	0.053985	0.0852714	0.0846065	0.101533	0.100482	0.110184	0.12458	0.117278	0.148512
a75	0.0260172	0.0276469	0.0491427	0.0983043	0.124434	0.14791	0.127897	0.104685	0.0954172	0.0773801	0.121166
a92	0.0160342	0.016009	0.0247679	0.037759	0.0464248	0.067325	0.0961089	0.141495	0.179789	0.175	0.199287
a56	0.0120136	0.0130881	0.0213531	0.0320069	0.0380685	0.0526164	0.0793219	0.127304	0.186194	0.220529	0.217504
a70	0.0127158	0.0147794	0.0256005	0.0401339	0.0491263	0.0689712	0.0963417	0.132142	0.171077	0.183419	0.205693
a93	0.01185	0.0142574	0.0260181	0.0445895	0.0553468	0.074274	0.100669	0.142261	0.188115	0.168204	0.174416
a83	0.00745327	0.0089644	0.0180863	0.0400022	0.0590026	0.0819597	0.114055	0.155447	0.193205	0.159418	0.162406
a75	0.00451887	0.00513115	0.0120451	0.0304114	0.0486695	0.0673276	0.0938291	0.13856	0.198144	0.174713	0.22665
a85	0.0103644	0.00974453	0.0190575	0.0362985	0.0499012	0.0601933	0.0752455	0.103628	0.166493	0.208963	0.260111
a36	0.0106854	0.00911288	0.0177878	0.0281207	0.0331626	0.0408932	0.0586251	0.0880154	0.149345	0.215027	0.349225
a2	0.00313384	0.00303582	0.00883341	0.0250737	0.0431866	0.0538135	0.0722909	0.0885588	0.131373	0.179475	0.391225
a90	0.00284904	0.00178447	0.00375958	0.011332	0.0275967	0.0360508	0.0469472	0.0573723	0.0896949	0.138617	0.583996
a4	0.00269005	0.0022439	0.00599906	0.0194761	0.0396918	0.0540554	0.0791257	0.104376	0.155862	0.186297	0.350184
a57	0.00319632	0.00285255	0.00787635	0.0209787	0.0434817	0.0638804	0.0860097	0.109146	0.158357	0.193479	0.310743
a82	0.00248402	0.00134927	0.00269456	0.00669438	0.0150549	0.0253945	0.0381458	0.0586183	0.103416	0.180853	0.565295
a87	0.0294144	0.0178326	0.0176055	0.023366	0.0312375	0.0356534	0.0519262	0.0746167	0.118906	0.201865	0.397577
a23	0.185304	0.111208	0.0879696	0.0624776	0.0549428	0.054348	0.0698923	0.0847142	0.096849	0.101696	0.0905977
a87	0.0870696	0.055047	0.0512411	0.0468336	0.0415683	0.0494116	0.0760862	0.116619	0.141571	0.160968	0.173585
</S>	0.0243443	0.0175486	0.0233587	0.0345139	0.0445099	0.059589	0.08801	0.111857	0.1352	0.185613	0.275456
