 	si	tu	oses	insulter	ma	mère	je	vais	te	taper	</S>
a15	0.291594	0.177238	0.140541	0.0830662	0.0699014	0.0636508	0.0571897	0.0480031	0.0343349	0.0217696	0.0127118
a84	0.319978	0.138016	0.078017	0.0609373	0.0493658	0.0548432	0.0632339	0.0634316	0.054473	0.0826391	0.0350661
a87	0.36713	0.174161	0.134731	0.0753544	0.0377787	0.035365	0.0313934	0.0223346	0.0206377	0.0454381	0.0556763
a23	0.344519	0.180381	0.118346	0.0645471	0.0372079	0.0347894	0.0392038	0.0367416	0.0303802	0.0563725	0.0575105
a79	0.176957	0.107904	0.0873247	0.0618514	0.0469772	0.066543	0.0906202	0.104747	0.0874877	0.0917652	0.0778218
a20	0.184832	0.152967	0.184473	0.102731	0.0720808	0.061605	0.0456694	0.0416761	0.0448879	0.0513823	0.0576942
a15	0.145009	0.147786	0.290733	0.143835	0.0631628	0.0470928	0.0343314	0.0295847	0.0306425	0.0329691	0.0348537
a79	0.101514	0.136027	0.238927	0.163274	0.0929987	0.0722724	0.0556481	0.0519981	0.0368386	0.0234724	0.0270298
a90	0.0813414	0.11423	0.232196	0.17432	0.106386	0.0841848	0.066027	0.0535932	0.0343331	0.02362	0.0297687
a44	0.0761723	0.119	0.269532	0.2209	0.118917	0.0774693	0.0481872	0.0288543	0.0158231	0.0107053	0.01444
a56	0.0599177	0.0827681	0.230816	0.226007	0.143112	0.104462	0.0634766	0.0348047	0.0186451	0.0146869	0.021303
a37	0.0797634	0.0915714	0.187604	0.182223	0.136703	0.111889	0.0805055	0.0487171	0.0265381	0.0228663	0.0316194
a11	0.0296053	0.0456626	0.10159	0.166528	0.186612	0.163519	0.122032	0.0725144	0.0392405	0.0324789	0.0402173
a56	0.0213865	0.0302786	0.0496794	0.0924861	0.15512	0.1928	0.173774	0.0907565	0.0502043	0.0545662	0.0889478
a96	0.0213332	0.0331275	0.0529456	0.0899979	0.146463	0.169985	0.155767	0.10402	0.0795367	0.0692483	0.0775758
a66	0.0137104	0.0213915	0.0413072	0.0688036	0.125192	0.174283	0.186135	0.11534	0.081903	0.0727227	0.0992107
a90	0.0197051	0.0276869	0.0362085	0.0460988	0.061981	0.106046	0.171438	0.134298	0.100525	0.115584	0.180428
a15	0.010155	0.0153925	0.0277332	0.0470038	0.0998469	0.132429	0.166706	0.104511	0.102947	0.122244	0.171031
a25	0.0048579	0.0103843	0.0169026	0.033958	0.0924959	0.139067	0.186324	0.112367	0.108259	0.132901	0.162484
a90	0.00492359	0.0109607	0.0141534	0.0276133	0.0698571	0.118666	0.167326	0.119718	0.112735	0.119606	0.23444
a25	0.00931974	0.0156068	0.0246499	0.0363486	0.0800859	0.109162	0.142103	0.0903274	0.0967364	0.126548	0.269112
a92	0.00478099	0.0106967	0.0154047	0.0278929	0.068362	0.11016	0.150553	0.0965872	0.106224	0.13371	0.275628
a79	0.0093067	0.0163534	0.0248582	0.0322817	0.0702538	0.103548	0.142673	0.104037	0.115951	0.136028	0.244709
a37	0.00412236	0.00904648	0.0137898	0.0181755	0.0463789	0.0721726	0.115494	0.0911417	0.118893	0.169013	0.341773
a85	0.00321058	0.0081339	0.0124843	0.0136827	0.023888	0.0346967	0.0621538	0.0584909	0.103513	0.188086	0.491661
a5	0.00075777	0.00186176	0.0022897	0.00402321	0.00928861	0.0182476	0.0406053	0.0368912	0.0845989	0.20317	0.598266
a18	0.00247465	0.00481618	0.00587745	0.00680095	0.010968	0.0173778	0.0368207	0.0384848	0.0999947	0.256435	0.519949
a75	0.00225358	0.00426663	0.00403084	0.00580469	0.00835686	0.0101414	0.0166948	0.0218766	0.0910287	0.369308	0.466238
a21	0.000592621	0.00144866	0.00193402	0.00310732	0.00470149	0.0072166	0.0153325	0.0176484	0.0547993	0.225784	0.667435
a12	0.00136786	0.00277871	0.00382734	0.00505133	0.00702418	0.00827449	0.0133346	0.0145753	0.0455186	0.205871	0.692377
a18	0.000871615	0.00199723	0.0021442	0.00338694	0.00491852	0.00600393	0.00814169	0.00852242	0.0299099	0.193977	0.740127
a25	0.00193663	0.00369002	0.00292161	0.00356937	0.00522423	0.00848643	0.012742	0.018361	0.0722413	0.284587	0.58624
a97	0.0187055	0.0243142	0.0303734	0.0224686	0.0207376	0.0260267	0.0297582	0.0376004	0.0918914	0.235967	0.462157
a87	0.09868	0.0647578	0.0492066	0.0330452	0.0321387	0.0368623	0.0449098	0.0506273	0.078663	0.222154	0.288956
a97	0.115492	0.0781646	0.0464621	0.0295781	0.0280226	0.0346753	0.0517079	0.0520591	0.0817571	0.228217	0.253864
a87	0.131656	0.103832	0.0516626	0.0371275	0.0296833	0.0392397	0.067386	0.0697848	0.0941888	0.168205	0.207234
a23	0.102503	0.0894033	0.0482584	0.042751	0.0393865	0.0545196	0.0689087	0.0642786	0.0889988	0.142288	0.258703
a99	0.0142109	0.0143309	0.00778397	0.015337	0.023919	0.0410271	0.0641629	0.0629135	0.0936311	0.212917	0.449766
a87	0.0222685	0.0290077	0.0180832	0.0295414	0.0361394	0.0395729	0.0344002	0.0338044	0.0561674	0.138359	0.562656
a97	0.0246743	0.0297721	0.0191077	0.0287607	0.0237183	0.0237451	0.0216211	0.0196621	0.0333806	0.112784	0.662774
</S>	0.074834	0.0791101	0.0350981	0.0558091	0.0482641	0.0483498	0.0466773	0.0482783	0.0606378	0.127827	0.375115
