 	cette	femme	a	déjà	des	arrières-petits-fils	</S>
a66	0.310185	0.277871	0.18911	0.108806	0.0681274	0.0327998	0.0131008
a87	0.328562	0.268691	0.179535	0.132951	0.0585982	0.0211639	0.0104988
a23	0.488906	0.281463	0.115946	0.0546943	0.0291386	0.0192386	0.0106133
a13	0.479074	0.298316	0.119063	0.0482476	0.018962	0.0146653	0.0216726
a50	0.284287	0.22307	0.146437	0.109964	0.0749819	0.0784609	0.0827995
a96	0.264923	0.274947	0.205062	0.136739	0.06299	0.0343826	0.0209566
a93	0.181562	0.227095	0.209561	0.19719	0.100773	0.0548148	0.0290041
a90	0.174124	0.213815	0.190233	0.194047	0.116478	0.0717929	0.0395084
a25	0.115594	0.150033	0.16283	0.220609	0.173233	0.132504	0.045197
a15	0.0731793	0.0934253	0.11322	0.171142	0.182795	0.247824	0.118415
a79	0.0893714	0.105466	0.126414	0.140162	0.131316	0.219313	0.187958
a75	0.0854861	0.0880173	0.0987387	0.0966609	0.112844	0.26588	0.252373
a85	0.0543931	0.0612187	0.0939261	0.110822	0.156225	0.282046	0.241369
a47	0.0334254	0.0386596	0.0594461	0.0852206	0.149503	0.296788	0.336958
a36	0.0205656	0.0151027	0.0189641	0.0270541	0.084402	0.331155	0.502757
a15	0.0397637	0.0215814	0.0160941	0.0128937	0.040428	0.202385	0.666854
a79	0.01076	0.00524136	0.00479125	0.00771071	0.0315312	0.199266	0.740699
a36	0.0114189	0.00613879	0.00634786	0.00916486	0.0339272	0.185421	0.747581
a37	0.0234635	0.0134697	0.0117008	0.0166848	0.053201	0.197088	0.684392
a61	0.0189904	0.011639	0.0155335	0.0329806	0.0908418	0.252274	0.57774
a88	0.00605368	0.00379201	0.00557399	0.0130141	0.0498156	0.230904	0.690847
a71	0.00686623	0.00522401	0.00785227	0.0194498	0.0708514	0.249837	0.639919
a25	0.0584729	0.0391336	0.0421804	0.0464812	0.0888137	0.24968	0.475238
a9	0.06897	0.054649	0.0595341	0.0675858	0.104722	0.216386	0.428154
a87	0.296532	0.16513	0.0954229	0.0654497	0.0831753	0.121831	0.17246
a23	0.362922	0.211005	0.118615	0.0682874	0.0646699	0.0890663	0.0854345
a87	0.288531	0.156403	0.095454	0.0613575	0.0657962	0.118777	0.213682
a23	0.0462708	0.0248315	0.0162803	0.019938	0.051942	0.239019	0.601718
a87	0.10647	0.0733344	0.065955	0.068256	0.0940328	0.205694	0.386258
</S>	0.0256204	0.0161701	0.01508	0.0267883	0.0738477	0.275448	0.567046
