 	le	filet	est	déjà	déployé	dans	la	forêt	</S>
a66	0.325626	0.216701	0.148647	0.11241	0.109649	0.0406604	0.0241388	0.0135811	0.0085863
a87	0.266211	0.144314	0.11205	0.17382	0.205823	0.0631101	0.0199154	0.00861171	0.00614466
a23	0.343479	0.267088	0.203082	0.138882	0.0332819	0.00628172	0.00353251	0.00212778	0.00224534
a4	0.317971	0.27349	0.208417	0.138008	0.0322772	0.0086186	0.00495544	0.00591126	0.0103518
a57	0.191923	0.160885	0.162991	0.163397	0.0754465	0.064112	0.0501245	0.0571803	0.0739406
a11	0.271808	0.18438	0.156078	0.16794	0.121799	0.0336887	0.0204159	0.0204094	0.0234816
a34	0.11814	0.156142	0.175469	0.253567	0.19651	0.0505342	0.0207846	0.0143407	0.0145117
a25	0.093016	0.155924	0.222159	0.276462	0.190672	0.0349619	0.0121071	0.00768971	0.00700802
a15	0.0438431	0.0952352	0.144048	0.254117	0.281284	0.10554	0.0375879	0.0205757	0.017769
a98	0.0236309	0.0483468	0.071601	0.149582	0.345246	0.199026	0.0858494	0.0431393	0.0335783
a15	0.0179784	0.0365204	0.0626392	0.169751	0.319921	0.196373	0.105173	0.0530352	0.0386079
a98	0.0179019	0.0245124	0.0359857	0.122541	0.303367	0.221974	0.132649	0.081456	0.0596131
a85	0.0144023	0.0138733	0.017367	0.0745317	0.225454	0.22447	0.179751	0.135409	0.114742
a47	0.0180322	0.0140972	0.0127457	0.0351748	0.127808	0.197398	0.203768	0.189822	0.201155
a7	0.00911111	0.00644801	0.00460517	0.0112937	0.0738048	0.157281	0.204752	0.24077	0.291934
a54	0.0157812	0.00852562	0.00419002	0.00745927	0.0223068	0.0757222	0.220485	0.282185	0.363344
a0	0.00486033	0.00248037	0.00133041	0.00247668	0.0118232	0.0483867	0.161334	0.318688	0.44862
a75	0.00820834	0.00351296	0.00118646	0.00139145	0.00663179	0.025609	0.0915813	0.3082	0.553678
a36	0.00191193	0.000875093	0.000377204	0.000789633	0.00724304	0.0263991	0.0856042	0.310949	0.56585
a7	0.0113866	0.0063857	0.00242248	0.0033488	0.0196503	0.0544202	0.119263	0.268774	0.51435
a90	0.0378736	0.0265657	0.0143974	0.0121501	0.0341148	0.0549008	0.116786	0.254232	0.44898
a69	0.00187365	0.00091521	0.000408165	0.000695322	0.00750422	0.0306322	0.102603	0.289811	0.565557
a58	0.000813492	0.000524524	0.000344564	0.000767668	0.00719521	0.0289556	0.0949128	0.292071	0.574415
a82	0.0500624	0.0364295	0.0196605	0.0196083	0.0510502	0.0717089	0.143151	0.26382	0.344509
a87	0.254674	0.180066	0.0979876	0.0639314	0.067662	0.0541659	0.077011	0.0981778	0.106325
a23	0.292388	0.253226	0.145792	0.0967198	0.0794268	0.0350772	0.0366819	0.033521	0.0271676
a87	0.164667	0.137519	0.0874406	0.0834083	0.0871316	0.0742797	0.106515	0.136092	0.122948
a23	0.0197064	0.0142804	0.00912126	0.0124755	0.0302232	0.0546977	0.145522	0.301241	0.412732
a87	0.0290263	0.0296069	0.0217045	0.0275536	0.0431337	0.0577258	0.151768	0.287339	0.352142
</S>	0.0112722	0.0096024	0.00634021	0.0105482	0.0335341	0.0695272	0.180969	0.302762	0.375444
