 	pourquoi	t'	immisces-tu	dans	les	affaires	de	tes	petits	fils	au	moment	où	ils	ont	encore	un	père	</S>
a66	0.101672	0.0571723	0.0759923	0.0865528	0.0968915	0.0939221	0.0623891	0.0441921	0.0347018	0.0399946	0.0428243	0.0532757	0.0602209	0.0418857	0.0387122	0.027755	0.0179384	0.0122986	0.0116087
a87	0.23062	0.117629	0.0971018	0.0772358	0.0816061	0.0730656	0.0456279	0.0319425	0.0244453	0.0260317	0.0270452	0.0306413	0.0261998	0.0150117	0.0156786	0.0165041	0.0173786	0.019061	0.0271736
a23	0.165003	0.134716	0.139006	0.139616	0.130126	0.0845917	0.0438203	0.0225152	0.0130685	0.0100903	0.00960571	0.0098933	0.00760084	0.00430836	0.00511455	0.00763407	0.0118599	0.019929	0.041501
a87	0.13237	0.122218	0.120336	0.105411	0.0969304	0.075075	0.0586511	0.051831	0.0301323	0.0229235	0.0213665	0.0168938	0.0102061	0.00738515	0.00676923	0.0105249	0.0186843	0.0356564	0.0566354
a23	0.222372	0.175654	0.140414	0.0922848	0.0812873	0.0525697	0.0343565	0.0261593	0.0135755	0.0104515	0.0108338	0.00971067	0.00738866	0.00636954	0.00744648	0.0110114	0.0163601	0.0275517	0.0542031
a99	0.18015	0.125441	0.0855729	0.0584079	0.0610797	0.0553152	0.0503123	0.0442614	0.0285908	0.023962	0.0194165	0.0182481	0.0142391	0.0155395	0.0157733	0.0227361	0.0324859	0.0555077	0.0929597
a30	0.139947	0.094903	0.085365	0.0656044	0.0822421	0.0901676	0.0761885	0.0498943	0.0246916	0.0227515	0.0171738	0.0164951	0.0135109	0.0159229	0.0186311	0.0242381	0.0325895	0.0509927	0.0786908
a93	0.074458	0.0774849	0.112358	0.0841491	0.0959631	0.0882493	0.0748311	0.0568119	0.0257565	0.0230115	0.0169084	0.0167965	0.0145485	0.0153155	0.0182592	0.0251026	0.0381102	0.0594646	0.0824212
a70	0.0944242	0.127701	0.158552	0.145362	0.109139	0.0727222	0.0487757	0.0390189	0.0177997	0.0146459	0.0121892	0.0109497	0.0103283	0.0117639	0.0148792	0.0190401	0.0241504	0.0319232	0.0366348
a96	0.0534033	0.0855465	0.134237	0.147997	0.108608	0.0794701	0.0507355	0.0474626	0.0259635	0.0252175	0.0222362	0.0191515	0.0194846	0.0233354	0.027103	0.0296666	0.031805	0.0337772	0.0348003
a37	0.0311709	0.052413	0.12184	0.126635	0.0971217	0.0808376	0.0551285	0.0562364	0.0346066	0.0348919	0.0311591	0.0248083	0.0252557	0.0292444	0.0319786	0.0338159	0.0384303	0.0436764	0.0507501
a27	0.0268383	0.0436167	0.121697	0.120301	0.103064	0.0886329	0.0611707	0.0657353	0.0405418	0.0384057	0.0353399	0.0276269	0.0267668	0.0271792	0.0286645	0.0286494	0.0321234	0.0372854	0.046362
a53	0.0104566	0.0148189	0.0604739	0.087884	0.106036	0.110059	0.0888041	0.102879	0.0609765	0.0518778	0.0469337	0.0374618	0.0345761	0.0287796	0.0276906	0.0263972	0.0286195	0.0325029	0.0427729
a94	0.0160375	0.0180464	0.0573877	0.0804217	0.0890689	0.0997881	0.0850744	0.0901586	0.0607561	0.0581685	0.0548086	0.0406297	0.0352874	0.0267636	0.0277453	0.0270287	0.0318237	0.0423169	0.058688
a41	0.00909357	0.00888768	0.0259366	0.0453691	0.0556659	0.0784728	0.0930639	0.107796	0.0852751	0.0837174	0.0805586	0.0620885	0.0543708	0.034761	0.0312613	0.0268863	0.0295742	0.0367378	0.0504835
a37	0.0167408	0.0160604	0.0343699	0.0514773	0.0587425	0.0666615	0.0750727	0.0965864	0.0766654	0.0776887	0.0727186	0.0564086	0.0474691	0.0320956	0.0320828	0.0297511	0.035105	0.0490571	0.0752466
a94	0.00456148	0.0040192	0.00933243	0.0182379	0.0283596	0.0446904	0.0715465	0.102715	0.0964706	0.108303	0.101493	0.0725967	0.0622384	0.0418248	0.0371392	0.0314869	0.0364544	0.0518769	0.076653
a36	0.00492603	0.00403221	0.0073557	0.0181072	0.0301979	0.0491226	0.0775541	0.102233	0.0938927	0.109412	0.0998698	0.0773734	0.0646253	0.0451676	0.0388589	0.030129	0.0332874	0.046953	0.066902
a27	0.00333484	0.00298872	0.00523783	0.0135988	0.025111	0.0401001	0.0624712	0.0809494	0.0883621	0.111868	0.102778	0.0743178	0.0599523	0.0453623	0.0388929	0.0320534	0.0407962	0.0683684	0.103457
a11	0.00304993	0.00301968	0.00425567	0.0122161	0.024022	0.0365211	0.0590924	0.0757567	0.0916899	0.12587	0.106009	0.0741542	0.0579964	0.0407077	0.0338995	0.0285978	0.0412444	0.071109	0.110788
a94	0.00234046	0.00203678	0.00272741	0.00815136	0.0150663	0.0256036	0.0465136	0.0607828	0.0823187	0.120361	0.10346	0.0746095	0.0628541	0.0569933	0.0480559	0.0394349	0.0509779	0.0822066	0.115506
a66	0.00380655	0.00313092	0.00366921	0.0118308	0.0199076	0.0298151	0.0426073	0.0497788	0.0695743	0.101707	0.0853742	0.0718177	0.0630043	0.0774791	0.0690082	0.0583862	0.0608975	0.0782518	0.099953
a71	0.00190482	0.00154579	0.00174488	0.00379619	0.00599142	0.00893142	0.01634	0.024477	0.0442834	0.0802736	0.0710858	0.0576919	0.0574429	0.0861996	0.080061	0.0782513	0.092164	0.123026	0.164789
a9	0.00170717	0.0012804	0.00118847	0.00213232	0.00357126	0.00542634	0.0101649	0.0178005	0.0384949	0.0686113	0.0657474	0.057785	0.0683749	0.105036	0.093446	0.0940721	0.0984362	0.117616	0.149109
a87	0.00474455	0.00294709	0.00229987	0.00314639	0.00428019	0.00657044	0.0120187	0.021195	0.0439027	0.0733336	0.0759552	0.0671138	0.0737515	0.109551	0.0930138	0.0945714	0.0880108	0.0960329	0.127561
a23	0.0486792	0.0287276	0.0165244	0.0149763	0.0145136	0.0148906	0.0179729	0.0253996	0.0330222	0.0487419	0.0464663	0.0483069	0.0472349	0.0701294	0.0674257	0.0877414	0.0978713	0.11568	0.155696
a26	0.0331023	0.0137219	0.00417429	0.00293878	0.00251197	0.00246771	0.00449202	0.00955013	0.0190366	0.0276187	0.0205325	0.0228682	0.0217389	0.0328572	0.0339697	0.0692432	0.122857	0.217594	0.338725
a66	0.017322	0.00932501	0.0034026	0.00423588	0.00422787	0.00458447	0.00726253	0.0120172	0.0179476	0.0267915	0.0208975	0.0208422	0.0193615	0.0349083	0.0367349	0.0781701	0.125304	0.22471	0.331955
a40	0.00824158	0.00553462	0.00220896	0.00398259	0.00466994	0.00603706	0.00929506	0.0141048	0.0171656	0.0301921	0.0238329	0.022697	0.0208148	0.0419871	0.049159	0.0965523	0.14206	0.213762	0.287703
a27	0.00684643	0.00488221	0.00464357	0.00650766	0.00896691	0.00932212	0.00998768	0.0131704	0.0170062	0.0231476	0.022566	0.0224918	0.025256	0.0474214	0.043015	0.0641731	0.107285	0.210738	0.352573
a40	0.00112572	0.000865156	0.000641124	0.00150899	0.00208225	0.00330406	0.0057072	0.00807416	0.0153685	0.0295228	0.0255871	0.0216592	0.0222443	0.0458965	0.0467906	0.0741137	0.12732	0.22756	0.340628
a7	0.00138609	0.00111357	0.00169274	0.00291493	0.00440134	0.00573951	0.00829624	0.0129327	0.0259187	0.0351818	0.0339443	0.0327507	0.0391619	0.0787962	0.0720206	0.0947592	0.127778	0.1813	0.239912
a36	0.000507423	0.000386146	0.000417872	0.00094286	0.00151534	0.00269915	0.00540163	0.00929704	0.0227071	0.0360846	0.0314212	0.0291514	0.0330526	0.0655082	0.0619927	0.090179	0.132984	0.203371	0.272381
a26	0.000618261	0.000451946	0.000357704	0.000725232	0.000811245	0.00129784	0.00259119	0.00369893	0.00907028	0.0178071	0.0158779	0.014078	0.0140698	0.0353286	0.0351457	0.0676787	0.130768	0.243489	0.406135
