 	j'	ai	enlevé	un	peu	de	la	pâte	d'	arachide	de	l'	assiette	</S>
a87	0.320668	0.168501	0.104589	0.0549404	0.0286896	0.0224595	0.026113	0.0279095	0.0236303	0.0429708	0.0397212	0.0399743	0.0453269	0.0545071
a23	0.363585	0.139758	0.0708799	0.0424489	0.0358498	0.0236242	0.0236944	0.0190971	0.0172689	0.02227	0.0278296	0.0449808	0.0724367	0.0962761
a83	0.249226	0.176684	0.146736	0.0707291	0.0581144	0.0335681	0.0235141	0.0133988	0.00958954	0.0118799	0.0155891	0.0252993	0.052272	0.113399
a24	0.394289	0.234256	0.0813493	0.0476622	0.0331023	0.0307419	0.0261728	0.0289613	0.0208687	0.0236795	0.0202312	0.0172203	0.0171135	0.0243514
a31	0.309591	0.213619	0.195411	0.115842	0.0748488	0.0379436	0.0214819	0.0075963	0.00319871	0.00398676	0.00325858	0.00328015	0.00402878	0.00591282
a70	0.290122	0.234675	0.196684	0.119872	0.0744855	0.0325819	0.0169054	0.00600985	0.00292776	0.00407189	0.00389564	0.00425053	0.00561814	0.00790019
a13	0.237303	0.195424	0.177735	0.10847	0.0642484	0.0395539	0.0290237	0.0202433	0.0144181	0.0198948	0.0208525	0.0230581	0.0223334	0.0274409
a90	0.136187	0.147781	0.123764	0.0907343	0.0635872	0.0480859	0.0402205	0.0368559	0.0328972	0.0440103	0.0484131	0.0607669	0.0571054	0.0695918
a92	0.101425	0.119627	0.106497	0.110709	0.100615	0.0946227	0.0793011	0.0632672	0.0404802	0.0426565	0.0345862	0.0328183	0.0307791	0.0426166
a75	0.10379	0.124008	0.119533	0.134854	0.125366	0.112257	0.0844385	0.0580737	0.0297087	0.0298614	0.0207963	0.0176476	0.017466	0.0221999
a92	0.0695545	0.0929153	0.0879868	0.120889	0.128825	0.128896	0.0967923	0.0674511	0.0418643	0.038689	0.0280596	0.0272071	0.0313709	0.0394994
a96	0.0618288	0.0754466	0.0697358	0.0990964	0.114313	0.136626	0.113065	0.0835271	0.056791	0.0474941	0.033468	0.0308281	0.0353027	0.0424773
a66	0.053212	0.0598884	0.0487191	0.0471827	0.0681151	0.130167	0.139196	0.117769	0.0721743	0.0577576	0.0371091	0.0410244	0.0531365	0.0745493
a15	0.0419503	0.0492635	0.044429	0.0240171	0.0310595	0.0627384	0.0776798	0.0884747	0.0758442	0.0699746	0.0595791	0.0782459	0.115825	0.180919
a44	0.0467368	0.0437705	0.040679	0.0331922	0.037805	0.0482683	0.0572783	0.077444	0.0891065	0.0709024	0.0654632	0.0855089	0.123679	0.180166
a84	0.0365466	0.0375322	0.031031	0.0199404	0.0245022	0.0337099	0.0419724	0.0765801	0.100208	0.0814912	0.0771446	0.100747	0.138077	0.200517
a75	0.0316299	0.026325	0.0172385	0.0107213	0.0133311	0.0267624	0.0503284	0.103405	0.116577	0.0964057	0.0898185	0.0952579	0.136608	0.185592
a92	0.0446967	0.0378761	0.0264786	0.0201454	0.0257089	0.0383106	0.0519331	0.0876321	0.128222	0.0954334	0.0894644	0.103515	0.113367	0.137217
a11	0.0275463	0.0258394	0.0141557	0.0102622	0.0139956	0.0256852	0.0355197	0.078459	0.132684	0.103269	0.101195	0.122194	0.15052	0.158674
a75	0.0125212	0.0108785	0.00836809	0.0040581	0.00575911	0.0112403	0.0190629	0.0577096	0.122624	0.0923935	0.108676	0.147228	0.174381	0.2251
a92	0.0267819	0.0234551	0.0133761	0.00867821	0.011062	0.0175765	0.0220715	0.0497916	0.109781	0.0847789	0.0995124	0.131593	0.179463	0.222078
a11	0.0222961	0.0180848	0.00929612	0.00545313	0.00725518	0.0139749	0.0195981	0.0496198	0.108744	0.0832804	0.101863	0.141192	0.191513	0.227829
a75	0.00528508	0.00445384	0.00331936	0.00131395	0.0018391	0.00395303	0.00713602	0.0231884	0.0593711	0.0455362	0.0692963	0.142143	0.254994	0.378171
a47	0.0195112	0.0147793	0.00752009	0.00385464	0.00557488	0.0105799	0.0144165	0.0323142	0.0736077	0.0525957	0.0786523	0.142895	0.229364	0.314335
a85	0.0101094	0.00821053	0.00838036	0.00485727	0.00632405	0.0117932	0.0163933	0.030772	0.0570082	0.0386232	0.0559347	0.113862	0.251076	0.386655
a66	0.0165415	0.0159164	0.020441	0.00697196	0.00652471	0.00954064	0.0120258	0.0211868	0.0424183	0.0313748	0.049881	0.106325	0.25085	0.410003
a9	0.00213515	0.00151683	0.00163768	0.000496471	0.000533777	0.00103998	0.002068	0.00648554	0.0173897	0.0129082	0.0275737	0.0876242	0.277237	0.561354
a87	0.0139525	0.0104434	0.013289	0.00338691	0.00193489	0.00193546	0.00306611	0.00898903	0.0319209	0.0228089	0.0517243	0.110326	0.270874	0.455348
a23	0.0775807	0.0575903	0.0483869	0.0208271	0.017276	0.0159407	0.0194948	0.0295224	0.0421422	0.0383223	0.0583633	0.0892123	0.185365	0.299976
a87	0.025259	0.0190678	0.0222504	0.0125733	0.0115227	0.0106575	0.0134279	0.0152219	0.0217756	0.0213436	0.0387919	0.100428	0.271531	0.416149
</S>	0.0427901	0.0326408	0.0292572	0.0123375	0.00911257	0.00918387	0.0101882	0.0120155	0.0159668	0.0171109	0.0315262	0.0846735	0.249407	0.44379
