 	je	m'	en	vais	rester	avec	le	malade	pour	le	détendre	</S>
a66	0.0907461	0.064422	0.0499177	0.0640881	0.0879424	0.169268	0.242077	0.148586	0.0335705	0.019207	0.020024	0.0101522
a87	0.208158	0.133394	0.0843099	0.0846285	0.0902405	0.0966345	0.107387	0.0760848	0.0372527	0.0363011	0.0339273	0.0116817
a23	0.226356	0.162243	0.0905568	0.119976	0.124553	0.0941481	0.0885569	0.0524244	0.019682	0.00840281	0.00799802	0.00510325
a99	0.28763	0.220405	0.0944771	0.113622	0.089088	0.0484144	0.0371271	0.0277707	0.018681	0.0209265	0.0222334	0.0196249
a24	0.243229	0.168839	0.0853433	0.111858	0.0934326	0.0594668	0.050294	0.0370752	0.0296424	0.0395752	0.0397609	0.0414836
a31	0.223106	0.188728	0.131603	0.164336	0.0827173	0.0377173	0.038179	0.0350733	0.0307977	0.0289057	0.02531	0.0135267
a12	0.220953	0.188991	0.122662	0.136933	0.0947564	0.0492609	0.0570192	0.0416249	0.0325746	0.0262713	0.0210829	0.00787019
a75	0.178395	0.132606	0.0896601	0.0937703	0.096815	0.0693376	0.0870361	0.0805092	0.0635209	0.0533231	0.0377185	0.0173087
a79	0.0857622	0.0800047	0.0644306	0.0742124	0.0783921	0.0644546	0.102438	0.113299	0.114116	0.104264	0.0823949	0.036231
a25	0.0650506	0.0676297	0.0641642	0.0585923	0.055769	0.0446896	0.0613348	0.0706791	0.0985936	0.125335	0.161653	0.126509
a56	0.0411963	0.045137	0.0574458	0.052536	0.0563746	0.0522259	0.072142	0.0778729	0.0757804	0.0885609	0.164897	0.215831
a76	0.0494463	0.0501731	0.0732492	0.0787261	0.0926155	0.0732611	0.0665894	0.0498537	0.0476335	0.0693325	0.151287	0.197832
a25	0.0364386	0.0368989	0.0618391	0.0635453	0.0670415	0.0674804	0.0897219	0.0943978	0.0576224	0.0763381	0.174789	0.173887
a56	0.0212058	0.0207167	0.0399878	0.0451848	0.049843	0.0584436	0.0639999	0.0742599	0.0420853	0.0729491	0.195361	0.315963
a25	0.0168538	0.0152836	0.0259213	0.0316062	0.0423516	0.0691226	0.0605857	0.0563879	0.0314572	0.0851642	0.20777	0.357496
a69	0.00584752	0.00471465	0.00920623	0.0158423	0.0278752	0.054213	0.0374104	0.0545999	0.0276409	0.0719454	0.220584	0.470121
a90	0.00332652	0.00291964	0.00424324	0.0069788	0.0152834	0.034488	0.0260143	0.039369	0.0302249	0.0935818	0.255009	0.488561
a92	0.00315133	0.00262752	0.00393907	0.0055302	0.00918708	0.0201392	0.0206332	0.0384362	0.040168	0.101536	0.299765	0.454887
a44	0.00089476	0.000704282	0.00101399	0.00134916	0.00162463	0.00311604	0.00336001	0.00856166	0.0232789	0.109415	0.276557	0.570125
a94	0.00147206	0.00105181	0.0014303	0.00176095	0.00197143	0.00313232	0.00260932	0.00537378	0.0175642	0.10085	0.289656	0.573128
a71	0.00137661	0.00095927	0.00129967	0.00143944	0.0018204	0.00272827	0.00206679	0.00406758	0.0211744	0.118306	0.310175	0.534587
a82	0.028468	0.0209448	0.0286861	0.0367994	0.0324986	0.0391916	0.0301728	0.026516	0.0386334	0.0925752	0.174553	0.450961
a87	0.157178	0.100481	0.0954518	0.132377	0.114591	0.115243	0.0907945	0.0588274	0.0239418	0.025426	0.0338592	0.0518297
a23	0.216334	0.141452	0.112661	0.115101	0.105303	0.0894515	0.083832	0.0564172	0.0177135	0.0151028	0.0232233	0.0234094
a87	0.0416265	0.0241737	0.0202675	0.0209095	0.0327323	0.0335476	0.0375172	0.0617116	0.0964629	0.146856	0.187949	0.296246
</S>	0.00494828	0.00290172	0.00232522	0.00277954	0.00405965	0.00621185	0.00643041	0.0102436	0.0286447	0.0887589	0.290629	0.552067
