 	les	policiers	étaient	en	train	d'	encercler	le	voleur	derrière	l'	école	</S>
a57	0.217298	0.171143	0.135047	0.148643	0.0876512	0.0863759	0.0706034	0.0323481	0.0184828	0.0111359	0.00812674	0.00687017	0.00627362
a66	0.272496	0.0945364	0.0510041	0.0464925	0.047196	0.0459137	0.0840289	0.0647822	0.0712358	0.0689322	0.0608304	0.0508429	0.0417085
a87	0.214052	0.165458	0.0703817	0.0524042	0.0399131	0.0552359	0.104367	0.0868115	0.0707846	0.0503111	0.033239	0.0290887	0.0279535
a97	0.199936	0.191505	0.0558933	0.0433557	0.0395196	0.0571073	0.118952	0.0933094	0.0743098	0.0490487	0.0311617	0.0244789	0.021423
a3	0.145118	0.169969	0.0441854	0.038042	0.0396713	0.0635096	0.1324	0.119045	0.0997421	0.0642868	0.0377727	0.0263406	0.0199167
a99	0.156504	0.190841	0.044321	0.0433524	0.0515596	0.0837133	0.116101	0.097483	0.082891	0.0597704	0.0346121	0.0227112	0.0161397
a40	0.137888	0.247717	0.087657	0.0907244	0.0907431	0.1131	0.0734677	0.0520936	0.0411089	0.0311028	0.0161567	0.0102592	0.00798112
a44	0.179553	0.312019	0.113431	0.100183	0.0744676	0.0811534	0.063358	0.0318694	0.0209467	0.0116698	0.00573777	0.00323659	0.0023747
a90	0.157593	0.375208	0.102983	0.0686605	0.0490342	0.0548555	0.06914	0.0490486	0.0358163	0.0194746	0.00974215	0.00507772	0.00336658
a98	0.107642	0.318156	0.120144	0.0960902	0.0636238	0.0691704	0.0816937	0.0495716	0.0337571	0.0234633	0.0170521	0.0115073	0.00812822
a85	0.0808651	0.209799	0.159218	0.155872	0.103522	0.0858154	0.0700994	0.0359165	0.0246878	0.023021	0.0214319	0.0167909	0.0129607
a92	0.0676789	0.152969	0.159992	0.155155	0.104026	0.0779162	0.0737008	0.0450764	0.0328578	0.0304874	0.0351044	0.0345231	0.0305124
a75	0.0921895	0.188168	0.145494	0.142054	0.0852291	0.0711559	0.0753784	0.0458242	0.0324285	0.0286666	0.0328789	0.0324759	0.0280568
a56	0.0638851	0.116582	0.148402	0.149517	0.100721	0.0878028	0.0915349	0.0606009	0.0402266	0.0314418	0.0356806	0.0383218	0.0352836
