 	le	chef	du	village	supporte	beaucoup	de	problèmes	</S>
a66	0.207091	0.165366	0.118249	0.222847	0.151262	0.0847693	0.0288824	0.0133478	0.00818576
a87	0.326629	0.2	0.121922	0.116505	0.0920821	0.0543916	0.0300376	0.033502	0.024932
a23	0.411139	0.293031	0.132979	0.0929727	0.0250956	0.011351	0.00902895	0.0110088	0.0133939
a30	0.374091	0.30944	0.125356	0.0724322	0.0228745	0.0154599	0.0187282	0.024283	0.0373361
a4	0.371117	0.263278	0.106962	0.0873454	0.059057	0.0307087	0.0270467	0.0275253	0.0269598
a57	0.246536	0.185101	0.111054	0.189841	0.167025	0.0450971	0.0237119	0.020577	0.0110564
a53	0.165446	0.1616	0.145216	0.185529	0.207519	0.06077	0.031301	0.0238761	0.0187431
a90	0.118842	0.130828	0.135893	0.163187	0.265488	0.0720365	0.0434149	0.036009	0.0343008
a56	0.0753667	0.0939718	0.119198	0.154912	0.285228	0.10671	0.0640772	0.0522481	0.0482892
a75	0.124911	0.131545	0.156647	0.170562	0.239208	0.0738917	0.0400896	0.0307469	0.0323984
a6	0.0633395	0.0675445	0.0947599	0.131815	0.308829	0.143711	0.0802762	0.0559972	0.0537278
a15	0.0717607	0.0763477	0.105021	0.137177	0.302332	0.133222	0.0714072	0.0502256	0.052507
a7	0.0458734	0.0508074	0.078026	0.116566	0.330169	0.161723	0.0875746	0.062972	0.0662893
a90	0.0529703	0.0515339	0.0732429	0.104859	0.243332	0.167957	0.0984808	0.0839548	0.123669
a75	0.0571032	0.0554868	0.0818073	0.145922	0.288079	0.155305	0.0843872	0.0589654	0.0729444
a85	0.0270136	0.0266405	0.0510191	0.105859	0.23767	0.180887	0.141631	0.108612	0.120668
a37	0.0143807	0.0148558	0.0328679	0.0716705	0.194156	0.218968	0.169979	0.129836	0.153286
a61	0.0141167	0.0143654	0.0212968	0.0378183	0.0907537	0.19296	0.19951	0.154456	0.274724
a21	0.0188094	0.0164028	0.02342	0.0289116	0.0446483	0.138004	0.238876	0.202858	0.28807
a85	0.0106693	0.00944919	0.0129134	0.016648	0.025884	0.0900436	0.236387	0.273167	0.324838
a36	0.00214532	0.00206832	0.00329554	0.00470773	0.0131733	0.069654	0.218334	0.2822	0.404421
a90	0.00433004	0.00436548	0.00394791	0.0032092	0.00377898	0.0172938	0.0792129	0.239164	0.644698
a56	0.0017981	0.00172295	0.00177098	0.00129796	0.0017993	0.0114173	0.0647829	0.222401	0.69301
a96	0.00126235	0.00117201	0.00141654	0.00134506	0.00182457	0.00862526	0.0574198	0.248935	0.677999
a11	0.00198208	0.0017531	0.0021794	0.00179592	0.00264717	0.0115017	0.0588634	0.24898	0.670297
a31	0.00248976	0.00203297	0.00234072	0.0023237	0.00543925	0.0218895	0.0841766	0.272277	0.60703
a88	0.00132467	0.00113532	0.00172983	0.00187285	0.00480043	0.0160941	0.0631287	0.261616	0.648298
a9	0.000751977	0.000604743	0.000829092	0.0010689	0.00432842	0.0169771	0.0697788	0.26935	0.636311
a87	0.0203854	0.0136385	0.0121305	0.0122971	0.0247897	0.0581844	0.141852	0.264662	0.452061
a23	0.223486	0.118993	0.0862767	0.100979	0.0807317	0.0953387	0.0982955	0.0951582	0.100742
a87	0.0969559	0.0596633	0.0456845	0.0272219	0.0230403	0.0253024	0.07153	0.230793	0.419808
</S>	0.0350097	0.021165	0.013822	0.0103725	0.0102806	0.0147928	0.0520385	0.200334	0.642185
