 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
a87	0.224841	0.143642	0.131237	0.119538	0.129341	0.0821893	0.0755007	0.0593717	0.0343396
a10	0.141545	0.0518584	0.0324864	0.0445299	0.0736474	0.150042	0.157824	0.200251	0.147816
a87	0.21536	0.114053	0.0689472	0.0604007	0.0745655	0.0902777	0.0846018	0.147707	0.144087
a10	0.227166	0.142293	0.0845941	0.0554172	0.0737345	0.0803515	0.0793988	0.129427	0.127618
a87	0.170872	0.107273	0.0682353	0.0474084	0.0640509	0.095628	0.100931	0.182614	0.162988
a30	0.165265	0.102836	0.0677684	0.0462898	0.058295	0.0963587	0.104898	0.186383	0.171906
a53	0.250048	0.122347	0.0569603	0.0421597	0.0436188	0.0740894	0.0858821	0.140103	0.184792
a15	0.311047	0.175985	0.0948744	0.0489462	0.033611	0.0361585	0.0540984	0.10576	0.13952
a69	0.194964	0.137733	0.123381	0.0960312	0.0758056	0.0612621	0.0734926	0.107784	0.129546
a4	0.163106	0.147404	0.167204	0.127803	0.0779247	0.0509017	0.0651011	0.0919907	0.108564
a90	0.137376	0.137621	0.186045	0.15128	0.0972715	0.0564597	0.057802	0.0729524	0.103192
a98	0.108768	0.115804	0.181407	0.156285	0.0989143	0.0647033	0.0716402	0.0905438	0.111935
a47	0.131692	0.139321	0.184721	0.156379	0.0966343	0.0667575	0.0635705	0.0713051	0.0896181
a6	0.122467	0.137923	0.188448	0.135617	0.085143	0.0550453	0.0630149	0.0897596	0.122582
a85	0.119751	0.128215	0.190294	0.164641	0.103625	0.0705933	0.0659429	0.0688184	0.0881187
a37	0.0682939	0.0735717	0.110737	0.111099	0.0890005	0.0825718	0.1072	0.141783	0.215743
a34	0.0728441	0.0719959	0.106139	0.130924	0.120538	0.100915	0.11115	0.123625	0.16187
a93	0.0514838	0.0502081	0.0842637	0.132632	0.132807	0.128835	0.137818	0.127545	0.154407
a13	0.0339907	0.0316293	0.0551009	0.10312	0.111189	0.136622	0.164301	0.17361	0.190438
a30	0.0215304	0.0194927	0.0344766	0.065494	0.0734129	0.111575	0.170178	0.239316	0.264524
a93	0.00261213	0.00210241	0.00364028	0.00911831	0.011673	0.0364092	0.101257	0.316446	0.516742
a0	0.00510418	0.00512346	0.0118296	0.0282983	0.033659	0.0636933	0.144104	0.311757	0.396431
a75	0.000875305	0.000833221	0.00172122	0.00502235	0.00788157	0.0243095	0.0809188	0.289882	0.588556
a93	0.00137053	0.00125675	0.00225152	0.00481114	0.00541081	0.0160614	0.0658751	0.301793	0.60117
a13	0.00125162	0.00120226	0.00263749	0.00685256	0.00877876	0.0224752	0.0731609	0.264574	0.619067
a62	0.000426033	0.000376206	0.000726417	0.00229337	0.00323093	0.0173739	0.0702456	0.282573	0.622755
a83	0.000837188	0.000828345	0.0016902	0.0043238	0.00629826	0.0256331	0.0845611	0.302083	0.573745
a34	0.000866229	0.000753602	0.00130993	0.00360966	0.00543656	0.0300062	0.0989801	0.299062	0.559975
a75	0.000838015	0.000745044	0.00138144	0.00358396	0.00564946	0.0280055	0.0859691	0.293017	0.58081
a34	0.000705554	0.000706603	0.00154357	0.00367203	0.00364286	0.0153192	0.0664237	0.255853	0.652134
a70	0.00109074	0.00100633	0.00211935	0.00574592	0.0077674	0.0328971	0.0893016	0.249497	0.610574
a98	0.000946464	0.000852525	0.00150781	0.00370885	0.00470129	0.0205617	0.0674075	0.245573	0.654741
a7	0.000816471	0.000788122	0.00159955	0.00419196	0.00415814	0.016437	0.0545296	0.214049	0.703431
a26	0.000565811	0.000495231	0.000945767	0.00247168	0.0033412	0.0197506	0.06354	0.23534	0.67355
a30	0.0050579	0.0028531	0.00335141	0.00785525	0.0150414	0.064078	0.123496	0.232829	0.545438
a10	0.0151932	0.0104275	0.0108858	0.018539	0.0309629	0.0797073	0.151181	0.252489	0.430615
a87	0.0211596	0.0198082	0.0260368	0.0369525	0.0496542	0.0937714	0.158182	0.229917	0.364518
a10	0.0330362	0.0303724	0.0376899	0.050984	0.0617134	0.0904023	0.152894	0.231083	0.311824
a87	0.0181237	0.0155147	0.0184732	0.0274585	0.0309313	0.0555961	0.100203	0.286198	0.447501
</S>	0.0190386	0.0156284	0.0163293	0.0227067	0.0261743	0.0486562	0.0851588	0.242345	0.523963
