 	tu	veux	bien	que	je	sorte	</S>
a23	0.477802	0.224289	0.109298	0.0616548	0.0384795	0.040348	0.0481283
a87	0.525009	0.225174	0.119122	0.0653575	0.0245549	0.0166537	0.0241294
a23	0.331067	0.239446	0.154934	0.0907822	0.0535884	0.0497021	0.0804797
a13	0.438307	0.244075	0.109032	0.0442716	0.0276633	0.0424368	0.0942139
a38	0.423942	0.330867	0.157679	0.0484733	0.0134721	0.0118641	0.013703
a56	0.293041	0.331211	0.234184	0.102598	0.0229864	0.00885775	0.00712123
a54	0.243096	0.319033	0.26983	0.124697	0.0253234	0.00899864	0.00902214
a73	0.212593	0.308711	0.246491	0.137516	0.0447065	0.0242229	0.0257595
a2	0.197754	0.279522	0.266719	0.168917	0.0462818	0.0204102	0.0203947
a53	0.115004	0.158435	0.207998	0.205123	0.102936	0.0902231	0.12028
a76	0.0715944	0.123346	0.192438	0.205647	0.129036	0.111324	0.166615
a94	0.156605	0.212103	0.248833	0.200572	0.0877334	0.0488515	0.0453024
a32	0.115855	0.148947	0.218768	0.222312	0.133756	0.0720197	0.0883415
a54	0.110226	0.124953	0.191332	0.22428	0.163019	0.0838857	0.102303
a41	0.11617	0.115969	0.141251	0.177476	0.15037	0.127542	0.171222
a36	0.0836866	0.0785934	0.0953798	0.155431	0.21967	0.168055	0.199184
a41	0.0718434	0.0598128	0.0716693	0.133524	0.221576	0.179096	0.262478
a12	0.0548859	0.0441218	0.0447854	0.0928547	0.208817	0.23189	0.322646
a18	0.060422	0.0469136	0.0425731	0.0790544	0.194962	0.290501	0.285574
a24	0.0451584	0.0326569	0.0291086	0.041499	0.123236	0.277364	0.450977
a88	0.0385546	0.0253097	0.0192591	0.0271419	0.0891237	0.283318	0.517293
a0	0.0594365	0.0373427	0.0291045	0.0346298	0.0871702	0.258401	0.493915
a11	0.0361042	0.0203723	0.0159111	0.0192814	0.0563772	0.260925	0.591029
a90	0.036732	0.0173775	0.0143087	0.0188142	0.0497292	0.244218	0.61882
a13	0.0254731	0.0142902	0.0121635	0.015739	0.0496247	0.266382	0.616327
a58	0.0241785	0.0104799	0.00784556	0.0111319	0.0384791	0.241729	0.666156
a82	0.0165787	0.00632972	0.00523833	0.00905502	0.0332619	0.215379	0.714157
a87	0.0136863	0.00435435	0.00336278	0.00619877	0.0263362	0.156898	0.789164
</S>	0.0079828	0.00285128	0.00210183	0.00477488	0.031278	0.193184	0.757827
