 	okaa	arrache	les	mauvaises	herbes	dans	sa	parcelle	</S>
a23	0.353112	0.189153	0.123857	0.08563	0.0762689	0.0531321	0.0442208	0.0386688	0.0359578
a79	0.452398	0.123452	0.0829355	0.074527	0.0562087	0.0445255	0.0458939	0.058942	0.0611168
a69	0.321494	0.141989	0.108584	0.0891711	0.0600214	0.057069	0.0552711	0.0670723	0.0993279
a58	0.406505	0.16742	0.119632	0.0953133	0.0537563	0.0413246	0.0342477	0.0371093	0.0446917
a82	0.360032	0.169059	0.123083	0.103807	0.0535512	0.036352	0.0410581	0.0501737	0.0628843
a75	0.276924	0.146651	0.113447	0.1003	0.0738214	0.0572763	0.0599168	0.0728851	0.098778
a47	0.082867	0.100907	0.127803	0.138523	0.102868	0.0813732	0.0927815	0.117067	0.155811
a15	0.0948679	0.0904969	0.132142	0.143384	0.103492	0.0823829	0.0964947	0.116968	0.139772
a44	0.116955	0.113502	0.146609	0.150096	0.111997	0.0854569	0.088302	0.0893773	0.0977036
a90	0.112659	0.0971767	0.154645	0.178065	0.129918	0.0820824	0.0807921	0.0822955	0.082366
a75	0.0580052	0.0824909	0.146852	0.168208	0.126687	0.0918161	0.0963477	0.105078	0.124516
a85	0.0284692	0.0480285	0.101336	0.118634	0.111896	0.118412	0.144941	0.157636	0.170646
a37	0.0163226	0.0373083	0.0873572	0.109976	0.115256	0.126435	0.157739	0.172974	0.176633
a62	0.0173157	0.0366039	0.0815439	0.100006	0.118694	0.116897	0.149172	0.169372	0.210396
a75	0.0195939	0.0351031	0.0551951	0.0721266	0.0955829	0.10584	0.147963	0.201776	0.266819
a56	0.00948596	0.0174784	0.0465534	0.0704308	0.0792292	0.0840464	0.136676	0.222047	0.334052
a37	0.00570587	0.0126505	0.028899	0.0418936	0.062226	0.0916658	0.159479	0.249799	0.347681
a11	0.00161421	0.00360503	0.00994956	0.0208686	0.0415428	0.0784212	0.149732	0.276904	0.417363
a70	0.00120575	0.00137656	0.00318119	0.00721371	0.0205142	0.0577754	0.131804	0.287798	0.489131
a62	0.00095832	0.00124885	0.00287606	0.00624159	0.0173794	0.0521683	0.119436	0.278602	0.521089
a0	0.00137982	0.00242103	0.0046233	0.00879019	0.0229874	0.0644964	0.137232	0.280329	0.47774
a47	0.00231709	0.00259148	0.0049009	0.00945877	0.0251021	0.0712249	0.147066	0.275863	0.461476
a61	0.00761015	0.00556538	0.00838337	0.0125905	0.0266534	0.0710146	0.161438	0.280036	0.426709
a43	0.000689598	0.00107964	0.00173827	0.00344195	0.00902639	0.0330717	0.0935215	0.265481	0.59195
a11	0.00336698	0.0028527	0.0031071	0.00567116	0.0125238	0.0399686	0.118062	0.274007	0.540441
a83	0.0103633	0.00922146	0.0096671	0.0150329	0.0282763	0.0720974	0.148204	0.273926	0.433212
a18	0.00377401	0.00322256	0.00405476	0.00751389	0.01466	0.0454496	0.123846	0.285093	0.512386
a9	0.00805683	0.00780516	0.00885683	0.0137296	0.0241369	0.0593835	0.12607	0.256813	0.495147
a87	0.018923	0.0187271	0.0224007	0.0292348	0.0467263	0.0832261	0.131493	0.257755	0.391514
a23	0.0496455	0.0430559	0.0513279	0.0561141	0.0780326	0.106828	0.146278	0.229957	0.238762
a87	0.0192414	0.0262134	0.0363794	0.0544051	0.0736565	0.112687	0.175847	0.260927	0.240643
a23	0.00629665	0.0124525	0.0208618	0.0310476	0.0557169	0.110684	0.190998	0.28256	0.289382
</S>	0.0130641	0.0237162	0.0318056	0.0404989	0.0641087	0.119754	0.189433	0.268033	0.249586
