 	ils	se	boudèrent	longtemps	</S>
a23	0.31739	0.201038	0.197012	0.155187	0.129373
a54	0.472452	0.230308	0.145584	0.0902433	0.0614129
a47	0.477779	0.216271	0.102146	0.0956302	0.108174
a36	0.562589	0.303428	0.069047	0.0352068	0.0297292
a11	0.418	0.318085	0.148133	0.057634	0.0581489
a0	0.468202	0.338263	0.115475	0.0416673	0.0363925
a75	0.341885	0.342216	0.191497	0.0687355	0.0556663
a85	0.221987	0.237227	0.239594	0.148056	0.153136
a47	0.156325	0.202142	0.265398	0.196384	0.179751
a37	0.159128	0.202485	0.282426	0.156316	0.199646
a26	0.251279	0.264445	0.288369	0.097968	0.0979393
a61	0.161272	0.178018	0.325679	0.173804	0.161227
a75	0.139806	0.164501	0.373201	0.190177	0.132315
a25	0.101488	0.120972	0.247776	0.222279	0.307484
a92	0.0929838	0.0980942	0.210098	0.253022	0.345802
a85	0.0655762	0.0735703	0.172783	0.255152	0.432918
a47	0.0454714	0.053949	0.141708	0.244975	0.513896
a36	0.0344755	0.0368742	0.0740975	0.22096	0.633593
a2	0.0335802	0.0349088	0.075736	0.222397	0.633377
a57	0.0343648	0.0316765	0.0622866	0.235181	0.636491
a87	0.0919793	0.0730681	0.104353	0.25012	0.480479
a23	0.174176	0.133017	0.17297	0.294958	0.22488
a97	0.159406	0.110652	0.174029	0.299937	0.255975
a87	0.0918194	0.0860346	0.17665	0.264174	0.381322
</S>	0.100489	0.0872694	0.14328	0.27968	0.389282
