 	cette	jeune	fille	est	encore	mineure	</S>
a66	0.342811	0.258909	0.191102	0.105743	0.0505931	0.0268647	0.023978
a87	0.591659	0.202693	0.0882729	0.0470384	0.031503	0.0194479	0.0193859
a23	0.529064	0.196315	0.0837657	0.0490704	0.0408004	0.0443737	0.056611
a53	0.493675	0.148553	0.080426	0.0572902	0.0471471	0.0553517	0.117557
a79	0.590718	0.217595	0.0874688	0.0477033	0.0229958	0.0166469	0.0168716
a44	0.39457	0.307833	0.145171	0.080526	0.0315012	0.0187981	0.021601
a70	0.21272	0.250096	0.175869	0.140201	0.082347	0.0561392	0.0826276
a4	0.140109	0.197088	0.186878	0.158318	0.113082	0.0896533	0.114871
a90	0.127825	0.185874	0.179659	0.144557	0.103947	0.100651	0.157488
a79	0.126052	0.188901	0.196562	0.15756	0.104594	0.0979723	0.128358
a56	0.106077	0.167586	0.20075	0.156371	0.105878	0.10882	0.15452
a90	0.0774015	0.115664	0.190375	0.171644	0.134099	0.137411	0.173406
a4	0.0754448	0.129602	0.205033	0.186497	0.134064	0.125012	0.144347
a13	0.0509208	0.0775026	0.17348	0.184823	0.161453	0.168755	0.183065
a0	0.02969	0.0396702	0.113542	0.15762	0.168905	0.218747	0.271826
a24	0.0299231	0.0321889	0.072178	0.117915	0.161766	0.238495	0.347534
a88	0.0108392	0.0129578	0.0380922	0.0792523	0.167384	0.273275	0.4182
a0	0.00666934	0.00766152	0.0238346	0.0549254	0.151935	0.304184	0.45079
a24	0.00682628	0.00736224	0.01892	0.0401017	0.125947	0.327606	0.473237
a9	0.00373919	0.00391107	0.0088565	0.0197629	0.0837708	0.322028	0.557932
a87	0.0172931	0.0144669	0.0218979	0.0411096	0.126157	0.346161	0.432915
a23	0.161234	0.089123	0.079083	0.0980607	0.162248	0.203956	0.206295
a87	0.0663236	0.0393914	0.0469864	0.0845475	0.179394	0.252341	0.331017
a97	0.0278149	0.0228865	0.0351123	0.0524265	0.122163	0.283672	0.455925
</S>	0.132834	0.102532	0.114773	0.104929	0.126184	0.178086	0.240661
