 	osombo	et	sa	femme	s'	étaient	mis	d'	accord	pour	aller	au	village	</S>
a66	0.218168	0.113503	0.142634	0.122651	0.0832813	0.0560742	0.0497787	0.0399164	0.0351744	0.0301094	0.0280899	0.0276649	0.0264922	0.0264633
a87	0.135841	0.184785	0.222166	0.159591	0.0778826	0.0436238	0.0294316	0.0218449	0.020194	0.0181493	0.0187902	0.0201176	0.021497	0.0260855
a23	0.600829	0.154891	0.0606184	0.0338439	0.0183952	0.0167009	0.0147916	0.0123509	0.0133418	0.0135582	0.0134154	0.0132927	0.0148444	0.0191262
a57	0.51364	0.151663	0.0635521	0.033396	0.020151	0.0208963	0.0212176	0.0181817	0.0228483	0.0256365	0.0254796	0.0235689	0.0244677	0.0353012
a10	0.486912	0.122383	0.0529028	0.0325637	0.0242192	0.0262598	0.0247268	0.0220442	0.0278645	0.033643	0.0344288	0.0327933	0.0345457	0.0447128
a87	0.316405	0.121575	0.0688631	0.0504423	0.0387735	0.0427111	0.0385902	0.0348858	0.04319	0.0527075	0.0515374	0.0463323	0.0437153	0.0502721
a23	0.437833	0.135005	0.0672255	0.0445693	0.0285301	0.0303638	0.0258956	0.0226864	0.0284814	0.0365709	0.0380607	0.0344933	0.0319571	0.0383277
a79	0.268105	0.124751	0.0809944	0.0665449	0.0460518	0.0472706	0.0416076	0.0370024	0.0415981	0.0454803	0.0463434	0.0443119	0.0467065	0.0632327
a15	0.25915	0.216647	0.150025	0.111012	0.0581122	0.0399329	0.0310191	0.0237975	0.0239873	0.0217888	0.0178384	0.0158856	0.0140656	0.0167387
a20	0.175671	0.175982	0.167269	0.124532	0.077383	0.0578427	0.0467473	0.0376412	0.0358595	0.0268941	0.0180627	0.0186365	0.0171254	0.020353
a25	0.112908	0.143943	0.154611	0.117751	0.0894923	0.0717254	0.0610177	0.0499742	0.0476381	0.0370367	0.0268296	0.0283743	0.0269439	0.0317545
a90	0.0734599	0.132221	0.134108	0.102193	0.0957074	0.0810066	0.072105	0.0560795	0.055791	0.0426463	0.0314439	0.0351962	0.0387785	0.0492641
a25	0.0482581	0.110272	0.118783	0.097282	0.0906273	0.0832734	0.0762169	0.0623106	0.0627188	0.0513656	0.0395146	0.0426719	0.0521909	0.0645149
a79	0.0488327	0.127578	0.132231	0.0860111	0.0834378	0.0801309	0.0803581	0.0621438	0.0625251	0.0460239	0.0346452	0.0387481	0.050673	0.0666609
a98	0.0433711	0.12966	0.145288	0.0981546	0.0877463	0.0755238	0.0700648	0.0529104	0.0523556	0.041872	0.0359431	0.0419277	0.055796	0.0693865
a47	0.0253348	0.11184	0.123729	0.0948161	0.0975376	0.0857654	0.0827054	0.0629845	0.0631938	0.0468041	0.0377213	0.0420346	0.0545159	0.0710178
a79	0.0168058	0.0672406	0.0731453	0.0670782	0.0812921	0.0963761	0.100693	0.082314	0.0824288	0.0603775	0.0461153	0.049413	0.0717942	0.104926
a98	0.0128508	0.0659324	0.0857672	0.0860391	0.0984075	0.102208	0.101282	0.0779514	0.0769531	0.0593613	0.0462732	0.0449907	0.0602634	0.0817198
a47	0.0101446	0.0572267	0.0760244	0.0895452	0.11115	0.110534	0.104641	0.0841832	0.0820986	0.0618429	0.0477171	0.0461507	0.0525139	0.0662272
a73	0.00739854	0.0369418	0.0438614	0.0675119	0.0925908	0.117462	0.104744	0.0791544	0.0736281	0.058543	0.0481511	0.0509007	0.0813718	0.137741
a54	0.00742353	0.0297584	0.0330844	0.0554556	0.0746186	0.118279	0.124519	0.0910579	0.0872051	0.0605182	0.044322	0.0467396	0.0824256	0.144593
a47	0.0046867	0.0197182	0.0271837	0.0551513	0.079165	0.113291	0.102427	0.0744425	0.0710667	0.0619546	0.0584682	0.0647159	0.10604	0.161689
a37	0.0031119	0.0166156	0.0205717	0.0511115	0.0881535	0.131659	0.123227	0.0895491	0.084234	0.0648734	0.0514929	0.0515645	0.0837199	0.140116
a26	0.00747881	0.0169911	0.0136603	0.0278728	0.0465183	0.0948213	0.100279	0.0804697	0.0894378	0.0735117	0.0614813	0.0640814	0.119082	0.204314
a75	0.02895	0.0386863	0.0242671	0.0346364	0.0461076	0.0804485	0.069894	0.056872	0.0581628	0.060118	0.0649034	0.0763678	0.137127	0.22346
a85	0.00312693	0.0074579	0.00637331	0.0132471	0.0257746	0.0573496	0.0566425	0.05283	0.0604148	0.0702449	0.0864341	0.101882	0.176994	0.281228
a92	0.00102002	0.00437914	0.00376583	0.00903854	0.0231796	0.0550473	0.0560829	0.0504725	0.0580001	0.0673304	0.082803	0.104978	0.184821	0.299082
a37	0.000772092	0.00291061	0.00318327	0.00940054	0.0248309	0.0591264	0.0582347	0.0544513	0.0594717	0.0719384	0.0941312	0.125419	0.191692	0.244438
a43	0.00239857	0.00683022	0.00531248	0.0111898	0.0221673	0.0488874	0.0483827	0.0443231	0.0523829	0.0631919	0.0883834	0.1282	0.210526	0.267824
a75	0.00528116	0.0124367	0.0102672	0.0220423	0.0321053	0.0521289	0.0471742	0.0374814	0.0400898	0.0456757	0.0702128	0.110622	0.207849	0.306633
a92	0.000710331	0.00298081	0.00237732	0.0053723	0.0120858	0.0260143	0.0241441	0.0195805	0.0217598	0.0290808	0.0620775	0.123664	0.269494	0.400659
a37	0.000509718	0.00198647	0.00157272	0.00371446	0.00910883	0.0231773	0.0229244	0.0214583	0.0257561	0.0387791	0.0762887	0.139536	0.264832	0.370357
a12	0.0020078	0.00684711	0.00552815	0.0120973	0.0206518	0.0382505	0.0352333	0.0277733	0.0299707	0.0345898	0.0619449	0.116877	0.244784	0.363444
a61	0.00231221	0.00565356	0.00465096	0.0084466	0.0154533	0.0270573	0.0258491	0.02285	0.0247786	0.0330087	0.0640907	0.119909	0.257354	0.388585
a75	0.00263335	0.00633681	0.00513891	0.0104205	0.0172811	0.0280512	0.0258658	0.0214362	0.022377	0.0274865	0.0519027	0.102155	0.254073	0.424842
a98	0.000703739	0.0026963	0.00204152	0.00452377	0.00955716	0.0178513	0.0163798	0.01398	0.0155412	0.0216893	0.050533	0.108334	0.27592	0.460249
a15	0.000386754	0.00162799	0.00111177	0.00244594	0.00567316	0.011685	0.0120441	0.011809	0.0156645	0.0265418	0.0623196	0.116619	0.270179	0.461893
a7	0.00120812	0.00508214	0.00456452	0.00939721	0.0181454	0.0378977	0.0381618	0.0342169	0.0358888	0.0474234	0.0819528	0.126111	0.230459	0.329491
a44	0.00900661	0.0197451	0.0202345	0.034321	0.0426407	0.0522121	0.0473955	0.0384496	0.0391931	0.0386004	0.0588859	0.103253	0.20784	0.288222
a26	0.0306044	0.0451967	0.0439671	0.0594478	0.0716337	0.0753244	0.0756818	0.0611338	0.0587667	0.0510895	0.0570196	0.0752145	0.123921	0.171
a82	0.0795747	0.054143	0.044611	0.0629864	0.0702391	0.0860413	0.0826807	0.0710797	0.0688857	0.0602549	0.0596438	0.0664771	0.0917279	0.101655
a87	0.245703	0.0972518	0.0528607	0.0503965	0.0445364	0.0581094	0.0547603	0.0458459	0.0425158	0.038653	0.046503	0.0575178	0.0782781	0.0870681
a23	0.243238	0.125345	0.0608482	0.0526439	0.0403098	0.0576139	0.0509828	0.0446766	0.0427104	0.0417364	0.0493493	0.0558986	0.0650242	0.0696228
a57	0.0549297	0.0548469	0.0259827	0.0317917	0.0340712	0.069508	0.0635939	0.0611675	0.0618543	0.0679878	0.0865768	0.108179	0.133986	0.145525
a87	0.0340667	0.0436514	0.0227765	0.0366221	0.0456131	0.0946976	0.0910701	0.0754005	0.077433	0.0656623	0.0629591	0.0784273	0.1176	0.15402
a23	0.0262902	0.03377	0.0201158	0.0345037	0.0446911	0.093884	0.0871623	0.0714625	0.0680005	0.0564081	0.0590224	0.0764672	0.133834	0.194388
a38	0.0140806	0.0377489	0.0226648	0.0423755	0.0526936	0.105972	0.0997715	0.086844	0.0883801	0.0709981	0.066578	0.0791521	0.10382	0.128921
</S>	0.0522285	0.0801316	0.050868	0.0622257	0.0631627	0.096238	0.0977484	0.076756	0.0774317	0.05896	0.0535364	0.0609109	0.0740504	0.0957517
