 	il	y	a	beaucoup	de	brouillard	aujourd'	hui	</S>
a75	0.206066	0.137605	0.115331	0.100296	0.107234	0.138806	0.0832275	0.0608081	0.0506262
a83	0.195271	0.143447	0.136215	0.119408	0.102484	0.0809874	0.0660404	0.0680172	0.0881308
a56	0.304257	0.231431	0.196011	0.118856	0.0711026	0.0268654	0.016015	0.0160754	0.0193862
a34	0.362602	0.264767	0.196279	0.0977945	0.0471911	0.0130478	0.00595973	0.00572223	0.00663626
a61	0.331038	0.29378	0.212178	0.0930919	0.0406442	0.0117098	0.00598034	0.00554782	0.00603032
a21	0.266719	0.275354	0.225237	0.124291	0.061584	0.020552	0.00945605	0.00825728	0.00855028
a61	0.226312	0.241113	0.232726	0.15096	0.0832999	0.0272861	0.0138548	0.0120488	0.0123996
a31	0.143597	0.16121	0.191838	0.196961	0.151754	0.0700729	0.0324142	0.0262522	0.0258999
a24	0.0852958	0.0901902	0.117635	0.176235	0.192583	0.145864	0.0782732	0.0583328	0.0555908
a9	0.0822607	0.0657451	0.0748665	0.117891	0.150926	0.158969	0.126189	0.114062	0.10909
a75	0.0326855	0.0260067	0.0315757	0.0547586	0.0776191	0.0967922	0.144944	0.250845	0.284774
a98	0.0280974	0.0244484	0.0291375	0.0466814	0.0843201	0.122413	0.162083	0.204815	0.298005
a15	0.017641	0.0165786	0.0205767	0.0309581	0.058233	0.0960739	0.184439	0.25696	0.31854
a44	0.0151271	0.0115741	0.0139593	0.022253	0.0415767	0.0763646	0.176037	0.272741	0.370367
a57	0.00761471	0.00528918	0.00645699	0.0120362	0.0226646	0.0475084	0.131142	0.291782	0.475506
a10	0.00329976	0.00239903	0.00271784	0.00470109	0.00993459	0.0286113	0.1086	0.294209	0.545527
a9	0.064959	0.0438622	0.0386232	0.0374389	0.0441397	0.0746671	0.150345	0.224211	0.321754
a10	0.181597	0.120145	0.0950196	0.071527	0.0663526	0.0899454	0.120018	0.123131	0.132265
</S>	0.123492	0.0814909	0.0705539	0.0637268	0.0765569	0.113857	0.14903	0.160834	0.160459
