 	tu	feras	attention	à	la	viande	qui	est	sur	le	feu	</S>
a23	0.113148	0.116087	0.221793	0.159231	0.0602644	0.0346709	0.0297721	0.0289908	0.055871	0.0669925	0.060384	0.0527952
a10	0.147136	0.124706	0.248843	0.181895	0.0990644	0.0464338	0.0401554	0.0242107	0.0170108	0.0158096	0.0214677	0.0332684
a87	0.157636	0.138209	0.272982	0.207889	0.106152	0.0355013	0.0229746	0.0119512	0.00857121	0.00784564	0.0110621	0.0192263
a23	0.114969	0.106537	0.204517	0.189468	0.134442	0.0678587	0.0483136	0.0333057	0.0254687	0.0200116	0.0240745	0.0310337
a79	0.158883	0.108487	0.278181	0.21256	0.12682	0.0417963	0.0276654	0.0129203	0.00863236	0.00636499	0.00780966	0.00987948
a76	0.20563	0.169932	0.375367	0.15338	0.0567817	0.0160579	0.006294	0.00313763	0.00234488	0.00263926	0.00377272	0.00466211
a90	0.154645	0.181276	0.24616	0.15653	0.0990196	0.0576493	0.0338018	0.0244638	0.0160299	0.0114249	0.0099117	0.00908779
a58	0.124384	0.157512	0.174058	0.141152	0.128089	0.0921	0.0606208	0.0442086	0.0263562	0.0183923	0.0167177	0.016409
a82	0.127057	0.142712	0.137388	0.105929	0.113008	0.0910177	0.073079	0.0621355	0.0443425	0.0346376	0.0330178	0.0356757
a38	0.133404	0.117084	0.103773	0.0746896	0.0868648	0.0751188	0.0785192	0.0733569	0.0672459	0.0601572	0.0598826	0.0699045
a14	0.0991865	0.0941438	0.0806809	0.0587146	0.0787921	0.0866955	0.0878668	0.0910234	0.0791829	0.0737796	0.0770559	0.092878
a41	0.08941	0.0929615	0.0789051	0.0568762	0.0780354	0.097869	0.102489	0.104503	0.0916952	0.0779747	0.0658615	0.0634192
a94	0.0613067	0.0610545	0.0493146	0.0331516	0.0505402	0.0863852	0.107845	0.133548	0.129197	0.114193	0.0925817	0.0808826
a24	0.0452396	0.0341568	0.0229745	0.0164071	0.0307966	0.0665497	0.11511	0.15086	0.159643	0.146799	0.111863	0.0996
a41	0.0187997	0.0114045	0.00796289	0.0047667	0.00952747	0.0303348	0.0743414	0.130265	0.17578	0.211778	0.179898	0.145141
a96	0.031972	0.0193536	0.0128367	0.00658434	0.0110087	0.0338062	0.0918589	0.144815	0.182667	0.195713	0.147252	0.122133
a54	0.0165014	0.0106875	0.00893685	0.00506015	0.00778917	0.0204966	0.0450351	0.100512	0.161511	0.221617	0.212362	0.189491
a41	0.0273689	0.0137496	0.0150699	0.00781176	0.0101111	0.0224675	0.0426812	0.0876546	0.170888	0.225222	0.198445	0.178531
a12	0.0134502	0.00598795	0.00524788	0.00236273	0.00396657	0.0126597	0.0291209	0.0750113	0.149705	0.227463	0.240161	0.234864
a62	0.00791658	0.00340361	0.00310638	0.00154236	0.00232221	0.00764385	0.0197641	0.0547648	0.122202	0.21187	0.262962	0.302502
a47	0.00984059	0.00439432	0.00435472	0.00193512	0.00249111	0.00695909	0.0151713	0.0394318	0.097207	0.191301	0.271915	0.354999
a98	0.00574802	0.00226547	0.00211074	0.00108646	0.00152789	0.00456209	0.0114929	0.0326335	0.0881902	0.190607	0.283575	0.376201
a11	0.00649418	0.0023078	0.00252485	0.00145327	0.00182386	0.00546629	0.0155112	0.0399691	0.113874	0.228947	0.283173	0.298456
a93	0.00865591	0.00414472	0.0048935	0.00184173	0.00190001	0.00415552	0.00840175	0.0205049	0.0605109	0.171439	0.291732	0.42182
a96	0.00857256	0.00403284	0.0054462	0.00241587	0.00252574	0.00513233	0.00970556	0.0219157	0.0613415	0.163538	0.280317	0.435057
a62	0.00970342	0.00511023	0.0077495	0.00361422	0.00290736	0.0044183	0.00799961	0.017456	0.053028	0.156469	0.289563	0.441982
a41	0.00513103	0.00315087	0.00474717	0.00208308	0.00174827	0.00296839	0.0051681	0.0135567	0.0471112	0.142886	0.283156	0.488294
a44	0.00988653	0.00542771	0.00782298	0.00424078	0.00352869	0.00493304	0.00766553	0.0162601	0.0547442	0.165795	0.29276	0.426935
a57	0.00656238	0.00435993	0.00578468	0.00245116	0.00255979	0.00523417	0.00680536	0.013453	0.0394695	0.130828	0.277173	0.505319
a87	0.00349517	0.00284892	0.00369201	0.00282722	0.00270704	0.00465136	0.00558605	0.00956257	0.0291748	0.108606	0.27315	0.553699
</S>	0.0095576	0.00960124	0.011451	0.015002	0.0178585	0.0235813	0.0248296	0.0361147	0.0862475	0.162206	0.248683	0.354867
