 	il	est	en	train	de	jouer	au	tam-tam	</S>
a57	0.184819	0.183652	0.129464	0.126241	0.120283	0.114882	0.0758238	0.040096	0.02474
a87	0.0924106	0.0715427	0.0784809	0.108221	0.136173	0.184343	0.143442	0.113834	0.0715531
a10	0.163721	0.137	0.115403	0.120183	0.107108	0.114783	0.097284	0.0810011	0.0635174
a99	0.182563	0.169993	0.136081	0.135235	0.109639	0.107105	0.0786283	0.0481876	0.0325683
a97	0.20651	0.166866	0.13077	0.109392	0.0935641	0.0928814	0.0855289	0.0619172	0.0525701
a53	0.203226	0.174521	0.143984	0.125542	0.101746	0.0923035	0.0764203	0.049247	0.0330103
a15	0.209213	0.139282	0.0789065	0.0694129	0.0646301	0.0718459	0.0988893	0.109976	0.157844
a69	0.256788	0.191432	0.0940479	0.0720177	0.0615225	0.0579607	0.0868672	0.0896703	0.0896941
a4	0.321777	0.234765	0.108846	0.0671698	0.0496345	0.0355672	0.0490373	0.0582098	0.074994
a90	0.211831	0.197917	0.127939	0.100612	0.0783956	0.049354	0.0550662	0.0707285	0.108156
a25	0.21025	0.194169	0.142753	0.113783	0.0871121	0.0521235	0.051395	0.0624552	0.085959
a75	0.200367	0.170073	0.12216	0.0996819	0.0867092	0.0618308	0.0667924	0.0878971	0.104489
a85	0.174749	0.140417	0.117295	0.105867	0.101583	0.0766144	0.0754531	0.0899881	0.118034
a26	0.0879749	0.0807395	0.0767338	0.0792487	0.0864317	0.0933056	0.126318	0.172205	0.197043
a75	0.0645997	0.0538984	0.0706225	0.120832	0.136625	0.110895	0.12836	0.150293	0.163873
a5	0.0589544	0.0459804	0.0556368	0.0845557	0.108696	0.104396	0.12857	0.180918	0.232292
a21	0.0500532	0.0390478	0.0409462	0.0560772	0.0791379	0.103293	0.163603	0.229134	0.238707
a96	0.0304559	0.0245813	0.0302413	0.0464743	0.0653467	0.0911666	0.170901	0.262316	0.278517
a44	0.00742011	0.00554612	0.0076887	0.0167758	0.02806	0.0542706	0.154597	0.296347	0.429295
a93	0.00411575	0.00292422	0.0042073	0.0102191	0.0180239	0.0402641	0.134581	0.309634	0.47603
a70	0.00226752	0.00158585	0.00262398	0.00711976	0.0139307	0.0344834	0.12844	0.304573	0.504975
a66	0.000785748	0.00049725	0.000715443	0.0018762	0.00485409	0.0185938	0.101319	0.286356	0.585003
a54	0.00398692	0.00268243	0.00448118	0.0113813	0.0225572	0.0516672	0.128141	0.26957	0.505532
a2	0.000873249	0.00053463	0.000851371	0.00246381	0.00701631	0.0245292	0.0904594	0.237334	0.635938
a57	0.00521036	0.00370794	0.00585904	0.0120885	0.0204302	0.0384648	0.0895451	0.223213	0.601481
a99	0.0279715	0.0184324	0.0199573	0.0300674	0.0436522	0.066229	0.127817	0.253496	0.412377
a87	0.0238787	0.0151476	0.0150937	0.0229016	0.035861	0.0665895	0.157526	0.28667	0.376331
a10	0.0281534	0.018093	0.0222404	0.0454886	0.0719326	0.112024	0.183298	0.246265	0.272505
a97	0.0322034	0.0223121	0.0272399	0.0430861	0.0613385	0.101331	0.186411	0.242018	0.284061
a38	0.0339016	0.0238883	0.0315689	0.0524217	0.0693722	0.103311	0.175272	0.226648	0.283615
a9	0.0363665	0.0184109	0.0193624	0.0315159	0.0444663	0.0627736	0.129469	0.234195	0.42344
</S>	0.0357786	0.0179124	0.0181149	0.0269994	0.0354034	0.0568571	0.115949	0.242017	0.450968
