 	cette	femme	a	aidé	ma	femme	à	accoucher	</S>
a23	0.174437	0.105001	0.0998128	0.169258	0.191003	0.0969774	0.0622108	0.0576741	0.0436259
a87	0.204723	0.133316	0.117529	0.166788	0.160809	0.0608137	0.0431968	0.0622517	0.0505721
a23	0.121776	0.117625	0.123544	0.145873	0.105766	0.0656329	0.0676524	0.0984854	0.153646
a53	0.156795	0.127589	0.101001	0.0821143	0.0607548	0.0369154	0.0689017	0.16124	0.204689
a93	0.253459	0.219069	0.140821	0.0906254	0.0818395	0.0507762	0.0436062	0.0612779	0.0585262
a75	0.205163	0.177048	0.131806	0.0619301	0.0689705	0.0689624	0.110397	0.10987	0.0658533
a90	0.169593	0.157979	0.119728	0.08071	0.0923531	0.089831	0.111487	0.109142	0.0691778
a20	0.148068	0.140346	0.106296	0.0821909	0.0947103	0.0889984	0.11887	0.117926	0.102594
a58	0.149786	0.152835	0.137553	0.0992827	0.104571	0.0962785	0.0838176	0.0839921	0.0918832
a53	0.110483	0.12685	0.120802	0.113629	0.110687	0.0941775	0.0891131	0.0949572	0.139301
a90	0.07016	0.0814588	0.0862548	0.107729	0.0974708	0.111785	0.12425	0.12619	0.194702
a56	0.0587374	0.0775565	0.0966216	0.141532	0.123941	0.134163	0.119925	0.0986679	0.148855
a0	0.0385609	0.0493129	0.0671192	0.130512	0.128052	0.131755	0.131143	0.119677	0.203868
a11	0.0375997	0.0428997	0.0604367	0.149502	0.162393	0.141282	0.115053	0.0959133	0.194921
a66	0.0304766	0.0313042	0.0441602	0.126611	0.15228	0.1717	0.146841	0.106879	0.189747
a54	0.017594	0.0214328	0.031215	0.0861616	0.119493	0.161283	0.153503	0.15212	0.257198
a0	0.0246972	0.0258847	0.0308888	0.060492	0.0693591	0.0923612	0.122631	0.180854	0.392832
a11	0.00924126	0.00985836	0.0137112	0.0390962	0.0473433	0.0761942	0.139763	0.203709	0.461084
a75	0.00538855	0.00623539	0.008452	0.0254177	0.0253871	0.0467298	0.13086	0.254305	0.497224
a41	0.0089084	0.0075808	0.00752454	0.0140523	0.0134564	0.0247258	0.0863072	0.209631	0.627814
a94	0.0071577	0.00597966	0.00605486	0.0144718	0.0146543	0.0304972	0.1203	0.252866	0.548019
a75	0.00516493	0.00450656	0.00524141	0.0109827	0.00955426	0.0179791	0.0603735	0.20647	0.679728
a14	0.011631	0.00885626	0.00847161	0.0166564	0.0153164	0.0275441	0.0887763	0.226894	0.595854
a2	0.0220306	0.0174734	0.0168156	0.0309815	0.025344	0.0377308	0.104939	0.215673	0.529012
a57	0.00148854	0.00161996	0.00193494	0.00574598	0.00608117	0.0161198	0.0715159	0.189381	0.706112
a87	0.0331589	0.017722	0.0189308	0.0400585	0.0439649	0.048915	0.0885	0.175664	0.533086
a23	0.0532152	0.0333858	0.0354284	0.0774395	0.0810967	0.0777818	0.110566	0.195924	0.335163
a87	0.0165827	0.0109135	0.0143354	0.0458289	0.0499953	0.0654771	0.199987	0.270716	0.326164
</S>	0.0101535	0.00755232	0.0105709	0.0286195	0.0320623	0.0414823	0.129252	0.289461	0.450846
