 	il	attend	la	saison	sèche	pour	brûler	son	champ	</S>
a66	0.209889	0.131027	0.123997	0.166938	0.185174	0.117326	0.0406475	0.0115011	0.00748089	0.00601928
a87	0.389774	0.0908348	0.061573	0.0871999	0.114029	0.117611	0.057614	0.0283483	0.0283766	0.0246399
a23	0.4021	0.166715	0.0947382	0.0947116	0.0713563	0.0661597	0.0346098	0.0201659	0.0235379	0.0259059
a13	0.239873	0.114414	0.0701512	0.0745705	0.0714122	0.0797985	0.0711382	0.0777937	0.0995766	0.101272
a53	0.132116	0.115179	0.0928283	0.087153	0.0799523	0.103522	0.107843	0.087482	0.0947085	0.0992162
a54	0.282208	0.183218	0.108081	0.0605313	0.0440792	0.0757116	0.108954	0.0595535	0.0429952	0.0346681
a47	0.160517	0.104712	0.117931	0.07807	0.0607325	0.0796104	0.163506	0.109228	0.0697497	0.0559439
a6	0.0914723	0.0846637	0.110952	0.0647915	0.0468912	0.0797998	0.167767	0.14157	0.112858	0.0992344
a37	0.185889	0.135152	0.150075	0.0886563	0.0561697	0.064438	0.103571	0.0789797	0.0695328	0.0675364
a34	0.186673	0.203617	0.200302	0.133911	0.0719674	0.0431719	0.040331	0.0318746	0.037636	0.0505157
a70	0.170612	0.20835	0.193893	0.15061	0.083702	0.0403707	0.030333	0.0297296	0.0388752	0.0535246
a66	0.0748617	0.148146	0.183204	0.169424	0.12141	0.0698903	0.048304	0.0455209	0.0599285	0.0793105
a61	0.0599549	0.112301	0.144447	0.151114	0.132797	0.0855556	0.0589585	0.0548385	0.0822917	0.117742
a21	0.0458343	0.0970557	0.143279	0.156303	0.165246	0.107592	0.0637984	0.0558953	0.0712921	0.0937033
a12	0.038443	0.0697522	0.0794419	0.0974669	0.156475	0.162448	0.0879431	0.0881085	0.0986565	0.121264
a96	0.0228113	0.0579839	0.0789398	0.0919457	0.157072	0.164689	0.0894892	0.09322	0.108225	0.135625
a94	0.022966	0.0600417	0.0888344	0.0905267	0.144138	0.155036	0.0925287	0.0911465	0.108639	0.146143
a75	0.0205244	0.054256	0.0757187	0.074217	0.111503	0.130869	0.082053	0.106622	0.140408	0.203829
a21	0.010142	0.026337	0.0311075	0.0331521	0.0686976	0.0973662	0.0733289	0.132708	0.20845	0.318711
a5	0.013527	0.0225324	0.0251275	0.0272719	0.0535851	0.0946379	0.0822285	0.144601	0.211124	0.325365
a47	0.00956941	0.0215817	0.0267159	0.0277297	0.0454644	0.0642541	0.0579704	0.121557	0.228266	0.396892
a88	0.00722755	0.018789	0.026311	0.0270298	0.0345147	0.0357326	0.0437725	0.120113	0.252712	0.433798
a83	0.00166027	0.00413927	0.00553768	0.00633644	0.00958939	0.015098	0.0227198	0.0857442	0.287432	0.561743
a75	0.00178423	0.00323158	0.0043556	0.00501914	0.00825503	0.0107516	0.0143424	0.0571812	0.24558	0.649499
a92	0.000928639	0.00213785	0.00266767	0.00303862	0.00544763	0.0110386	0.0249768	0.0829065	0.288517	0.57834
a44	0.0011305	0.00231699	0.00274174	0.00305278	0.00527671	0.0104342	0.0210855	0.072211	0.27143	0.610321
a13	0.00101512	0.0020757	0.00309551	0.00365087	0.00548693	0.0094171	0.0183864	0.0628932	0.259639	0.63434
a38	0.00288592	0.00309085	0.00485132	0.00492683	0.00898249	0.0157964	0.0257581	0.0769104	0.240341	0.616457
a82	0.00480639	0.00397017	0.00639854	0.00618331	0.0134853	0.0245064	0.0369437	0.0909168	0.229328	0.583462
a87	0.174295	0.0640574	0.0565981	0.0433928	0.0723624	0.0776814	0.0599757	0.0763797	0.122214	0.253044
a23	0.296086	0.0784666	0.0645663	0.0733276	0.111099	0.114405	0.049363	0.0480683	0.0692356	0.0953829
a87	0.15788	0.0434628	0.0350113	0.0279244	0.0347772	0.0453985	0.0420152	0.087679	0.194289	0.331563
</S>	0.00947829	0.00452723	0.00557887	0.00458107	0.00788081	0.0164133	0.0271848	0.0944883	0.284234	0.545633
