 	on	a	pris	le	voleur	en	flagrant	délit	</S>
a15	0.467438	0.241317	0.0895707	0.0570403	0.0437266	0.0361337	0.0240742	0.0216803	0.0190195
a66	0.371024	0.196984	0.0913633	0.064752	0.0490264	0.0503536	0.0547208	0.0619553	0.05982
a87	0.458337	0.172931	0.0602432	0.04225	0.0389801	0.0548952	0.0532162	0.0580189	0.0611279
a23	0.480427	0.234866	0.0818948	0.0548872	0.0417276	0.0443611	0.0266651	0.0188348	0.016336
a40	0.368858	0.188619	0.0863475	0.0665534	0.0618385	0.070347	0.0594514	0.0526285	0.0453566
a36	0.367874	0.244519	0.147132	0.0839598	0.046135	0.0432721	0.0290833	0.0217524	0.0162722
a24	0.184853	0.202638	0.18426	0.134174	0.0887906	0.0995837	0.0572539	0.0273739	0.0210724
a31	0.105165	0.145021	0.181715	0.16808	0.123277	0.129082	0.0889998	0.0336076	0.0250521
a61	0.0990609	0.133354	0.170075	0.169232	0.113382	0.127224	0.109825	0.0457065	0.03214
a24	0.0663379	0.0973217	0.154208	0.169603	0.112997	0.140867	0.15753	0.0611558	0.039979
a56	0.0311901	0.0407418	0.0875212	0.153417	0.135081	0.166179	0.197966	0.105757	0.0821466
a96	0.0410812	0.0489838	0.0707726	0.110294	0.115632	0.152632	0.234228	0.136601	0.0897752
a35	0.014818	0.0151646	0.0249345	0.0605403	0.104091	0.150654	0.225384	0.217173	0.187241
a38	0.0129513	0.0108952	0.0158112	0.037224	0.0691321	0.109915	0.178311	0.265521	0.300238
a21	0.00522763	0.00420941	0.00552595	0.0110134	0.0257761	0.0532418	0.0916977	0.253142	0.550166
a5	0.00247812	0.0019373	0.00278435	0.00622912	0.0180909	0.0487684	0.112876	0.276697	0.530138
a18	0.00101541	0.000930174	0.00162633	0.00394773	0.0101746	0.0318316	0.0893031	0.264941	0.59623
a25	0.00175496	0.00168188	0.00312931	0.00687893	0.0160888	0.0404362	0.0883875	0.278559	0.563083
a87	0.0350788	0.0290628	0.0276203	0.0374821	0.0447704	0.0802428	0.130742	0.228133	0.386867
a23	0.368683	0.198967	0.0902573	0.0706571	0.0486135	0.0567371	0.0530097	0.0521481	0.0609269
a87	0.0696767	0.0310472	0.016653	0.0229511	0.0385448	0.0961066	0.122895	0.219783	0.382343
</S>	0.00876762	0.00430167	0.00335728	0.00656759	0.0143667	0.0547581	0.11412	0.288295	0.505467
