 	la	manière	dont	il	doute	de	tout	est	un	manque	de	respect	</S>
a66	0.155709	0.122549	0.0807418	0.0773502	0.0710431	0.0880116	0.102913	0.103786	0.0927056	0.0592522	0.0207917	0.0140588	0.0110886
a87	0.268799	0.165197	0.0992479	0.0663229	0.0762752	0.0666663	0.053451	0.0474183	0.0454851	0.0418013	0.0256212	0.0244452	0.0192697
a23	0.336552	0.238978	0.123864	0.0792594	0.0720289	0.0470405	0.0309992	0.0233023	0.0172434	0.0113714	0.00676116	0.00629278	0.00630683
a87	0.20688	0.21242	0.130605	0.0807878	0.0886498	0.0843352	0.060346	0.0485413	0.0370474	0.0189453	0.0114168	0.0100876	0.00993826
a23	0.184931	0.190581	0.136882	0.0900592	0.0921739	0.0919907	0.0725571	0.0573322	0.0422147	0.0197875	0.00933424	0.00661072	0.00554619
a50	0.163801	0.216193	0.153278	0.0952421	0.0871501	0.077857	0.0543745	0.043649	0.0354467	0.024737	0.0181312	0.0158711	0.0142685
a88	0.142191	0.159245	0.141953	0.15008	0.114803	0.0899501	0.0547446	0.043038	0.0352861	0.0258052	0.0172741	0.0152823	0.0103468
a9	0.148796	0.209976	0.17912	0.163655	0.0946839	0.0537949	0.0363225	0.0299276	0.0256979	0.0211115	0.0147563	0.0135605	0.00859868
a82	0.113988	0.159971	0.13794	0.133677	0.113323	0.070957	0.0513084	0.0486579	0.0480215	0.0440467	0.0298668	0.0270305	0.0212129
a30	0.117351	0.164599	0.118935	0.107689	0.0950134	0.0619233	0.0487136	0.0513658	0.0549577	0.0580326	0.0474848	0.0429537	0.0309802
a4	0.187786	0.217046	0.13333	0.106526	0.0891814	0.0537674	0.0384256	0.0362987	0.0352796	0.0302561	0.0268171	0.0267152	0.0185708
a70	0.106743	0.138939	0.139225	0.154611	0.126076	0.0879463	0.0654912	0.0551081	0.045461	0.0273817	0.0187159	0.0174264	0.0168759
a96	0.0838618	0.112406	0.128698	0.135878	0.132753	0.114183	0.101042	0.0820326	0.0592776	0.0254335	0.0102235	0.00725349	0.00695703
a12	0.0793616	0.0873625	0.105691	0.120288	0.133762	0.131535	0.119797	0.0940978	0.0663358	0.0296791	0.0126027	0.00955864	0.00992993
a31	0.0642417	0.058776	0.0792623	0.0940033	0.0992013	0.143689	0.153311	0.125097	0.0933894	0.0468451	0.0164593	0.0121174	0.0136073
a24	0.0514306	0.0435074	0.0543156	0.0661302	0.0728792	0.132435	0.168629	0.153677	0.125615	0.0699741	0.023718	0.018115	0.019573
a21	0.0241531	0.0190115	0.0250108	0.0330757	0.0579888	0.127265	0.16294	0.159742	0.152533	0.123674	0.0428699	0.0344608	0.037275
a56	0.022515	0.0202769	0.0290932	0.036765	0.046056	0.0877622	0.133525	0.152982	0.161671	0.141805	0.0581079	0.0491417	0.0602984
a96	0.011234	0.00950167	0.0170089	0.0246644	0.0364173	0.10058	0.162086	0.165914	0.159779	0.133093	0.0585538	0.0516081	0.0695592
a94	0.00891283	0.00743377	0.0160123	0.0236981	0.0340374	0.091519	0.163601	0.183632	0.185028	0.135826	0.0535091	0.0443874	0.0524034
a66	0.00622533	0.00480577	0.0111629	0.0188271	0.0296949	0.0840371	0.146171	0.172768	0.177669	0.139023	0.0709184	0.0617478	0.0769499
a70	0.00695948	0.00575964	0.0106728	0.0216106	0.0414894	0.110298	0.148106	0.165456	0.160968	0.136132	0.0734988	0.0529753	0.0660742
a96	0.0086531	0.00838599	0.0148155	0.0273772	0.0456545	0.0983333	0.124251	0.146613	0.150372	0.126585	0.0946676	0.0717083	0.0825838
a75	0.00693436	0.00571464	0.010633	0.0204162	0.0318176	0.084036	0.109045	0.129414	0.136344	0.120194	0.108318	0.105555	0.131578
a92	0.00239674	0.0018958	0.00463286	0.00793098	0.00948268	0.0192543	0.0336486	0.0465109	0.0572042	0.0732579	0.150352	0.278501	0.314932
a90	0.00181951	0.00154237	0.00374133	0.00621687	0.00699918	0.0124404	0.0200052	0.0276192	0.0356552	0.0531326	0.16187	0.318875	0.350083
a69	0.00249842	0.00227957	0.00598624	0.0100754	0.0140048	0.0260078	0.0347919	0.0398007	0.0447314	0.0636714	0.185492	0.277018	0.293642
a58	0.00422439	0.00367229	0.00694981	0.0116191	0.0208245	0.0356601	0.034684	0.0338909	0.0347421	0.0504816	0.18269	0.288489	0.292072
a90	0.037498	0.031063	0.0370377	0.0542095	0.0691478	0.0683445	0.0513237	0.045309	0.045413	0.0457997	0.0913601	0.176837	0.246657
a69	0.00306853	0.00237058	0.00440282	0.00665981	0.00930616	0.0152562	0.0146019	0.0147818	0.0173947	0.0301748	0.141432	0.315654	0.424896
a58	0.00155155	0.00113677	0.00211665	0.003648	0.00532318	0.00936069	0.00866292	0.00855877	0.00993567	0.0184024	0.115474	0.341128	0.474701
a62	0.0134533	0.00928035	0.00994605	0.0135434	0.0166932	0.0176816	0.0116791	0.00818799	0.00669825	0.0120857	0.0784217	0.291672	0.510658
a47	0.00264943	0.00160462	0.00248059	0.00382552	0.00503102	0.00948622	0.00662402	0.00544669	0.00512777	0.0122506	0.0936665	0.309797	0.54201
a88	0.00210722	0.00124978	0.00193262	0.0032845	0.00384021	0.00754252	0.00541606	0.00453701	0.00426359	0.00969632	0.0757812	0.326671	0.553678
a62	0.00119246	0.000763796	0.00120852	0.00200668	0.00238502	0.00481987	0.00344469	0.00284299	0.00251369	0.00556628	0.0540703	0.304422	0.614763
a88	0.00276021	0.00182459	0.00271815	0.00490602	0.00538807	0.0103575	0.00791381	0.00679139	0.00556307	0.0122248	0.0880272	0.328525	0.523
a75	0.00298832	0.00230537	0.00329065	0.00602032	0.00623041	0.0108335	0.00855088	0.00746934	0.00627612	0.0127385	0.089733	0.336025	0.507539
a5	0.000282626	0.000169252	0.000238931	0.000309209	0.000491474	0.000825364	0.000977416	0.000984769	0.00105621	0.00399268	0.0434665	0.289001	0.658204
a37	0.000600675	0.000374362	0.000489255	0.000727465	0.000814414	0.00105511	0.00114901	0.00117834	0.00117486	0.00318319	0.0358963	0.278745	0.674612
a62	0.000745603	0.00052597	0.000741739	0.00114831	0.00130188	0.00236197	0.00227363	0.0020396	0.00181266	0.00505013	0.0601958	0.320476	0.601327
a88	0.00132563	0.000848179	0.00129744	0.00227195	0.00271532	0.00467663	0.00466361	0.00450383	0.00423087	0.00886037	0.0632163	0.308858	0.592532
a71	0.00183468	0.0013134	0.00185779	0.00346099	0.0042996	0.00679105	0.00559209	0.00480319	0.00434997	0.00982876	0.0691989	0.318435	0.568235
a38	0.0215909	0.0187778	0.024737	0.0336366	0.0330061	0.0308966	0.0235262	0.0190419	0.016711	0.0294393	0.0989729	0.271715	0.377949
a36	0.0253473	0.0189542	0.0240741	0.0317648	0.0364723	0.0319733	0.0260605	0.0199909	0.0157464	0.0253191	0.0809083	0.247189	0.4162
a2	0.0182255	0.0124761	0.015644	0.0227793	0.0307426	0.0254238	0.0194055	0.0141539	0.0113005	0.020765	0.0795815	0.264908	0.464594
a57	0.0598919	0.0396001	0.0382164	0.0411215	0.0531978	0.0340578	0.0275663	0.0218553	0.0190134	0.0257921	0.0893292	0.240043	0.310315
a87	0.2338	0.151466	0.0736718	0.0538228	0.0620329	0.0385011	0.026448	0.0207367	0.0183444	0.0213333	0.0534564	0.119568	0.126818
</S>	0.225256	0.168785	0.0903861	0.0640533	0.0787466	0.0472019	0.0305214	0.026478	0.0243803	0.0225413	0.0356337	0.0879981	0.0980186
