 	a	combien	tu	as	payé	le	passage	du	fleuve	</S>
a15	0.355925	0.235015	0.157641	0.0822543	0.06878	0.0405604	0.0164268	0.0197752	0.0129933	0.0106294
a66	0.361343	0.225303	0.142015	0.0873551	0.059111	0.0481444	0.0232274	0.0243193	0.0156368	0.0135457
a87	0.323053	0.238736	0.115693	0.0816744	0.0509544	0.0466917	0.0475757	0.0390564	0.032546	0.0240194
a23	0.266038	0.274482	0.18317	0.102304	0.0707346	0.0515834	0.0236885	0.0122467	0.00924612	0.00650682
a83	0.274495	0.309047	0.169773	0.0853983	0.0527928	0.047274	0.0270027	0.0111602	0.011259	0.0117979
a56	0.148225	0.126673	0.0859938	0.0682653	0.0625251	0.0808019	0.138457	0.112007	0.0974725	0.0795795
a70	0.27132	0.231584	0.151295	0.091843	0.0705181	0.0846036	0.0581906	0.0183353	0.0121808	0.0101297
a35	0.156649	0.165934	0.142457	0.135408	0.108993	0.149274	0.0827501	0.0277912	0.0172732	0.0134701
a70	0.120293	0.115256	0.104538	0.113846	0.11777	0.188701	0.139804	0.0410952	0.0300697	0.0286278
a90	0.0696876	0.0635284	0.0593595	0.0912489	0.114352	0.233631	0.220741	0.0668734	0.0460179	0.034561
a4	0.0419758	0.0336545	0.0328488	0.0490403	0.0699215	0.158427	0.262055	0.159686	0.117015	0.0753764
a58	0.0404725	0.031216	0.031313	0.0379038	0.0559244	0.0854563	0.195415	0.261978	0.174486	0.0858357
a90	0.0111437	0.0110843	0.0115667	0.0148141	0.024131	0.0377004	0.107386	0.285098	0.322276	0.1748
a98	0.00986842	0.00820281	0.00788074	0.0077315	0.0110853	0.013855	0.0541413	0.307761	0.374805	0.204669
a21	0.00630642	0.00369633	0.00378354	0.00330389	0.00623013	0.00980235	0.046983	0.24181	0.378865	0.299219
a12	0.00755165	0.00399301	0.00329778	0.00252297	0.00493644	0.00682391	0.0390866	0.160167	0.342214	0.429407
a18	0.0072479	0.00355338	0.00283501	0.00206755	0.00412071	0.00623152	0.0323614	0.12542	0.29069	0.525473
a25	0.00862613	0.00403567	0.00218342	0.0020081	0.00384009	0.00747261	0.0381333	0.108856	0.277505	0.547339
a82	0.123383	0.0732365	0.0483609	0.0402943	0.0595172	0.0567677	0.0647037	0.0738806	0.142881	0.316974
a87	0.31072	0.260166	0.140247	0.092051	0.0656972	0.0412879	0.0272104	0.0175427	0.0194033	0.025675
</S>	0.245658	0.261347	0.16404	0.109379	0.0860425	0.0578626	0.0322027	0.0148672	0.0139362	0.0146647
