 	les	mangues	immatures	provoquent	la	dysenterie	</S>
a10	0.254248	0.200948	0.168827	0.155439	0.105721	0.064654	0.0501623
a62	0.0559272	0.0993801	0.171678	0.229181	0.165246	0.178764	0.0998238
a88	0.184717	0.189132	0.168883	0.165456	0.103253	0.0994543	0.0891056
a43	0.523492	0.235522	0.1183	0.0576113	0.0290345	0.0204103	0.0156299
a75	0.499207	0.196795	0.124436	0.0782845	0.0470462	0.0315338	0.0226976
a34	0.51022	0.18913	0.12387	0.0694943	0.0443071	0.0353462	0.0276324
a70	0.547375	0.191282	0.11984	0.0570762	0.0354026	0.026641	0.0223836
a98	0.270767	0.204115	0.1726	0.125861	0.0857512	0.0759361	0.0649697
a37	0.25003	0.226738	0.1841	0.123186	0.075022	0.071858	0.0690652
a85	0.138809	0.186767	0.195496	0.174895	0.111836	0.100397	0.0918011
a61	0.0862056	0.128513	0.153389	0.163989	0.138832	0.168986	0.160086
a47	0.0579184	0.0970822	0.145936	0.182949	0.151957	0.186689	0.177468
a83	0.037804	0.054024	0.0840925	0.12113	0.151799	0.247797	0.303354
a62	0.0104705	0.019675	0.0465208	0.0903468	0.149558	0.292295	0.391133
a31	0.00745053	0.0144062	0.0341994	0.0699322	0.136552	0.310565	0.426895
a83	0.00491289	0.0114864	0.0331292	0.0654208	0.133755	0.300978	0.450317
a9	0.00349572	0.00796487	0.01981	0.0486304	0.134042	0.277506	0.508551
a38	0.00534356	0.0127461	0.030914	0.077201	0.166096	0.275602	0.432098
a47	0.00170288	0.00446326	0.0129204	0.0396984	0.109652	0.304495	0.527068
a62	0.00155994	0.0041621	0.0116798	0.0372652	0.104587	0.292708	0.548038
a24	0.00162423	0.00410938	0.00951466	0.0313598	0.097802	0.254058	0.601532
a62	0.00248481	0.00530733	0.0117632	0.0374758	0.112498	0.254686	0.575785
a21	0.00385726	0.00720654	0.0153174	0.0415686	0.114245	0.278662	0.539142
a41	0.0051602	0.00897725	0.0168405	0.0420756	0.110408	0.259077	0.557461
a6	0.00684836	0.0119864	0.0220351	0.0448799	0.111419	0.22734	0.575492
a36	0.00409045	0.00788813	0.0163856	0.0358623	0.0976297	0.236179	0.601965
a26	0.00502376	0.00984447	0.0209682	0.0476579	0.108936	0.247801	0.559768
a97	0.0240125	0.0328331	0.054345	0.0980711	0.143927	0.263811	0.383001
a10	0.0371828	0.0409899	0.0741085	0.121867	0.168523	0.26433	0.292999
a87	0.0261383	0.0355915	0.0848623	0.131645	0.16296	0.266563	0.29224
a38	0.0234219	0.033588	0.0798321	0.114066	0.149799	0.267827	0.331466
a97	0.0247883	0.0300934	0.0584523	0.0875177	0.130212	0.249479	0.419458
a57	0.0144	0.0245365	0.0533382	0.0878209	0.120606	0.258857	0.440442
</S>	0.0243577	0.0346914	0.0663613	0.0938536	0.127282	0.247816	0.405639
