 	onduma	a	commis	l'	adultère	</S>
a87	0.468457	0.153098	0.102866	0.108011	0.101247	0.0663208
a23	0.575444	0.222354	0.107888	0.0496917	0.0237944	0.020829
a93	0.3854	0.179058	0.125354	0.100546	0.0926693	0.116973
a70	0.55913	0.172703	0.083737	0.06377	0.06542	0.0552398
a44	0.399313	0.331908	0.153256	0.065284	0.0302372	0.0200016
a34	0.298753	0.314176	0.211796	0.0964524	0.0500691	0.0287533
a56	0.238417	0.300765	0.275084	0.112675	0.047334	0.0257247
a70	0.268999	0.308511	0.249233	0.10198	0.042211	0.0290653
a96	0.226132	0.252874	0.223559	0.139646	0.0831475	0.0746423
a98	0.251383	0.245684	0.195626	0.142778	0.0852918	0.0792366
a44	0.233363	0.185038	0.175621	0.173215	0.129149	0.103615
a66	0.203892	0.181294	0.18935	0.179954	0.131272	0.114237
a61	0.0861505	0.109633	0.141161	0.181876	0.235624	0.245555
a47	0.114707	0.0894176	0.132907	0.232369	0.235326	0.195274
a88	0.117579	0.0887708	0.126005	0.221079	0.254782	0.191784
a24	0.0448761	0.0341651	0.0534977	0.133536	0.342542	0.391383
a83	0.0140485	0.0125275	0.0225063	0.0739665	0.345819	0.531132
a13	0.00488637	0.00451682	0.0122743	0.0628793	0.344827	0.570616
a90	0.00299889	0.0033912	0.0103216	0.0506581	0.311703	0.620928
a92	0.00101719	0.0012208	0.00433531	0.0310482	0.296196	0.666182
a11	0.00136917	0.0016353	0.00511381	0.0308808	0.264775	0.696226
a10	0.000260144	0.000367361	0.00193111	0.0190616	0.229447	0.748933
a87	0.00957382	0.00565896	0.0147373	0.0563849	0.279178	0.634467
a23	0.145732	0.0877246	0.0731478	0.110205	0.221403	0.361788
a87	0.0305321	0.0216092	0.0276815	0.0774909	0.333666	0.509021
</S>	0.00537948	0.00430262	0.0115364	0.0617012	0.32536	0.59172
