 	la	manière	dont	il	ressemble	à	son	père	est	extraordinaire	</S>
a66	0.163708	0.102472	0.0621918	0.0784009	0.0990776	0.145186	0.126705	0.126629	0.0622552	0.0215541	0.0118195
a87	0.253378	0.141584	0.108628	0.0741563	0.106756	0.101132	0.0624262	0.0546188	0.0433398	0.0257064	0.0282757
a23	0.330467	0.19178	0.108937	0.0672164	0.0788134	0.0720471	0.0485442	0.0375017	0.0259258	0.0150483	0.0237192
a87	0.232428	0.212752	0.12583	0.096229	0.126728	0.0983648	0.0471571	0.0264633	0.0155507	0.00897653	0.00952022
a10	0.261711	0.238247	0.12359	0.0834306	0.107854	0.0836372	0.0410541	0.0251858	0.0143897	0.0101919	0.0107079
a87	0.225825	0.237421	0.128998	0.0844388	0.114618	0.0795501	0.0407355	0.0305929	0.0244034	0.018727	0.0146902
a23	0.255469	0.202516	0.104507	0.0767652	0.0986521	0.0844881	0.0581841	0.0476221	0.0328788	0.0231931	0.015724
a62	0.192102	0.210339	0.113935	0.0883621	0.118139	0.0730198	0.0440728	0.0435194	0.0510005	0.0417698	0.0237413
a47	0.233744	0.267468	0.143574	0.0894937	0.119594	0.0594049	0.0285968	0.0220122	0.0176466	0.0113982	0.00706682
a61	0.190309	0.227618	0.159105	0.105912	0.127377	0.0729196	0.0341993	0.0246908	0.0243829	0.0200591	0.0134272
a43	0.134723	0.195522	0.165367	0.103389	0.160755	0.105869	0.053798	0.035364	0.0229071	0.0143878	0.00791834
a56	0.131757	0.157569	0.142395	0.107986	0.178761	0.121799	0.0638278	0.0381241	0.0264741	0.0189932	0.0123152
a61	0.0940393	0.103611	0.127289	0.111621	0.181772	0.152276	0.0988499	0.06462	0.0373717	0.0182381	0.0103118
a21	0.0915003	0.0882311	0.121959	0.129149	0.168189	0.153915	0.108141	0.0686903	0.0364874	0.0202369	0.0135008
a12	0.0790651	0.0706196	0.111131	0.125429	0.148335	0.147255	0.121791	0.101237	0.0535069	0.0245205	0.0171095
a56	0.0330301	0.0329626	0.0727646	0.122712	0.151211	0.173294	0.148386	0.121204	0.0705777	0.0382633	0.0355953
a94	0.026629	0.0261577	0.0632925	0.116948	0.146234	0.187442	0.167636	0.121822	0.0618653	0.037776	0.0441977
a75	0.0206937	0.0163073	0.0358758	0.0791766	0.0949128	0.185178	0.221748	0.156935	0.0787765	0.0413206	0.069075
a98	0.0131242	0.0112197	0.0242301	0.0539475	0.0534487	0.104354	0.134785	0.135392	0.121547	0.152469	0.195482
a85	0.00775615	0.00671893	0.01605	0.0492291	0.0430049	0.0795001	0.0893534	0.0884476	0.105732	0.231442	0.282765
a47	0.0096967	0.00903728	0.0190348	0.0463119	0.039952	0.0734572	0.0946397	0.0956893	0.105665	0.203576	0.30294
a36	0.0121748	0.0100833	0.019384	0.0400408	0.0311769	0.0571683	0.0881451	0.0882897	0.0972046	0.188093	0.368239
a85	0.014873	0.0124598	0.0170443	0.0315323	0.038722	0.0707148	0.123093	0.145775	0.122503	0.146087	0.277196
a47	0.00616682	0.00474547	0.00873251	0.0165675	0.0145167	0.0225043	0.040042	0.0603591	0.087228	0.2538	0.485337
a36	0.00877301	0.00640078	0.0121667	0.0231954	0.0187488	0.0263536	0.0448969	0.06925	0.10552	0.217168	0.467527
