 	mbongo	avait	retrouvé	les	objets	disparus	sous	le	lit	</S>
a66	0.129779	0.131586	0.194651	0.215321	0.176592	0.08012	0.0356842	0.0163531	0.0102141	0.0096996
a87	0.402297	0.199679	0.101883	0.0428296	0.0339923	0.030996	0.0382663	0.0383514	0.0437255	0.0679798
a23	0.53675	0.182181	0.0867809	0.0570759	0.0394092	0.0174709	0.00872887	0.0120724	0.0207226	0.0388089
a99	0.576671	0.204395	0.0746092	0.0446505	0.0357309	0.0161981	0.00573804	0.0065397	0.0116159	0.0238518
a18	0.415974	0.214362	0.11278	0.093715	0.065525	0.0195819	0.01052	0.014429	0.0205521	0.0325612
a53	0.384777	0.220768	0.169613	0.0951568	0.0456887	0.0126187	0.00841913	0.0134297	0.0190069	0.0305227
a44	0.386067	0.25443	0.17765	0.0751985	0.044618	0.014798	0.00936825	0.0100976	0.010086	0.0176873
a70	0.272044	0.246281	0.185693	0.101115	0.0695809	0.0286862	0.0219635	0.0210135	0.0202109	0.0334117
a54	0.186171	0.20405	0.173882	0.140703	0.120881	0.0539902	0.0321045	0.0261367	0.0260373	0.0360448
a79	0.105348	0.156839	0.178374	0.123325	0.11051	0.0838079	0.0536707	0.0474054	0.057195	0.0835254
a7	0.0757128	0.136555	0.189127	0.156456	0.155367	0.107387	0.0445635	0.0346899	0.0430029	0.0571377
a44	0.0931068	0.148027	0.178421	0.173277	0.165901	0.08795	0.03389	0.0277665	0.0391919	0.0524689
a96	0.0677088	0.12466	0.16996	0.180022	0.184776	0.114899	0.038214	0.0280359	0.0392356	0.0524884
a35	0.0458777	0.0877304	0.138127	0.17774	0.205887	0.150812	0.0516875	0.0359842	0.0463122	0.0598416
a75	0.0206851	0.0428233	0.0949611	0.154051	0.208183	0.195199	0.0695231	0.0466869	0.06946	0.0984282
a85	0.00991378	0.0269842	0.0764994	0.116402	0.192616	0.196936	0.102681	0.0699223	0.092058	0.115987
a37	0.00940901	0.0267418	0.0717461	0.107449	0.201845	0.216182	0.103556	0.0722333	0.0863867	0.104451
a21	0.0120741	0.026374	0.0681961	0.136832	0.212146	0.252017	0.0973268	0.0488365	0.0614456	0.0847519
a5	0.0106213	0.0176635	0.0351752	0.0908268	0.157037	0.309687	0.14238	0.0667014	0.0731162	0.0967915
a37	0.00598194	0.0107598	0.0197674	0.0571254	0.136769	0.309813	0.137704	0.0789178	0.0982197	0.144942
a85	0.00569142	0.00987018	0.0210558	0.0574274	0.120173	0.275515	0.123599	0.0777196	0.11836	0.190588
a92	0.00270682	0.004666	0.00892368	0.0211471	0.0583019	0.184851	0.134473	0.118113	0.190082	0.276736
a21	0.00407991	0.00674601	0.0113572	0.0265903	0.0680499	0.182844	0.145261	0.115978	0.174668	0.264425
a47	0.00343803	0.00510893	0.00876637	0.0208726	0.0505397	0.189732	0.200392	0.144344	0.165065	0.211741
a96	0.00621711	0.0109943	0.0173487	0.0410661	0.0858704	0.221399	0.167065	0.122432	0.140018	0.187589
a93	0.00336842	0.0056005	0.00868603	0.0195629	0.0435999	0.17176	0.160188	0.143561	0.179162	0.264511
a70	0.00233086	0.00380316	0.00626034	0.0141733	0.031875	0.140425	0.169036	0.173948	0.204415	0.253733
a11	0.00221653	0.00327878	0.00447082	0.00949742	0.020781	0.0982732	0.128538	0.164148	0.244839	0.323957
a93	0.00148542	0.00217242	0.00377743	0.00592618	0.00787672	0.05028	0.0532032	0.112386	0.291773	0.471119
a13	0.00106327	0.00162197	0.00271497	0.0049147	0.00999901	0.0693604	0.0804841	0.137254	0.277913	0.414675
a62	0.000917419	0.00120674	0.00171322	0.0025307	0.00351894	0.0307661	0.0457201	0.113971	0.322524	0.477132
a88	0.000618842	0.000874271	0.00148899	0.00214955	0.00291179	0.0252237	0.0360985	0.0889665	0.310441	0.531227
a9	0.00030479	0.000403996	0.000695949	0.000944992	0.00113344	0.0138725	0.0226386	0.0620746	0.285989	0.611942
a87	0.0035526	0.00366035	0.00499029	0.00626961	0.00641939	0.0298007	0.0374093	0.092986	0.314478	0.500434
a23	0.0252234	0.0228881	0.0302382	0.0302891	0.0297961	0.0795437	0.0970414	0.169371	0.249836	0.265773
a97	0.0132712	0.00720924	0.00887488	0.0049238	0.00613161	0.0403171	0.0752557	0.154053	0.301993	0.387971
a87	0.0122003	0.00839399	0.0139441	0.0128255	0.0184072	0.0605452	0.0748054	0.12036	0.288427	0.39009
a23	0.0809986	0.0355305	0.0500313	0.0411819	0.0477343	0.102187	0.0821915	0.103059	0.191485	0.265602
a87	0.0513201	0.0244906	0.0284695	0.0183057	0.026195	0.0773468	0.0753824	0.119826	0.235037	0.343627
</S>	0.0221333	0.0141017	0.0202914	0.0160875	0.0233379	0.0570022	0.0523984	0.0939212	0.258204	0.442522
