 	mange	d'	abord	tu	partiras	ensuite	</S>
a23	0.400065	0.217009	0.109236	0.0801665	0.070943	0.059364	0.063216
a38	0.258843	0.167327	0.150799	0.10456	0.117728	0.0898076	0.110935
a30	0.273404	0.294272	0.191772	0.13513	0.0526862	0.0252007	0.027535
a35	0.244708	0.315206	0.219168	0.115623	0.0509233	0.0315291	0.0228424
a38	0.259737	0.333133	0.216845	0.0919454	0.0473937	0.0338871	0.0170596
a76	0.173171	0.296567	0.244031	0.121182	0.0771695	0.0566309	0.0312494
a90	0.0909158	0.178745	0.195655	0.172585	0.152859	0.126192	0.0830483
a38	0.0951755	0.16955	0.188937	0.179993	0.155223	0.121041	0.0900805
a30	0.0507599	0.121218	0.182809	0.20457	0.19098	0.131982	0.117681
a73	0.0315486	0.0805316	0.177836	0.212934	0.212343	0.148396	0.136411
a57	0.0121992	0.0276701	0.109506	0.206934	0.25575	0.200269	0.187671
a76	0.0187039	0.0378897	0.126657	0.217016	0.233514	0.175489	0.19073
a90	0.0449428	0.0749067	0.136787	0.217554	0.187687	0.150389	0.187734
a38	0.0707039	0.0828318	0.100221	0.218971	0.19851	0.160346	0.168417
a76	0.0248979	0.0414694	0.0792825	0.192674	0.227603	0.19018	0.243893
a73	0.0406061	0.0621417	0.0850997	0.158855	0.186867	0.192586	0.273845
a57	0.0153963	0.0282797	0.0650524	0.148293	0.213627	0.233107	0.296246
a87	0.00935737	0.0152373	0.0273448	0.0894641	0.207368	0.221209	0.430019
</S>	0.0219797	0.019903	0.0282339	0.0687672	0.143198	0.212098	0.50582
