 	où	la	chèvre	est	attachée	il	faut	qu'	elle	broute	</S>
a23	0.276585	0.16341	0.123553	0.117868	0.0856776	0.0760134	0.0639277	0.0362688	0.0230983	0.0187135	0.0148844
a66	0.355617	0.241922	0.175803	0.0843874	0.0238721	0.0219373	0.0245794	0.0164058	0.0167015	0.0191403	0.0196337
a25	0.209912	0.179259	0.197452	0.103367	0.0432388	0.0341209	0.0339229	0.0286216	0.0392006	0.0532839	0.0776221
a53	0.216518	0.21477	0.227341	0.109787	0.0421271	0.0318255	0.0249632	0.0194617	0.0240896	0.0370348	0.0520815
a54	0.237875	0.22789	0.16555	0.104008	0.0581904	0.04668	0.042891	0.02467	0.0256293	0.0342645	0.0323518
a35	0.243233	0.255064	0.196697	0.109571	0.054873	0.0390212	0.032081	0.0183681	0.0173726	0.0175432	0.016175
a43	0.212495	0.216969	0.194578	0.120163	0.0656433	0.0565605	0.0414049	0.0239999	0.0223199	0.0227794	0.0230879
a38	0.222274	0.220046	0.185649	0.11547	0.0761916	0.0647286	0.04303	0.0237504	0.0184453	0.015145	0.0152706
a14	0.169986	0.182269	0.169793	0.129571	0.0998732	0.0808816	0.0505382	0.0333855	0.0301141	0.0259281	0.0276603
a41	0.130616	0.134187	0.129863	0.126347	0.12207	0.125528	0.0867813	0.0520976	0.0368416	0.0276869	0.0279818
a26	0.0986884	0.110867	0.124154	0.122707	0.119185	0.13922	0.103245	0.0668851	0.0479999	0.0341847	0.0328654
a35	0.0848476	0.0981461	0.125194	0.12656	0.115581	0.139185	0.10247	0.0657666	0.0524049	0.0432014	0.046642
a25	0.0832765	0.0880742	0.113554	0.116632	0.112633	0.130172	0.105885	0.0805337	0.069571	0.0532574	0.0464107
a94	0.0481418	0.0521077	0.0850024	0.111779	0.125554	0.15161	0.123089	0.0943904	0.0822694	0.0690921	0.0569641
a58	0.0432448	0.0486123	0.0903829	0.13145	0.139012	0.170651	0.12799	0.0790373	0.0601747	0.0581774	0.0512673
a40	0.0432712	0.0482692	0.081698	0.116851	0.125398	0.164729	0.144336	0.0907994	0.0652454	0.0638719	0.05553
a41	0.0411022	0.044258	0.0550288	0.093364	0.105543	0.133041	0.110335	0.0881217	0.0907457	0.125473	0.112988
a26	0.0586976	0.0684505	0.0815462	0.106726	0.101928	0.108237	0.0974535	0.0801033	0.0857423	0.103129	0.107987
a35	0.0429246	0.0511812	0.0651004	0.0832159	0.0829967	0.0969583	0.102158	0.0841773	0.091126	0.143324	0.156838
a2	0.0561687	0.0607446	0.0641439	0.0804797	0.087072	0.109281	0.11701	0.09255	0.0827649	0.12025	0.129534
a75	0.0573381	0.0606255	0.0631319	0.0711888	0.0610623	0.072967	0.0956309	0.0813522	0.0847743	0.167535	0.184394
a41	0.0274832	0.0332528	0.0359834	0.0413188	0.0481488	0.0666356	0.0803589	0.0848305	0.0967929	0.230891	0.254304
a94	0.034385	0.0337863	0.0326365	0.0421759	0.046664	0.0553027	0.0789595	0.0889513	0.107058	0.212036	0.268045
a75	0.0209053	0.0203225	0.0207358	0.0249918	0.0246106	0.0269427	0.0392505	0.0571152	0.102306	0.292985	0.369834
a14	0.018468	0.018087	0.0173526	0.0225751	0.0282092	0.0345751	0.048163	0.0721329	0.117906	0.275479	0.347052
a41	0.0329419	0.0272635	0.023115	0.0275949	0.0297806	0.0343734	0.0549399	0.0702491	0.107875	0.256125	0.335742
a76	0.036719	0.027895	0.0219225	0.0243556	0.026661	0.032782	0.0514458	0.0637358	0.100697	0.256101	0.357686
a94	0.0427925	0.0317264	0.0246109	0.0300663	0.0341565	0.0455375	0.0718847	0.0829142	0.113273	0.240842	0.282196
a84	0.0107244	0.00801441	0.00760382	0.00856954	0.00821643	0.0100903	0.0182904	0.033981	0.0840874	0.326181	0.484241
a38	0.0234758	0.0185789	0.0141887	0.0165576	0.0144741	0.0165851	0.0294554	0.0489134	0.0984604	0.331259	0.388052
a47	0.0332636	0.0274697	0.0261122	0.0236468	0.0113119	0.0115485	0.0247452	0.0434222	0.10039	0.326589	0.371501
a62	0.00653574	0.00469093	0.00505364	0.00569251	0.00431441	0.00555665	0.0136667	0.0334744	0.093498	0.343164	0.484353
a83	0.00649407	0.00532653	0.00617247	0.00554903	0.0043753	0.00541046	0.0120934	0.0306005	0.0860202	0.302455	0.535503
a9	0.0092856	0.00701696	0.00755126	0.00757358	0.00554391	0.00717157	0.0157832	0.0399631	0.107408	0.327957	0.464746
a87	0.0141549	0.0103225	0.00991232	0.0120576	0.00936839	0.0118123	0.0214342	0.0428668	0.110897	0.326566	0.430608
a23	0.01138	0.00871517	0.00768907	0.00880015	0.00884496	0.0107891	0.0212061	0.0442697	0.115937	0.31652	0.445848
a13	0.0186067	0.0137457	0.0103064	0.0130742	0.0138522	0.0173744	0.0343483	0.0732602	0.152959	0.327546	0.324928
a20	0.00437711	0.00359945	0.00424396	0.00808374	0.00876801	0.0130382	0.0367485	0.0790479	0.153395	0.329307	0.359391
a73	0.0186527	0.0193219	0.0274302	0.0542694	0.0525141	0.0539951	0.0817027	0.0900326	0.131763	0.214154	0.256164
a2	0.00492291	0.00469321	0.00690425	0.0137385	0.0191768	0.0249912	0.0461835	0.0758771	0.126765	0.279947	0.396801
a38	0.00164365	0.00168986	0.00243001	0.00437804	0.00476216	0.00630692	0.0128873	0.034087	0.0961712	0.315488	0.520156
a40	0.00315563	0.0028791	0.00398838	0.00631527	0.00544853	0.00690864	0.0147326	0.0333465	0.09066	0.307253	0.525312
a30	0.00326404	0.00341193	0.00533726	0.00976746	0.0123273	0.0162926	0.0288891	0.0499307	0.0984386	0.276409	0.495932
a14	0.0034674	0.00347791	0.00445296	0.00733734	0.00901554	0.0117688	0.0231504	0.0414445	0.0795124	0.291497	0.524876
a30	0.00447684	0.00406512	0.00467623	0.0076909	0.00873632	0.0113456	0.0223878	0.0412728	0.0787838	0.282278	0.534287
a14	0.00266887	0.00298411	0.00419417	0.00780964	0.0104822	0.0148275	0.029314	0.056726	0.0963738	0.304677	0.469943
a2	0.00291388	0.00321175	0.00448052	0.00863982	0.0123625	0.0176818	0.0337485	0.0591527	0.0954902	0.296726	0.465592
a38	0.00236392	0.00263711	0.00328175	0.00568694	0.00577825	0.00705728	0.0145822	0.0342907	0.080645	0.277134	0.566543
a54	0.00669451	0.00558041	0.00714864	0.0107239	0.00834718	0.010184	0.0205761	0.0418161	0.0895591	0.287202	0.512168
a14	0.00449063	0.00517315	0.008852	0.0136007	0.014216	0.0183497	0.0342107	0.057226	0.0956005	0.272272	0.476009
a30	0.00458474	0.00487501	0.00747809	0.0137212	0.0185546	0.0242057	0.0403032	0.0622012	0.0947434	0.251021	0.478312
a2	0.00498032	0.00499365	0.00676364	0.00942159	0.0094316	0.0117911	0.0230452	0.0445156	0.0768662	0.282082	0.526109
a57	0.00362422	0.00322162	0.00334717	0.00410659	0.00408675	0.00467124	0.00915868	0.025693	0.0796976	0.302888	0.559505
a87	0.015247	0.013737	0.0134426	0.0157661	0.013278	0.0139883	0.0279881	0.0572451	0.125582	0.324571	0.379155
</S>	0.00900577	0.00789583	0.00887281	0.0130197	0.0111373	0.0123035	0.0252836	0.0476738	0.117281	0.329176	0.418352
