 	dans	la	maison	il	fait	chaud	</S>
a66	0.28731	0.216963	0.181593	0.148373	0.090714	0.0460988	0.0289486
a87	0.254201	0.215374	0.187218	0.153261	0.0840574	0.0641649	0.0417236
a23	0.391473	0.314797	0.174478	0.0667133	0.0244441	0.0170508	0.0110434
a10	0.431142	0.295305	0.138814	0.0567193	0.0319965	0.0275726	0.0184506
a40	0.465438	0.268593	0.124045	0.0575887	0.0353675	0.0282702	0.0206971
a36	0.453789	0.26304	0.130184	0.0692643	0.0419919	0.0218505	0.0198801
a94	0.229066	0.200626	0.149872	0.141748	0.153364	0.0757686	0.0495554
a66	0.159965	0.1938	0.212507	0.17326	0.145531	0.07174	0.0431971
a50	0.0985419	0.125746	0.180878	0.15344	0.154968	0.155254	0.131173
a88	0.0671172	0.080521	0.142016	0.127312	0.144346	0.203347	0.235341
a13	0.0613199	0.0714655	0.130556	0.126068	0.144488	0.201262	0.26484
a50	0.0614758	0.0711791	0.139317	0.143728	0.15596	0.1941	0.23424
a83	0.026898	0.0308568	0.0801554	0.117182	0.18647	0.268479	0.289959
a5	0.0242452	0.0265847	0.0712994	0.118367	0.197919	0.268798	0.292788
a12	0.0134981	0.0136796	0.0376162	0.0807002	0.182945	0.300075	0.371485
a5	0.0135347	0.0132373	0.0282012	0.0591521	0.152092	0.320231	0.413551
a94	0.0224101	0.0202774	0.0356566	0.074463	0.170759	0.312964	0.36347
a18	0.00413635	0.00399766	0.00771856	0.0175755	0.0743544	0.326804	0.565414
a37	0.00182662	0.00178086	0.00330151	0.00852432	0.0468964	0.275734	0.661936
a27	0.00167288	0.00151598	0.00244171	0.00641774	0.0390398	0.239802	0.70911
a2	0.00499577	0.00426219	0.00466414	0.00921406	0.0382374	0.224183	0.714443
a30	0.039819	0.0300847	0.0261572	0.0364336	0.0700909	0.235684	0.561731
a27	0.135252	0.0859227	0.0554828	0.0542373	0.0710832	0.179201	0.41882
a30	0.208672	0.12229	0.0709701	0.0571718	0.0631	0.157304	0.320493
a10	0.287218	0.175613	0.0913423	0.0586269	0.0547497	0.117328	0.215122
a87	0.211992	0.140126	0.0880393	0.0664118	0.0771406	0.16676	0.249531
a23	0.156335	0.127706	0.106625	0.0956469	0.107785	0.17801	0.227892
a87	0.154716	0.108558	0.0875862	0.0810981	0.117164	0.216599	0.234278
</S>	0.136543	0.0995354	0.0837418	0.0816635	0.115747	0.188802	0.293967
