 	mon	épouse	a	défait	le	noeud	qu'	elle	avait	fait	à	son	pagne	</S>
a66	0.219239	0.216743	0.213276	0.123296	0.039698	0.0300386	0.0289119	0.0317535	0.0272693	0.0225035	0.0150273	0.0102472	0.0105453	0.0114521
a10	0.418366	0.218643	0.132898	0.0590741	0.0207928	0.0115871	0.0136932	0.0148349	0.0165563	0.0177798	0.0163367	0.0163584	0.0220199	0.0210596
a87	0.351635	0.21883	0.097244	0.0480523	0.0121567	0.00866038	0.0128208	0.0212739	0.0301606	0.0440211	0.0426844	0.0387661	0.0354548	0.0382403
a23	0.207563	0.140042	0.0865332	0.0556541	0.0190535	0.0166866	0.0271898	0.045792	0.0611841	0.0807441	0.0709875	0.064718	0.061764	0.0620881
a53	0.138007	0.0669439	0.0347238	0.0227088	0.0305885	0.0431454	0.0700308	0.0887381	0.0980644	0.0995054	0.0835227	0.069326	0.0651629	0.0895329
a54	0.25673	0.160905	0.147648	0.162563	0.0841279	0.0526375	0.0262653	0.0250244	0.0181692	0.0142701	0.012817	0.0113732	0.0130236	0.0144448
a7	0.095632	0.0918926	0.132034	0.314379	0.181555	0.0639657	0.0254623	0.0214842	0.0161717	0.0134128	0.011412	0.00952876	0.0111039	0.0119655
a0	0.0914013	0.099871	0.142367	0.269905	0.153159	0.0736484	0.0340293	0.0274583	0.0207916	0.0176786	0.0174338	0.0155807	0.0173121	0.0193641
a75	0.038374	0.0459409	0.0927164	0.188935	0.154033	0.10934	0.0717224	0.0719537	0.0595202	0.0509625	0.0395565	0.0289487	0.0233084	0.0246883
a79	0.0380883	0.0546681	0.102377	0.264124	0.21782	0.0906868	0.0479758	0.037575	0.0283192	0.0228008	0.0219654	0.0202578	0.0238485	0.0294938
a37	0.0444625	0.0698962	0.120991	0.234263	0.161451	0.0742568	0.0592742	0.0496603	0.0381245	0.028461	0.0262842	0.0254838	0.030364	0.0370276
a98	0.0566207	0.0742808	0.131851	0.23436	0.158286	0.074614	0.0641743	0.0554924	0.0420951	0.0299861	0.0223346	0.0186037	0.0174308	0.0198702
a15	0.0270062	0.0372649	0.082197	0.181207	0.165212	0.11096	0.0971461	0.0794038	0.0599647	0.0382825	0.0294574	0.0267013	0.0280863	0.0371115
a36	0.0230979	0.0327015	0.0815094	0.148483	0.148241	0.0940666	0.0864436	0.0765592	0.0630377	0.0466802	0.0431054	0.0442207	0.0484757	0.0633782
a0	0.0169611	0.0189355	0.034455	0.0543749	0.0760044	0.115333	0.169909	0.143676	0.101696	0.0627251	0.0483431	0.044846	0.0485662	0.0641751
a56	0.0161278	0.0178267	0.0264239	0.0427622	0.0584243	0.0967014	0.168424	0.145706	0.107388	0.0692721	0.0529397	0.0490394	0.0624231	0.0865411
a43	0.0143456	0.0156186	0.0246643	0.0351586	0.0377287	0.0709044	0.157788	0.16251	0.137587	0.0953304	0.0734338	0.0573979	0.0519878	0.0655452
a11	0.0092845	0.0100659	0.015838	0.024994	0.0297112	0.0537811	0.156141	0.168474	0.14832	0.102635	0.082215	0.0671325	0.058921	0.0724872
a24	0.00865401	0.0089501	0.0126102	0.0208978	0.0271288	0.045952	0.141367	0.15234	0.143453	0.106599	0.0838533	0.0677236	0.0770096	0.103462
a62	0.00736247	0.00718568	0.00936207	0.0155706	0.0231753	0.0380386	0.114823	0.128716	0.134042	0.109822	0.0937404	0.0807508	0.102074	0.135337
a0	0.00462355	0.00460061	0.00728892	0.0148703	0.0222197	0.034734	0.0965127	0.108809	0.119953	0.108485	0.107707	0.101671	0.12757	0.140955
a96	0.00588008	0.00470335	0.00600848	0.0090921	0.0186	0.0240757	0.0530827	0.0621165	0.0835837	0.0949202	0.108452	0.129102	0.191693	0.208691
a75	0.00221239	0.00209063	0.00342389	0.00698303	0.0161014	0.0333405	0.0752271	0.0773537	0.0893482	0.0850781	0.0963685	0.12075	0.184747	0.206976
a92	0.000441097	0.000471647	0.00092644	0.00226282	0.00711411	0.0191648	0.0694923	0.0805567	0.0898614	0.0760402	0.0874078	0.119496	0.185715	0.261049
a12	0.000432192	0.000494346	0.000963016	0.00205995	0.00542136	0.0149913	0.059326	0.0829814	0.0993823	0.0888821	0.109011	0.139182	0.178647	0.218227
a18	0.000768987	0.000809101	0.00131276	0.00236834	0.00487974	0.0147222	0.0572841	0.0737092	0.0902155	0.0840794	0.11138	0.149669	0.191485	0.217317
a75	0.000667808	0.000482181	0.000629189	0.00106948	0.00291496	0.00826283	0.0252135	0.0330468	0.0477337	0.0492035	0.0756127	0.135048	0.251845	0.368271
a5	0.000158369	0.000137473	0.000218215	0.000498921	0.00181489	0.00696463	0.0324758	0.0445132	0.0625804	0.0599618	0.0937029	0.157708	0.220893	0.318373
a96	0.00042983	0.000437158	0.000606733	0.00100114	0.00210281	0.00595757	0.0234276	0.0339372	0.05225	0.0553354	0.0851937	0.1537	0.230203	0.355417
a70	0.000387899	0.000354418	0.000506756	0.00084022	0.00216044	0.00628991	0.0224129	0.0318499	0.0484869	0.0500141	0.0754809	0.141988	0.230831	0.388396
a93	0.000328284	0.00025433	0.000371469	0.000695713	0.00226906	0.00574369	0.0147008	0.019694	0.0322742	0.0394499	0.0639175	0.138281	0.237611	0.44441
a90	0.000252011	0.000175564	0.000233488	0.000369697	0.00114369	0.00422253	0.0130698	0.0187759	0.0292307	0.0310987	0.049449	0.112816	0.226393	0.51277
a56	0.000174803	0.000136012	0.000179734	0.000336145	0.00117902	0.00348543	0.0120219	0.016674	0.0266327	0.0315973	0.053569	0.123488	0.24266	0.487866
a79	0.00015148	0.000108173	0.000155984	0.000334899	0.00122583	0.00306405	0.00831478	0.0107817	0.0194604	0.0300578	0.0546071	0.139131	0.255348	0.477259
a69	0.000118096	8.60312e-05	0.000112128	0.000294699	0.00131692	0.00406009	0.015245	0.0190774	0.0299517	0.0384571	0.0656155	0.139007	0.24194	0.444718
