 	les	enfants	de	l'	époque	actuelle	ne	respectent	plus	les	parents	</S>
a23	0.178486	0.137365	0.0924925	0.0976077	0.102415	0.106791	0.094644	0.0692039	0.0396974	0.0285784	0.0236085	0.0291111
a38	0.201562	0.149736	0.126081	0.100406	0.0642815	0.068219	0.0599505	0.052002	0.0322349	0.0395076	0.0516687	0.0543514
a30	0.213093	0.199861	0.148283	0.114204	0.0760718	0.0620691	0.0498789	0.0369676	0.0230652	0.0252759	0.0254359	0.0257951
a35	0.378883	0.363588	0.117019	0.0500543	0.0270292	0.0208257	0.0155759	0.00589275	0.00441423	0.00555164	0.00545773	0.00570884
a14	0.374456	0.325989	0.110232	0.0599923	0.0380657	0.030687	0.0245633	0.011074	0.0076529	0.00727061	0.0055839	0.00443339
a2	0.242182	0.245164	0.141873	0.103624	0.0782337	0.0666726	0.0557388	0.0259166	0.0179498	0.0108972	0.0066552	0.0050919
a57	0.121975	0.150368	0.159949	0.136568	0.129856	0.114943	0.0825003	0.0382165	0.0229426	0.01701	0.0129179	0.0127526
a54	0.120175	0.137146	0.140121	0.116651	0.11694	0.128049	0.0852816	0.0390028	0.0301896	0.0283849	0.026811	0.0312478
a35	0.088925	0.108823	0.142301	0.161403	0.155867	0.129187	0.103461	0.0479666	0.0308352	0.014403	0.00881666	0.00801136
a14	0.116461	0.138517	0.160879	0.167969	0.149634	0.106589	0.0786107	0.0347265	0.023335	0.0110618	0.00644666	0.00576991
a41	0.102743	0.134143	0.168955	0.178665	0.161578	0.102995	0.0730442	0.0307321	0.0233016	0.0101897	0.00657534	0.00707872
a26	0.079549	0.110736	0.16019	0.186115	0.177803	0.113322	0.0775746	0.0322541	0.0283016	0.0138684	0.00959675	0.0106886
a24	0.0682932	0.0847042	0.132798	0.182317	0.187276	0.136394	0.0922282	0.0418741	0.0325896	0.0155108	0.0110175	0.0149975
a25	0.0934543	0.106262	0.146879	0.183362	0.162802	0.110605	0.0843508	0.0419922	0.0342918	0.0159834	0.0095227	0.0104946
a40	0.0439802	0.0519944	0.0698459	0.111633	0.127657	0.132838	0.127316	0.10048	0.0880404	0.0477984	0.0386828	0.0597344
a30	0.0398368	0.0562539	0.0699246	0.118091	0.167159	0.15569	0.12014	0.0636692	0.0636469	0.048393	0.0424782	0.0547175
a41	0.0710101	0.0877896	0.0934822	0.121966	0.151524	0.13158	0.106138	0.0662241	0.0595799	0.0408355	0.0320989	0.0377715
a26	0.0437392	0.0554647	0.0635791	0.0847434	0.109264	0.119144	0.111215	0.0868065	0.100033	0.0747589	0.0671335	0.0841184
a24	0.0449927	0.0483241	0.068133	0.0846464	0.0880625	0.101518	0.0992367	0.111111	0.101309	0.0798429	0.0734039	0.0994191
a25	0.0466175	0.0518108	0.0725466	0.0973112	0.105162	0.102137	0.096688	0.0874885	0.0866272	0.081987	0.0784766	0.0931471
a11	0.060434	0.059834	0.0639917	0.0734089	0.064644	0.0756932	0.0800069	0.103606	0.121314	0.101875	0.0867426	0.10845
a75	0.0380585	0.0378309	0.047542	0.0625326	0.0606136	0.0771906	0.0764445	0.089278	0.101841	0.117844	0.124899	0.165925
a14	0.0202545	0.0248483	0.0338733	0.0497392	0.0634021	0.0728086	0.0839629	0.105263	0.103604	0.118782	0.140644	0.182818
a35	0.0182405	0.0231251	0.0304893	0.0374485	0.0442863	0.0487915	0.0550001	0.0881547	0.10146	0.126115	0.176657	0.250232
a14	0.0134738	0.0158355	0.0230266	0.0290606	0.0342517	0.0404344	0.0448275	0.0739737	0.0947144	0.132087	0.192323	0.305991
a94	0.0173175	0.0192241	0.0228123	0.0270094	0.0300591	0.0337218	0.0407618	0.0655478	0.103922	0.155464	0.207206	0.276954
a76	0.00803496	0.00768995	0.0109746	0.0148939	0.0157978	0.0190822	0.0200869	0.0453883	0.0581822	0.117449	0.222326	0.460094
a90	0.0217249	0.0207417	0.0253898	0.0304516	0.0329245	0.0372039	0.0397372	0.0675368	0.0846182	0.131816	0.205114	0.302742
a84	0.0180717	0.017308	0.0304962	0.038416	0.0391667	0.0429694	0.0386566	0.0540293	0.0550332	0.104311	0.19649	0.365052
a40	0.00879112	0.00806128	0.0110229	0.0172656	0.0173391	0.0242029	0.0221007	0.0462012	0.0711626	0.119381	0.2095	0.444971
a98	0.0308673	0.0283541	0.035598	0.0371258	0.0336637	0.0375991	0.0319097	0.042631	0.0498561	0.0974544	0.186125	0.388816
a14	0.0112586	0.00903052	0.0126809	0.0145763	0.0129902	0.0163321	0.0168935	0.0339555	0.0433253	0.112996	0.230196	0.485765
a35	0.0194795	0.0153337	0.0176301	0.0179217	0.0162205	0.0176654	0.0194747	0.0379504	0.0470129	0.106334	0.214764	0.470213
a41	0.0136103	0.0107871	0.0149749	0.0177548	0.0178605	0.0184938	0.0183136	0.0329365	0.0331779	0.0837255	0.197887	0.540478
a25	0.0159435	0.0127068	0.0157565	0.0178957	0.0202401	0.023253	0.0238315	0.0383222	0.0550395	0.11634	0.208727	0.451944
a87	0.014068	0.0106148	0.0126106	0.0157498	0.0142042	0.016992	0.0192963	0.0520212	0.0597684	0.122592	0.216009	0.446074
a23	0.0130004	0.00917661	0.00891451	0.0118614	0.00926049	0.0102353	0.0118759	0.033638	0.0533446	0.105669	0.213853	0.519171
a87	0.0458229	0.0297207	0.0199258	0.0209042	0.0138438	0.0140083	0.0140794	0.0341876	0.0506294	0.105946	0.216466	0.434466
</S>	0.0472942	0.0318108	0.0162446	0.015315	0.00842745	0.00978476	0.0125611	0.0309709	0.063517	0.135913	0.214889	0.413273
