 	ingobha	haït	les	enfants	des	autres	parce	qu'	elle	est	stérile	</S>
a66	0.109165	0.109628	0.113884	0.12821	0.114402	0.113182	0.119463	0.0652528	0.0349928	0.0317593	0.0310089	0.0290519
a82	0.237765	0.192616	0.0859965	0.0651369	0.048491	0.039271	0.0337296	0.0290376	0.0256608	0.0438112	0.0711854	0.127299
a84	0.652149	0.129226	0.0350285	0.0263521	0.0228428	0.0206603	0.0213936	0.0159459	0.0105864	0.0153	0.0191657	0.0313501
a62	0.637453	0.10739	0.0324299	0.0253249	0.0250955	0.022736	0.0221443	0.0187692	0.0142418	0.0215763	0.0285093	0.0443305
a61	0.510663	0.0751222	0.0285852	0.0307199	0.0350639	0.0338163	0.0336782	0.0324862	0.0243801	0.0443648	0.0604658	0.0906546
a90	0.619492	0.10606	0.0409189	0.0365289	0.0354572	0.0308423	0.022336	0.0198517	0.0148097	0.0194322	0.021748	0.0325233
a98	0.374881	0.154789	0.0678739	0.0574135	0.0525189	0.0478536	0.0409708	0.0329024	0.0242293	0.031823	0.0400173	0.0747278
a85	0.280452	0.192485	0.0921219	0.0771411	0.064828	0.0657783	0.0567769	0.0408405	0.0263382	0.0266663	0.0284377	0.0481347
a6	0.255921	0.193234	0.106973	0.0969677	0.0758876	0.0719458	0.0601018	0.0391223	0.0224676	0.0203283	0.0219322	0.0351187
a36	0.194971	0.185041	0.110526	0.100394	0.0819293	0.0774181	0.0672668	0.0487269	0.0296578	0.0280182	0.0298837	0.0461678
a61	0.154478	0.17752	0.109231	0.0894051	0.078077	0.0811182	0.0754737	0.0562679	0.0385139	0.0343895	0.0405262	0.0649995
a75	0.169829	0.165138	0.115427	0.0868322	0.0804016	0.0895748	0.08913	0.0594803	0.0373215	0.0317091	0.0334804	0.0416769
a85	0.0859704	0.151394	0.135352	0.100053	0.0876942	0.0904703	0.0916218	0.0690918	0.0531863	0.0427327	0.0427731	0.0496608
a37	0.0700076	0.167197	0.162623	0.122	0.096709	0.0948046	0.0855766	0.0599412	0.0454354	0.0290974	0.03027	0.0363383
a85	0.0480119	0.141502	0.144299	0.0996329	0.0912848	0.103557	0.103139	0.076809	0.0487308	0.0339037	0.0415177	0.0676122
a6	0.0374134	0.137059	0.156827	0.107551	0.0894171	0.0897558	0.0854797	0.0695623	0.0644643	0.0454311	0.0503028	0.0667367
a85	0.0357617	0.119518	0.165973	0.10659	0.0878501	0.0890222	0.0804271	0.0646696	0.0607089	0.040752	0.0544199	0.0943075
a6	0.0303829	0.118883	0.170452	0.108961	0.0876173	0.0845718	0.0733676	0.0634917	0.0716532	0.0513497	0.0623044	0.0769654
a37	0.0345018	0.0903191	0.139009	0.0959316	0.0780293	0.0748542	0.0624631	0.0588256	0.0772854	0.0686729	0.0941373	0.125971
a85	0.0410765	0.0899552	0.136648	0.0811624	0.0670369	0.0707451	0.067015	0.0622961	0.0684872	0.051343	0.0813966	0.182838
a36	0.0393762	0.0859856	0.144124	0.0895004	0.0651055	0.0654684	0.0547047	0.051426	0.0660785	0.0560486	0.0938535	0.188328
a26	0.0567484	0.0955661	0.135948	0.0820948	0.0640215	0.0653038	0.055096	0.0554454	0.0680181	0.0591091	0.0841801	0.178469
a61	0.0733197	0.10479	0.129679	0.074375	0.0538963	0.0511523	0.0460842	0.0449911	0.0566186	0.0548827	0.090509	0.219702
a41	0.017069	0.0389555	0.0691714	0.0401165	0.0365319	0.0412805	0.045761	0.0534914	0.0884773	0.118088	0.180042	0.271016
a36	0.0237552	0.0518982	0.081791	0.050054	0.0372403	0.0348104	0.0298347	0.0327008	0.0628639	0.0806966	0.169752	0.344603
a26	0.030052	0.0373607	0.042836	0.0264242	0.0232485	0.0245015	0.0248446	0.0291887	0.0545566	0.0885861	0.219726	0.398675
a10	0.0713076	0.0540065	0.0483759	0.0301396	0.0234457	0.0249258	0.0257949	0.0274852	0.0465914	0.0781273	0.193566	0.376234
a24	0.108244	0.052745	0.0483715	0.0307724	0.0233829	0.024722	0.027339	0.0324474	0.055709	0.101653	0.192311	0.302302
a11	0.0318416	0.0237753	0.0275501	0.0186097	0.0156821	0.0159392	0.0178378	0.0241173	0.0523147	0.103236	0.258112	0.410984
a75	0.0234897	0.018243	0.0220272	0.0150424	0.0131657	0.0138342	0.0166693	0.0243289	0.0551321	0.111312	0.27029	0.416466
a98	0.00471459	0.00833339	0.0139977	0.00847041	0.00639698	0.00633142	0.00569754	0.00908733	0.0288929	0.0770386	0.263914	0.567125
a85	0.00405352	0.0107844	0.0240125	0.0131286	0.00984197	0.0105377	0.00959646	0.0151558	0.0474716	0.092415	0.261409	0.501593
a37	0.00711192	0.0236004	0.0515776	0.0295829	0.0209296	0.0196236	0.0161242	0.0228619	0.0629516	0.104342	0.238834	0.40246
a21	0.0038963	0.00982021	0.016347	0.00847228	0.00665252	0.00692301	0.00724552	0.0116077	0.0356186	0.0728388	0.222602	0.597976
a12	0.00279231	0.0107016	0.0239898	0.0138106	0.012559	0.0150868	0.0174922	0.0291853	0.0763035	0.142477	0.263751	0.39185
a96	0.00317473	0.0077145	0.0137951	0.00896035	0.00787686	0.0083822	0.00992087	0.015994	0.0412673	0.0923669	0.240805	0.549742
a56	0.0024532	0.00553467	0.00875354	0.00549761	0.00480493	0.00506641	0.00586181	0.0107797	0.0334541	0.0788092	0.240516	0.598469
a96	0.00167135	0.0048291	0.00813367	0.00438268	0.00353735	0.00368473	0.0040558	0.0074154	0.0250662	0.0639396	0.217619	0.655665
a66	0.00150205	0.00337101	0.00486865	0.00277677	0.00235234	0.00232689	0.00251192	0.00464729	0.0162763	0.0465627	0.215974	0.69683
a94	0.009586	0.0105076	0.0117602	0.00810397	0.00636943	0.00619745	0.00534962	0.0101343	0.0329823	0.0695551	0.255504	0.57395
a26	0.0112157	0.0106891	0.00969584	0.00706106	0.00564258	0.00536249	0.00459427	0.00818778	0.024683	0.0554022	0.224649	0.632817
a66	0.0852349	0.0415556	0.0363041	0.0266601	0.0208086	0.0213982	0.0180162	0.0280739	0.0532773	0.0783167	0.195201	0.395154
a38	0.121229	0.0532664	0.0385049	0.029037	0.021638	0.0213894	0.018336	0.0260568	0.0454284	0.0740812	0.183109	0.367923
a9	0.13097	0.0578338	0.0420182	0.0328255	0.0240085	0.022555	0.018176	0.0251091	0.0432031	0.0690903	0.16797	0.36624
